
Soma Intensity Center Ch=1 Img=1
 ==================== 
Soma Intensity Center,Unit,Category,Channel,Image,Time,FilamentID,ID,
0,,Soma,1,Image 1,1,100000000,800000000,
2,,Soma,1,Image 1,1,100000001,800000001,
