
Spine Part Volume Ground
 ==================== 
Spine Part Volume Ground,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.941493,µm^3,Spine,Spine Part Volume,16,7,1,100000001,610000004618,
0.425,µm^3,Spine,Spine Part Volume,16,6,1,100000001,610000004619,
0.636445,µm^3,Spine,Spine Part Volume,17,8,1,100000001,610000004620,
0.876544,µm^3,Spine,Spine Part Volume,16,7,1,100000001,610000004621,
0.654315,µm^3,Spine,Spine Part Volume,25,7,1,100000001,610000004622,
0.372321,µm^3,Spine,Spine Part Volume,21,8,1,100000001,610000004623,
0.246519,µm^3,Spine,Spine Part Volume,21,8,1,100000001,610000004624,
2.5789,µm^3,Spine,Spine Part Volume,15,7,1,100000001,610000004625,
1.12798,µm^3,Spine,Spine Part Volume,15,7,1,100000001,610000004626,
1.47664,µm^3,Spine,Spine Part Volume,15,7,1,100000001,610000004627,
0.887232,µm^3,Spine,Spine Part Volume,8,2,1,100000001,610000004628,
0.65833,µm^3,Spine,Spine Part Volume,7,2,1,100000001,610000004629,
0.978019,µm^3,Spine,Spine Part Volume,4,3,1,100000001,610000004630,
0.693395,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000004631,
1.22735,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000004632,
0.239179,µm^3,Spine,Spine Part Volume,9,8,1,100000001,610000004633,
0.73007,µm^3,Spine,Spine Part Volume,9,7,1,100000001,610000004634,
0.419167,µm^3,Spine,Spine Part Volume,9,6,1,100000001,610000004635,
0.715505,µm^3,Spine,Spine Part Volume,7,6,1,100000001,610000004636,
0.466634,µm^3,Spine,Spine Part Volume,8,5,1,100000001,610000004637,
0.411134,µm^3,Spine,Spine Part Volume,7,5,1,100000001,610000004638,
0.447953,µm^3,Spine,Spine Part Volume,6,5,1,100000001,610000004639,
1.06644,µm^3,Spine,Spine Part Volume,7,6,1,100000001,610000004640,
0.467359,µm^3,Spine,Spine Part Volume,7,5,1,100000001,610000004641,
0.859928,µm^3,Spine,Spine Part Volume,2,3,1,100000001,610000004642,
0.432835,µm^3,Spine,Spine Part Volume,2,3,1,100000001,610000004643,
0.450067,µm^3,Spine,Spine Part Volume,1,1,1,100000001,610000004646,
