
Soma Ellipsoid Axis Length B
 ==================== 
Soma Ellipsoid Axis Length B,Unit,Category,Time,FilamentID,ID,
4.19725,µm,Soma,1,100000000,800000000,
4.17154,µm,Soma,1,100000001,800000001,
