
Soma BoundingBoxOO Length B
 ==================== 
Soma BoundingBoxOO Length B,Unit,Category,Collection,Time,FilamentID,ID,
9.0332,µm,Soma,Soma BoundingBoxOO Length,1,100000000,800000000,
8.75977,µm,Soma,Soma BoundingBoxOO Length,1,100000001,800000001,
