
Spine Attachment Pt Branching Angle
 ==================== 
Spine Attachment Pt Branching Angle,Unit,Category,Depth,Level,Time,FilamentID,ID,
70.1772,°,Spine,6,5,1,100000001,610000004280,
88.319,°,Spine,31,14,1,100000001,610000004340,
75.5935,°,Spine,1,2,1,100000001,610000004348,
60.4742,°,Spine,3,1,1,100000001,610000004378,
70.9451,°,Spine,10,8,1,100000001,610000004383,
74.7917,°,Spine,15,6,1,100000001,610000004437,
83.0117,°,Spine,16,6,1,100000001,610000004445,
15.7602,°,Spine,8,7,1,100000001,610000004448,
88.9254,°,Spine,16,7,1,100000001,610000004464,
82.972,°,Spine,26,11,1,100000001,610000004482,
68.1895,°,Spine,1,2,1,100000001,610000004494,
83.1917,°,Spine,22,10,1,100000001,610000004514,
101.966,°,Spine,22,12,1,100000001,610000004557,
66.3002,°,Spine,7,6,1,100000001,610000004590,
66.0807,°,Spine,7,6,1,100000001,610000004591,
78.1319,°,Spine,6,1,1,100000001,610000004592,
66.3181,°,Spine,6,1,1,100000001,610000004593,
90.1172,°,Spine,5,1,1,100000001,610000004595,
77.9149,°,Spine,5,1,1,100000001,610000004596,
94.7928,°,Spine,5,1,1,100000001,610000004597,
93.3609,°,Spine,5,1,1,100000001,610000004598,
96.0285,°,Spine,3,2,1,100000001,610000004599,
96.9175,°,Spine,3,2,1,100000001,610000004600,
60.1094,°,Spine,1,1,1,100000001,610000004601,
49.6275,°,Spine,1,2,1,100000001,610000004602,
92.2106,°,Spine,32,13,1,100000001,610000004603,
78.3776,°,Spine,26,11,1,100000001,610000004604,
92.7975,°,Spine,26,11,1,100000001,610000004605,
88.8109,°,Spine,21,9,1,100000001,610000004608,
72.6785,°,Spine,20,9,1,100000001,610000004610,
6.73056,°,Spine,19,10,1,100000001,610000004613,
85.0822,°,Spine,18,9,1,100000001,610000004614,
100.025,°,Spine,16,7,1,100000001,610000004617,
87.7043,°,Spine,16,6,1,100000001,610000004619,
80.3594,°,Spine,16,7,1,100000001,610000004621,
45.2914,°,Spine,25,7,1,100000001,610000004622,
50.8021,°,Spine,21,8,1,100000001,610000004623,
77.0097,°,Spine,21,8,1,100000001,610000004624,
55.0065,°,Spine,15,7,1,100000001,610000004625,
68.8307,°,Spine,15,7,1,100000001,610000004627,
92.8041,°,Spine,8,2,1,100000001,610000004628,
79.7387,°,Spine,7,2,1,100000001,610000004629,
77.248,°,Spine,0,1,1,100000001,610000004631,
57.5205,°,Spine,0,1,1,100000001,610000004632,
59.2449,°,Spine,9,8,1,100000001,610000004633,
61.6272,°,Spine,9,7,1,100000001,610000004634,
82.0442,°,Spine,9,6,1,100000001,610000004635,
27.8325,°,Spine,7,6,1,100000001,610000004636,
85.299,°,Spine,8,5,1,100000001,610000004637,
114.53,°,Spine,7,5,1,100000001,610000004638,
48.0727,°,Spine,6,5,1,100000001,610000004639,
71.3443,°,Spine,7,5,1,100000001,610000004641,
82.5784,°,Spine,1,1,1,100000001,610000004646,
