
Soma Center of Image Mass Ch=2 Img=1
 ==================== 
Soma Center of Image Mass X,Soma Center of Image Mass Y,Soma Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,FilamentID,ID,
-21213.3,18918.9,1370.99,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000000,800000000,
-21204.2,18972.5,1382.07,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000001,800000001,
