
Segment Branch Level
 ==================== 
Segment Branch Level,Unit,Category,Depth,Level,Time,FilamentID,ID,
4,,Segment,3,4,1,100000001,510000000105,
3,,Segment,2,3,1,100000001,510000000112,
2,,Segment,1,2,1,100000001,510000000120,
1,,Segment,0,1,1,100000001,510000000133,
7,,Segment,16,7,1,100000003,510000000159,
6,,Segment,15,6,1,100000003,510000000190,
6,,Segment,14,6,1,100000003,510000000207,
6,,Segment,13,6,1,100000003,510000000212,
6,,Segment,12,6,1,100000003,510000000245,
5,,Segment,11,5,1,100000003,510000000262,
5,,Segment,10,5,1,100000003,510000000281,
4,,Segment,9,4,1,100000003,510000000299,
4,,Segment,8,4,1,100000003,510000000314,
3,,Segment,7,3,1,100000003,510000000323,
3,,Segment,6,3,1,100000003,510000000329,
2,,Segment,4,2,1,100000003,510000000341,
1,,Segment,3,1,1,100000003,510000000356,
1,,Segment,2,1,1,100000003,510000000361,
1,,Segment,1,1,1,100000003,510000000373,
1,,Segment,0,1,1,100000003,510000000381,
6,,Segment,16,6,1,100000003,510000000412,
7,,Segment,14,7,1,100000003,510000000439,
7,,Segment,13,7,1,100000003,510000000441,
7,,Segment,15,7,1,100000003,510000000445,
7,,Segment,14,7,1,100000003,510000000455,
8,,Segment,14,8,1,100000003,510000000460,
3,,Segment,6,3,1,100000003,510000000467,
2,,Segment,5,2,1,100000003,510000000492,
2,,Segment,4,2,1,100000003,510000000505,
2,,Segment,3,2,1,100000003,510000000542,
1,,Segment,2,1,1,100000003,510000000544,
1,,Segment,1,1,1,100000003,510000000587,
1,,Segment,0,1,1,100000003,510000000625,
4,,Segment,5,4,1,100000003,510000000684,
3,,Segment,4,3,1,100000003,510000000703,
2,,Segment,3,2,1,100000003,510000000718,
2,,Segment,2,2,1,100000003,510000000737,
2,,Segment,6,2,1,100000003,510000000766,
3,,Segment,5,3,1,100000003,510000000772,
2,,Segment,4,2,1,100000003,510000000797,
3,,Segment,5,3,1,100000003,510000000815,
4,,Segment,5,4,1,100000003,510000000817,
3,,Segment,5,3,1,100000003,510000000819,
2,,Segment,5,2,1,100000003,510000000822,
3,,Segment,4,3,1,100000003,510000000831,
3,,Segment,3,3,1,100000003,510000000836,
2,,Segment,4,2,1,100000003,510000000848,
1,,Segment,3,1,1,100000003,510000000857,
1,,Segment,4,1,1,100000003,510000000862,
6,,Segment,14,6,1,100000003,510000000872,
5,,Segment,12,5,1,100000003,510000000888,
6,,Segment,13,6,1,100000003,510000000890,
5,,Segment,14,5,1,100000003,510000000896,
6,,Segment,11,6,1,100000003,510000000912,
4,,Segment,8,4,1,100000003,510000000924,
3,,Segment,7,3,1,100000003,510000000933,
2,,Segment,6,2,1,100000003,510000000945,
2,,Segment,5,2,1,100000003,510000000959,
1,,Segment,4,1,1,100000003,510000000996,
3,,Segment,11,3,1,100000003,510000001016,
3,,Segment,10,3,1,100000003,510000001027,
