
Spine Center Intensity Min Ch=1 Img=1
 ==================== 
Spine Center Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
1,,Spine,1,9,Image 1,3,1,100000003,610000006912,
1,,Spine,1,4,Image 1,2,1,100000003,610000006914,
3,,Spine,1,3,Image 1,3,1,100000002,610000006917,
1,,Spine,1,0,Image 1,1,1,100000000,610000006923,
0,,Spine,1,9,Image 1,4,1,100000003,610000006934,
1,,Spine,1,3,Image 1,2,1,100000002,610000006937,
1,,Spine,1,1,Image 1,1,1,100000002,610000006939,
1,,Spine,1,3,Image 1,2,1,100000000,610000006941,
0,,Spine,1,2,Image 1,3,1,100000001,610000006945,
1,,Spine,1,23,Image 1,7,1,100000000,610000006949,
0,,Spine,1,12,Image 1,5,1,100000003,610000006952,
2,,Spine,1,16,Image 1,4,1,100000000,610000006959,
1,,Spine,1,0,Image 1,1,1,100000002,610000006961,
1,,Spine,1,8,Image 1,3,1,100000003,610000006963,
0,,Spine,1,1,Image 1,1,1,100000003,610000006965,
1,,Spine,1,0,Image 1,1,1,100000000,610000006971,
0,,Spine,1,1,Image 1,1,1,100000002,610000006973,
1,,Spine,1,2,Image 1,3,1,100000001,610000006975,
0,,Spine,1,21,Image 1,8,1,100000000,610000006977,
1,,Spine,1,8,Image 1,4,1,100000003,610000006980,
0,,Spine,1,16,Image 1,4,1,100000000,610000006982,
0,,Spine,1,1,Image 1,1,1,100000003,610000006984,
3,,Spine,1,5,Image 1,1,1,100000003,610000006987,
33,,Spine,1,17,Image 1,4,1,100000000,610000006996,
0,,Spine,1,0,Image 1,1,1,100000000,610000007002,
1,,Spine,1,7,Image 1,2,1,100000000,610000007006,
1,,Spine,1,15,Image 1,5,1,100000000,610000007020,
0,,Spine,1,1,Image 1,1,1,100000003,610000007024,
0,,Spine,1,1,Image 1,2,1,100000002,610000007026,
3,,Spine,1,5,Image 1,4,1,100000002,610000007031,
1,,Spine,1,17,Image 1,4,1,100000000,610000007034,
0,,Spine,1,2,Image 1,2,1,100000001,610000007036,
1,,Spine,1,16,Image 1,4,1,100000000,610000007038,
1,,Spine,1,1,Image 1,1,1,100000002,610000007041,
3,,Spine,1,5,Image 1,5,1,100000002,610000007046,
0,,Spine,1,1,Image 1,1,1,100000002,610000007052,
12,,Spine,1,5,Image 1,2,1,100000003,610000007054,
3,,Spine,1,4,Image 1,2,1,100000003,610000007056,
1,,Spine,1,2,Image 1,2,1,100000002,610000007059,
0,,Spine,1,0,Image 1,1,1,100000000,610000007061,
0,,Spine,1,15,Image 1,4,1,100000000,610000007063,
0,,Spine,1,1,Image 1,1,1,100000002,610000007069,
4,,Spine,1,1,Image 1,2,1,100000002,610000007071,
2,,Spine,1,7,Image 1,3,1,100000003,610000007074,
1,,Spine,1,15,Image 1,4,1,100000000,610000007076,
0,,Spine,1,0,Image 1,1,1,100000003,610000007080,
2,,Spine,1,1,Image 1,1,1,100000002,610000007082,
3,,Spine,1,1,Image 1,1,1,100000003,610000007088,
0,,Spine,1,0,Image 1,1,1,100000000,610000007104,
1,,Spine,1,0,Image 1,1,1,100000000,610000007111,
0,,Spine,1,9,Image 1,4,1,100000003,610000007123,
2,,Spine,1,14,Image 1,4,1,100000000,610000007134,
1,,Spine,1,1,Image 1,1,1,100000002,610000007140,
1,,Spine,1,4,Image 1,2,1,100000002,610000007142,
1,,Spine,1,2,Image 1,3,1,100000001,610000007150,
1,,Spine,1,1,Image 1,1,1,100000003,610000007152,
3,,Spine,1,1,Image 1,1,1,100000002,610000007159,
0,,Spine,1,0,Image 1,1,1,100000000,610000007164,
4,,Spine,1,1,Image 1,1,1,100000002,610000007184,
1,,Spine,1,1,Image 1,1,1,100000003,610000007187,
