
Segment Center Number of Voxel Ch=4 Img=1
 ==================== 
Segment Center Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
107,,Segment,4,5,Image 1,2,1,100000000,510000001809,
32,,Segment,4,4,Image 1,2,1,100000000,510000001840,
3,,Segment,4,6,Image 1,2,1,100000000,510000001842,
24,,Segment,4,12,Image 1,5,1,100000003,510000001865,
11,,Segment,4,11,Image 1,5,1,100000003,510000001875,
10,,Segment,4,10,Image 1,5,1,100000003,510000001884,
3,,Segment,4,9,Image 1,4,1,100000003,510000001886,
36,,Segment,4,8,Image 1,3,1,100000003,510000001921,
3,,Segment,4,7,Image 1,3,1,100000003,510000001923,
15,,Segment,4,6,Image 1,3,1,100000003,510000001937,
4,,Segment,4,5,Image 1,2,1,100000003,510000001940,
16,,Segment,4,4,Image 1,2,1,100000003,510000001955,
19,,Segment,4,3,Image 1,2,1,100000003,510000001973,
12,,Segment,4,2,Image 1,2,1,100000003,510000001984,
46,,Segment,4,1,Image 1,1,1,100000003,510000002029,
25,,Segment,4,0,Image 1,1,1,100000003,510000002056,
12,,Segment,4,11,Image 1,6,1,100000003,510000002090,
4,,Segment,4,12,Image 1,6,1,100000003,510000002095,
5,,Segment,4,10,Image 1,4,1,100000003,510000002099,
3,,Segment,4,9,Image 1,3,1,100000003,510000002101,
45,,Segment,4,5,Image 1,3,1,100000003,510000002145,
18,,Segment,4,8,Image 1,4,1,100000003,510000002162,
10,,Segment,4,5,Image 1,3,1,100000003,510000002171,
10,,Segment,4,4,Image 1,3,1,100000003,510000002180,
4,,Segment,4,7,Image 1,4,1,100000003,510000002183,
4,,Segment,4,5,Image 1,4,1,100000003,510000002186,
6,,Segment,4,3,Image 1,3,1,100000003,510000002192,
7,,Segment,4,4,Image 1,2,1,100000003,510000002198,
15,,Segment,4,3,Image 1,1,1,100000003,510000002212,
25,,Segment,4,2,Image 1,1,1,100000003,510000002236,
8,,Segment,4,3,Image 1,2,1,100000003,510000002244,
17,,Segment,4,5,Image 1,3,1,100000003,510000002260,
7,,Segment,4,4,Image 1,3,1,100000003,510000002266,
25,,Segment,4,3,Image 1,3,1,100000003,510000002290,
74,,Segment,4,2,Image 1,3,1,100000003,510000002386,
15,,Segment,4,1,Image 1,2,1,100000003,510000002400,
4,,Segment,4,5,Image 1,4,1,100000003,510000002403,
17,,Segment,4,3,Image 1,4,1,100000003,510000002419,
11,,Segment,4,1,Image 1,2,1,100000003,510000002430,
25,,Segment,4,7,Image 1,5,1,100000002,510000002454,
9,,Segment,4,6,Image 1,4,1,100000002,510000002462,
36,,Segment,4,4,Image 1,3,1,100000002,510000002498,
3,,Segment,4,3,Image 1,2,1,100000002,510000002500,
23,,Segment,4,1,Image 1,2,1,100000002,510000002542,
21,,Segment,4,0,Image 1,1,1,100000002,510000002567,
25,,Segment,4,7,Image 1,3,1,100000002,510000002614,
5,,Segment,4,6,Image 1,3,1,100000002,510000002618,
10,,Segment,4,7,Image 1,4,1,100000002,510000002630,
5,,Segment,4,7,Image 1,4,1,100000002,510000002634,
6,,Segment,4,6,Image 1,4,1,100000002,510000002639,
5,,Segment,4,6,Image 1,5,1,100000002,510000002643,
16,,Segment,4,5,Image 1,2,1,100000002,510000002658,
5,,Segment,4,4,Image 1,2,1,100000002,510000002662,
4,,Segment,4,5,Image 1,3,1,100000002,510000002667,
6,,Segment,4,2,Image 1,3,1,100000002,510000002672,
3,,Segment,4,3,Image 1,3,1,100000002,510000002674,
24,,Segment,4,11,Image 1,5,1,100000000,510000002697,
16,,Segment,4,10,Image 1,4,1,100000000,510000002712,
19,,Segment,4,9,Image 1,1,1,100000003,510000002731,
17,,Segment,4,8,Image 1,1,1,100000003,510000002747,
14,,Segment,4,7,Image 1,1,1,100000003,510000002760,
3,,Segment,4,6,Image 1,1,1,100000003,510000002762,
20,,Segment,4,5,Image 1,1,1,100000003,510000002781,
4,,Segment,4,9,Image 1,2,1,100000003,510000002784,
28,,Segment,4,6,Image 1,2,1,100000003,510000002811,
10,,Segment,4,8,Image 1,2,1,100000003,510000002820,
8,,Segment,4,7,Image 1,2,1,100000003,510000002827,
24,,Segment,4,22,Image 1,8,1,100000000,510000002850,
18,,Segment,4,21,Image 1,7,1,100000000,510000002867,
21,,Segment,4,20,Image 1,6,1,100000000,510000002887,
5,,Segment,4,19,Image 1,6,1,100000000,510000002891,
6,,Segment,4,18,Image 1,5,1,100000000,510000002896,
23,,Segment,4,17,Image 1,5,1,100000000,510000002918,
12,,Segment,4,16,Image 1,5,1,100000000,510000002929,
15,,Segment,4,15,Image 1,4,1,100000000,510000002943,
8,,Segment,4,14,Image 1,3,1,100000000,510000002950,
6,,Segment,4,13,Image 1,3,1,100000000,510000002955,
31,,Segment,4,12,Image 1,2,1,100000000,510000002985,
3,,Segment,4,22,Image 1,7,1,100000000,510000002988,
14,,Segment,4,10,Image 1,5,1,100000003,510000003001,
4,,Segment,4,9,Image 1,4,1,100000003,510000003004,
4,,Segment,4,8,Image 1,3,1,100000003,510000003007,
3,,Segment,4,7,Image 1,3,1,100000003,510000003009,
8,,Segment,4,6,Image 1,2,1,100000003,510000003016,
14,,Segment,4,5,Image 1,2,1,100000003,510000003029,
8,,Segment,4,4,Image 1,2,1,100000003,510000003036,
4,,Segment,4,3,Image 1,2,1,100000003,510000003039,
