
Spine Position X
 ==================== 
Spine Position X,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
1723.06,µm,Spine,Spine Position,4,2,1,100000000,610000006574,
1717.75,µm,Spine,Spine Position,6,3,1,100000003,610000006576,
1711.29,µm,Spine,Spine Position,2,2,1,100000000,610000006581,
1714.33,µm,Spine,Spine Position,9,4,1,100000003,610000006589,
1733.62,µm,Spine,Spine Position,3,4,1,100000001,610000006593,
1715.73,µm,Spine,Spine Position,2,3,1,100000003,610000006596,
1721.77,µm,Spine,Spine Position,3,1,1,100000003,610000006601,
1733.64,µm,Spine,Spine Position,3,4,1,100000001,610000006605,
1721.76,µm,Spine,Spine Position,6,3,1,100000003,610000006608,
1718.89,µm,Spine,Spine Position,6,3,1,100000003,610000006612,
1738.55,µm,Spine,Spine Position,3,4,1,100000001,610000006626,
1716.31,µm,Spine,Spine Position,9,5,1,100000003,610000006632,
1714.2,µm,Spine,Spine Position,4,3,1,100000003,610000006634,
1718.78,µm,Spine,Spine Position,12,6,1,100000003,610000006636,
1725.13,µm,Spine,Spine Position,6,4,1,100000003,610000006639,
1696.78,µm,Spine,Spine Position,3,3,1,100000002,610000006643,
1698.91,µm,Spine,Spine Position,1,2,1,100000002,610000006645,
1714.95,µm,Spine,Spine Position,6,4,1,100000003,610000006648,
1720.67,µm,Spine,Spine Position,12,5,1,100000003,610000006651,
1719.37,µm,Spine,Spine Position,6,2,1,100000003,610000006653,
1706.1,µm,Spine,Spine Position,19,6,1,100000000,610000006656,
1717.52,µm,Spine,Spine Position,9,4,1,100000003,610000006660,
1730.04,µm,Spine,Spine Position,11,5,1,100000003,610000006662,
1731.66,µm,Spine,Spine Position,3,2,1,100000003,610000006668,
1704.23,µm,Spine,Spine Position,2,2,1,100000002,610000006674,
1699.69,µm,Spine,Spine Position,1,2,1,100000002,610000006679,
1714.14,µm,Spine,Spine Position,5,2,1,100000000,610000006682,
1725.21,µm,Spine,Spine Position,2,1,1,100000003,610000006684,
1716.44,µm,Spine,Spine Position,8,3,1,100000003,610000006687,
1731.68,µm,Spine,Spine Position,3,2,1,100000003,610000006691,
1719.04,µm,Spine,Spine Position,0,1,1,100000000,610000006693,
1720.88,µm,Spine,Spine Position,14,5,1,100000003,610000006695,
1725.04,µm,Spine,Spine Position,6,4,1,100000003,610000006698,
1699.31,µm,Spine,Spine Position,5,4,1,100000002,610000006703,
1697.49,µm,Spine,Spine Position,2,2,1,100000002,610000006705,
