
Segment Number of Voxel Ch=5 Img=1
 ==================== 
Segment Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
1159,,Segment,5,5,Image 1,2,1,100000000,510000001809,
425,,Segment,5,4,Image 1,2,1,100000000,510000001840,
102,,Segment,5,6,Image 1,2,1,100000000,510000001842,
398,,Segment,5,12,Image 1,5,1,100000003,510000001865,
211,,Segment,5,11,Image 1,5,1,100000003,510000001875,
184,,Segment,5,10,Image 1,5,1,100000003,510000001884,
96,,Segment,5,9,Image 1,4,1,100000003,510000001886,
655,,Segment,5,8,Image 1,3,1,100000003,510000001921,
92,,Segment,5,7,Image 1,3,1,100000003,510000001923,
322,,Segment,5,6,Image 1,3,1,100000003,510000001937,
186,,Segment,5,5,Image 1,2,1,100000003,510000001940,
539,,Segment,5,4,Image 1,2,1,100000003,510000001955,
459,,Segment,5,3,Image 1,2,1,100000003,510000001973,
194,,Segment,5,2,Image 1,2,1,100000003,510000001984,
789,,Segment,5,1,Image 1,1,1,100000003,510000002029,
580,,Segment,5,0,Image 1,1,1,100000003,510000002056,
151,,Segment,5,11,Image 1,6,1,100000003,510000002090,
66,,Segment,5,12,Image 1,6,1,100000003,510000002095,
176,,Segment,5,10,Image 1,4,1,100000003,510000002099,
168,,Segment,5,9,Image 1,3,1,100000003,510000002101,
965,,Segment,5,5,Image 1,3,1,100000003,510000002145,
260,,Segment,5,8,Image 1,4,1,100000003,510000002162,
167,,Segment,5,5,Image 1,3,1,100000003,510000002171,
233,,Segment,5,4,Image 1,3,1,100000003,510000002180,
81,,Segment,5,7,Image 1,4,1,100000003,510000002183,
71,,Segment,5,5,Image 1,4,1,100000003,510000002186,
150,,Segment,5,3,Image 1,3,1,100000003,510000002192,
92,,Segment,5,4,Image 1,2,1,100000003,510000002198,
287,,Segment,5,3,Image 1,1,1,100000003,510000002212,
789,,Segment,5,2,Image 1,1,1,100000003,510000002236,
207,,Segment,5,3,Image 1,2,1,100000003,510000002244,
326,,Segment,5,5,Image 1,3,1,100000003,510000002260,
169,,Segment,5,4,Image 1,3,1,100000003,510000002266,
350,,Segment,5,3,Image 1,3,1,100000003,510000002290,
1083,,Segment,5,2,Image 1,3,1,100000003,510000002386,
334,,Segment,5,1,Image 1,2,1,100000003,510000002400,
96,,Segment,5,5,Image 1,4,1,100000003,510000002403,
180,,Segment,5,3,Image 1,4,1,100000003,510000002419,
180,,Segment,5,1,Image 1,2,1,100000003,510000002430,
427,,Segment,5,7,Image 1,5,1,100000002,510000002454,
307,,Segment,5,6,Image 1,4,1,100000002,510000002462,
473,,Segment,5,4,Image 1,3,1,100000002,510000002498,
68,,Segment,5,3,Image 1,2,1,100000002,510000002500,
534,,Segment,5,1,Image 1,2,1,100000002,510000002542,
462,,Segment,5,0,Image 1,1,1,100000002,510000002567,
501,,Segment,5,7,Image 1,3,1,100000002,510000002614,
150,,Segment,5,6,Image 1,3,1,100000002,510000002618,
216,,Segment,5,7,Image 1,4,1,100000002,510000002630,
146,,Segment,5,7,Image 1,4,1,100000002,510000002634,
201,,Segment,5,6,Image 1,4,1,100000002,510000002639,
126,,Segment,5,6,Image 1,5,1,100000002,510000002643,
239,,Segment,5,5,Image 1,2,1,100000002,510000002658,
94,,Segment,5,4,Image 1,2,1,100000002,510000002662,
76,,Segment,5,5,Image 1,3,1,100000002,510000002667,
118,,Segment,5,2,Image 1,3,1,100000002,510000002672,
101,,Segment,5,3,Image 1,3,1,100000002,510000002674,
250,,Segment,5,11,Image 1,5,1,100000000,510000002697,
225,,Segment,5,10,Image 1,4,1,100000000,510000002712,
229,,Segment,5,9,Image 1,1,1,100000003,510000002731,
318,,Segment,5,8,Image 1,1,1,100000003,510000002747,
338,,Segment,5,7,Image 1,1,1,100000003,510000002760,
153,,Segment,5,6,Image 1,1,1,100000003,510000002762,
508,,Segment,5,5,Image 1,1,1,100000003,510000002781,
85,,Segment,5,9,Image 1,2,1,100000003,510000002784,
608,,Segment,5,6,Image 1,2,1,100000003,510000002811,
213,,Segment,5,8,Image 1,2,1,100000003,510000002820,
208,,Segment,5,7,Image 1,2,1,100000003,510000002827,
333,,Segment,5,22,Image 1,8,1,100000000,510000002850,
246,,Segment,5,21,Image 1,7,1,100000000,510000002867,
283,,Segment,5,20,Image 1,6,1,100000000,510000002887,
138,,Segment,5,19,Image 1,6,1,100000000,510000002891,
218,,Segment,5,18,Image 1,5,1,100000000,510000002896,
427,,Segment,5,17,Image 1,5,1,100000000,510000002918,
175,,Segment,5,16,Image 1,5,1,100000000,510000002929,
249,,Segment,5,15,Image 1,4,1,100000000,510000002943,
178,,Segment,5,14,Image 1,3,1,100000000,510000002950,
155,,Segment,5,13,Image 1,3,1,100000000,510000002955,
