
Intensity Mean Ch=1 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
7.55336,,Surface,1,Image 1,1,0,
6.18837,,Surface,1,Image 1,1,1,
4.58835,,Surface,1,Image 1,1,2,
5.47895,,Surface,1,Image 1,1,3,
