
Spine Terminal Pt Distance
 ==================== 
Spine Terminal Pt Distance,Unit,Category,Depth,Level,Time,FilamentID,ID,
36.0006,µm,Spine,3,3,1,100000000,610000004573,
34.5607,µm,Spine,3,3,1,100000000,610000004592,
23.8925,µm,Spine,1,2,1,100000002,610000004606,
19.4421,µm,Spine,2,2,1,100000003,610000004626,
55.0858,µm,Spine,5,4,1,100000003,610000004656,
45.2983,µm,Spine,4,1,1,100000002,610000004666,
27.7222,µm,Spine,2,2,1,100000003,610000004676,
21.3953,µm,Spine,1,1,1,100000002,610000004682,
45.9662,µm,Spine,5,2,1,100000000,610000004692,
45.4536,µm,Spine,5,2,1,100000000,610000004700,
27.2533,µm,Spine,2,2,1,100000003,610000004709,
26.6074,µm,Spine,2,2,1,100000003,610000004716,
76.0322,µm,Spine,5,1,1,100000002,610000004725,
75.1802,µm,Spine,5,1,1,100000002,610000004734,
75.3932,µm,Spine,5,1,1,100000002,610000004742,
74.7208,µm,Spine,5,1,1,100000002,610000004749,
74.6786,µm,Spine,5,1,1,100000002,610000004755,
8.69812,µm,Spine,0,1,1,100000002,610000004768,
10.4679,µm,Spine,1,2,1,100000003,610000004773,
76.306,µm,Spine,5,2,1,100000002,610000004786,
75.875,µm,Spine,5,2,1,100000002,610000004798,
18.7877,µm,Spine,1,2,1,100000000,610000004813,
17.8432,µm,Spine,1,2,1,100000000,610000004823,
16.7267,µm,Spine,1,2,1,100000000,610000004829,
5.82479,µm,Spine,0,1,1,100000003,610000004846,
58.4367,µm,Spine,5,2,1,100000002,610000004850,
13.4726,µm,Spine,0,1,1,100000001,610000004860,
7.34627,µm,Spine,1,2,1,100000003,610000004863,
33.8598,µm,Spine,1,1,1,100000002,610000004873,
6.45246,µm,Spine,0,1,1,100000002,610000004877,
28.286,µm,Spine,5,1,1,100000003,610000004886,
5.9956,µm,Spine,0,1,1,100000002,610000004915,
8.31073,µm,Spine,1,1,1,100000003,610000004918,
16.5496,µm,Spine,2,1,1,100000003,610000004920,
3.69055,µm,Spine,0,1,1,100000003,610000004927,
2.83224,µm,Spine,0,1,1,100000002,610000004931,
73.9537,µm,Spine,5,2,1,100000002,610000004944,
15.6519,µm,Spine,1,1,1,100000002,610000004963,
2.86016,µm,Spine,0,1,1,100000003,610000004974,
2.56155,µm,Spine,0,1,1,100000002,610000004978,
1.36586,µm,Spine,0,1,1,100000001,610000004981,
10.1472,µm,Spine,1,1,1,100000002,610000004999,
2.93055,µm,Spine,0,1,1,100000002,610000005002,
1.78667,µm,Spine,0,1,1,100000000,610000005024,
9.8657,µm,Spine,1,1,1,100000002,610000005033,
2.6431,µm,Spine,0,1,1,100000002,610000005048,
2.921,µm,Spine,0,1,1,100000003,610000005053,
1.4009,µm,Spine,0,1,1,100000002,610000005067,
9.25251,µm,Spine,1,1,1,100000002,610000005071,
61.3723,µm,Spine,5,2,1,100000000,610000005101,
46.1917,µm,Spine,5,2,1,100000000,610000005102,
45.9083,µm,Spine,5,2,1,100000000,610000005103,
32.5097,µm,Spine,3,3,1,100000000,610000005104,
15.3966,µm,Spine,1,1,1,100000000,610000005105,
14.7055,µm,Spine,1,1,1,100000000,610000005106,
5.44102,µm,Spine,1,2,1,100000000,610000005114,
4.90647,µm,Spine,1,2,1,100000000,610000005115,
5.56556,µm,Spine,1,1,1,100000000,610000005116,
31.3452,µm,Spine,5,3,1,100000001,610000005123,
26.7217,µm,Spine,3,3,1,100000001,610000005125,
3.97962,µm,Spine,0,1,1,100000001,610000005126,
1.30968,µm,Spine,0,1,1,100000001,610000005129,
9.15742,µm,Spine,1,2,1,100000001,610000005131,
37.2156,µm,Spine,5,3,1,100000001,610000005132,
12.4244,µm,Spine,0,1,1,100000001,610000005133,
1.055,µm,Spine,0,1,1,100000001,610000005134,
7.51256,µm,Spine,3,3,1,100000001,610000005139,
14.1264,µm,Spine,3,3,1,100000001,610000005140,
4.21078,µm,Spine,0,1,1,100000001,610000005143,
1.17503,µm,Spine,0,1,1,100000001,610000005144,
72.9697,µm,Spine,5,2,1,100000002,610000005145,
35.5317,µm,Spine,4,1,1,100000002,610000005146,
9.45545,µm,Spine,0,1,1,100000002,610000005147,
15.2014,µm,Spine,1,2,1,100000002,610000005148,
13.2325,µm,Spine,0,1,1,100000002,610000005149,
4.34207,µm,Spine,0,1,1,100000002,610000005150,
14.5777,µm,Spine,1,1,1,100000002,610000005151,
8.67224,µm,Spine,1,1,1,100000002,610000005152,
3.05339,µm,Spine,0,1,1,100000002,610000005153,
1.6582,µm,Spine,0,1,1,100000002,610000005158,
42.018,µm,Spine,4,4,1,100000003,610000005159,
11.6261,µm,Spine,3,2,1,100000003,610000005160,
8.79893,µm,Spine,3,2,1,100000003,610000005161,
21.1028,µm,Spine,2,2,1,100000003,610000005163,
5.90668,µm,Spine,0,1,1,100000003,610000005164,
8.57719,µm,Spine,0,1,1,100000003,610000005165,
23.299,µm,Spine,3,3,1,100000003,610000005169,
1.26276,µm,Spine,0,1,1,100000003,610000005171,
8.55637,µm,Spine,0,1,1,100000003,610000005172,
2.44545,µm,Spine,0,1,1,100000003,610000005173,
1.43141,µm,Spine,0,1,1,100000003,610000005174,
1.09116,µm,Spine,0,1,1,100000003,610000005175,
