
Filament Segment Length (sum)
 ==================== 
Filament Segment Length (sum),Unit,Category,Time,ID,
172.322,µm,Filament,1,100000000,
372.336,µm,Filament,1,100000001,
265.813,µm,Filament,1,100000002,
358.689,µm,Filament,1,100000003,
