
Segment Branching Angle B
 ==================== 
Segment Branching Angle B,Unit,Category,Depth,Level,Time,FilamentID,ID,
42.4628,°,Segment,5,4,1,100000003,510000000056,
41.4941,°,Segment,4,3,1,100000003,510000000064,
38.2602,°,Segment,3,2,1,100000003,510000000177,
42.3613,°,Segment,2,2,1,100000003,510000000213,
13.1785,°,Segment,1,1,1,100000003,510000000220,
0,°,Segment,0,1,1,100000003,510000000258,
52.3291,°,Segment,6,3,1,100000000,510000000348,
120.13,°,Segment,5,3,1,100000000,510000000393,
9.94667,°,Segment,4,2,1,100000000,510000000399,
46.7406,°,Segment,3,2,1,100000000,510000000407,
80.8134,°,Segment,2,2,1,100000000,510000000437,
53.3485,°,Segment,1,2,1,100000000,510000000481,
0,°,Segment,0,1,1,100000000,510000000510,
52.731,°,Segment,2,2,1,100000003,510000000550,
17.1144,°,Segment,1,1,1,100000003,510000000567,
0,°,Segment,0,1,1,100000003,510000000580,
81.2399,°,Segment,4,3,1,100000002,510000000597,
38.3124,°,Segment,3,3,1,100000002,510000000666,
33.4184,°,Segment,2,2,1,100000002,510000000699,
54.5407,°,Segment,1,1,1,100000002,510000000752,
0,°,Segment,0,1,1,100000002,510000000801,
73.1628,°,Segment,4,4,1,100000002,510000000804,
25.7222,°,Segment,1,1,1,100000002,510000000889,
0,°,Segment,0,1,1,100000002,510000000935,
96.2327,°,Segment,5,2,1,100000002,510000001034,
8.93743,°,Segment,4,1,1,100000002,510000001136,
26.6648,°,Segment,3,1,1,100000002,510000001150,
40.2035,°,Segment,2,1,1,100000002,510000001164,
43.1971,°,Segment,3,2,1,100000002,510000001217,
73.5269,°,Segment,8,4,1,100000001,510000001226,
69.3563,°,Segment,7,3,1,100000001,510000001237,
69.2007,°,Segment,6,3,1,100000001,510000001273,
43.0201,°,Segment,5,2,1,100000001,510000001287,
17.5016,°,Segment,4,2,1,100000001,510000001296,
16.0007,°,Segment,3,2,1,100000001,510000001303,
40.1766,°,Segment,2,2,1,100000001,510000001309,
29.0869,°,Segment,1,1,1,100000001,510000001317,
0,°,Segment,0,1,1,100000001,510000001377,
36.0363,°,Segment,6,3,1,100000000,510000001404,
78.1337,°,Segment,5,2,1,100000000,510000001493,
37.5634,°,Segment,4,4,1,100000003,510000001552,
43.2005,°,Segment,3,3,1,100000003,510000001608,
118.953,°,Segment,5,1,1,100000002,510000001693,
83.2025,°,Segment,7,4,1,100000001,510000001706,
40.1525,°,Segment,8,3,1,100000001,510000001710,
71.5497,°,Segment,4,2,1,100000002,510000001768,
96.8889,°,Segment,3,4,1,100000001,510000001797,
9.44866,°,Segment,2,3,1,100000001,510000001817,
33.4165,°,Segment,1,2,1,100000001,510000001831,
0,°,Segment,0,1,1,100000001,510000001858,
74.1878,°,Segment,4,3,1,100000003,510000001895,
65.2846,°,Segment,1,2,1,100000003,510000001923,
119.626,°,Segment,3,3,1,100000003,510000001935,
36.4215,°,Segment,2,2,1,100000003,510000001953,
46.0277,°,Segment,1,2,1,100000003,510000001989,
0,°,Segment,0,1,1,100000003,510000002005,
81.8978,°,Segment,3,2,1,100000003,510000002028,
55.5513,°,Segment,6,2,1,100000000,510000002039,
17.6367,°,Segment,2,2,1,100000003,510000002061,
70.6532,°,Segment,1,2,1,100000003,510000002069,
0,°,Segment,0,1,1,100000003,510000002110,
86.2575,°,Segment,1,2,1,100000002,510000002151,
70.996,°,Segment,1,2,1,100000000,510000002204,
0,°,Segment,0,1,1,100000000,510000002214,
17.0544,°,Segment,3,3,1,100000000,510000002281,
67.4854,°,Segment,1,2,1,100000003,510000002294,
0,°,Segment,0,1,1,100000003,510000002371,
137.264,°,Segment,3,4,1,100000003,510000002378,
17.3624,°,Segment,2,3,1,100000003,510000002399,
28.2269,°,Segment,3,3,1,100000001,510000002425,
44.7086,°,Segment,3,3,1,100000001,510000002479,
63.4491,°,Segment,2,2,1,100000001,510000002485,
102.995,°,Segment,1,2,1,100000001,510000002518,
85,°,Segment,2,3,1,100000003,510000002520,
79.3889,°,Segment,1,2,1,100000003,510000002550,
0,°,Segment,0,1,1,100000003,510000002566,
29.2067,°,Segment,2,2,1,100000003,510000002568,
100.204,°,Segment,2,3,1,100000001,510000002574,
66.8805,°,Segment,1,2,1,100000001,510000002630,
0,°,Segment,0,1,1,100000001,510000002635,
28.9694,°,Segment,2,2,1,100000001,510000002655,
72.4742,°,Segment,5,3,1,100000001,510000002665,
47.5825,°,Segment,4,3,1,100000001,510000002707,
76.9282,°,Segment,5,4,1,100000001,510000002715,
78.4148,°,Segment,3,2,1,100000002,510000002737,
