
Spine Attachment Pt Diameter
 ==================== 
Spine Attachment Pt Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
1.20014,µm,Spine,3,3,1,100000000,610000004573,
1.20014,µm,Spine,3,3,1,100000000,610000004592,
1.15426,µm,Spine,1,2,1,100000002,610000004606,
1.10862,µm,Spine,2,2,1,100000003,610000004626,
0.416667,µm,Spine,1,2,1,100000000,610000004643,
0.94892,µm,Spine,5,4,1,100000003,610000004656,
1.04738,µm,Spine,4,1,1,100000002,610000004666,
0.794244,µm,Spine,2,2,1,100000003,610000004676,
0.983552,µm,Spine,1,1,1,100000002,610000004682,
1.46409,µm,Spine,5,2,1,100000000,610000004692,
1.46409,µm,Spine,5,2,1,100000000,610000004700,
0.794244,µm,Spine,2,2,1,100000003,610000004709,
0.794244,µm,Spine,2,2,1,100000003,610000004716,
0.790345,µm,Spine,5,1,1,100000002,610000004725,
0.790345,µm,Spine,5,1,1,100000002,610000004734,
0.790345,µm,Spine,5,1,1,100000002,610000004742,
0.790345,µm,Spine,5,1,1,100000002,610000004749,
0.790345,µm,Spine,5,1,1,100000002,610000004755,
1.21367,µm,Spine,0,1,1,100000002,610000004768,
0.851435,µm,Spine,1,2,1,100000003,610000004773,
1.05543,µm,Spine,5,2,1,100000002,610000004786,
1.05543,µm,Spine,5,2,1,100000002,610000004798,
0.809606,µm,Spine,1,2,1,100000000,610000004813,
0.809606,µm,Spine,1,2,1,100000000,610000004823,
0.809606,µm,Spine,1,2,1,100000000,610000004829,
0.416667,µm,Spine,1,2,1,100000000,610000004836,
0.539134,µm,Spine,0,1,1,100000003,610000004846,
1.03052,µm,Spine,5,2,1,100000002,610000004850,
0.416667,µm,Spine,0,1,1,100000001,610000004857,
0.940655,µm,Spine,0,1,1,100000001,610000004860,
0.894161,µm,Spine,1,2,1,100000003,610000004863,
0.585938,µm,Spine,1,2,1,100000000,610000004871,
0.932633,µm,Spine,1,1,1,100000002,610000004873,
1.21367,µm,Spine,0,1,1,100000002,610000004877,
0.667399,µm,Spine,0,1,1,100000003,610000004884,
1.06183,µm,Spine,5,1,1,100000003,610000004886,
0.645014,µm,Spine,0,1,1,100000001,610000004889,
0.563457,µm,Spine,0,1,1,100000003,610000004895,
0.596316,µm,Spine,1,2,1,100000000,610000004901,
0.416667,µm,Spine,0,1,1,100000002,610000004905,
1.28484,µm,Spine,0,1,1,100000003,610000004912,
1.21367,µm,Spine,0,1,1,100000002,610000004915,
1.79615,µm,Spine,1,1,1,100000003,610000004918,
1.18165,µm,Spine,2,1,1,100000003,610000004920,
0.68715,µm,Spine,1,2,1,100000000,610000004923,
0.539134,µm,Spine,0,1,1,100000003,610000004927,
0.416667,µm,Spine,0,1,1,100000002,610000004931,
0.510525,µm,Spine,1,2,1,100000000,610000004933,
0.767958,µm,Spine,0,1,1,100000002,610000004936,
0.802491,µm,Spine,0,1,1,100000003,610000004941,
1.05543,µm,Spine,5,2,1,100000002,610000004944,
0.78776,µm,Spine,0,1,1,100000003,610000004948,
1.30208,µm,Spine,0,1,1,100000002,610000004951,
0.416667,µm,Spine,0,1,1,100000001,610000004954,
0.688961,µm,Spine,1,2,1,100000000,610000004957,
1.7052,µm,Spine,0,1,1,100000002,610000004961,
1.57686,µm,Spine,1,1,1,100000002,610000004963,
0.625,µm,Spine,0,1,1,100000002,610000004967,
0.539134,µm,Spine,0,1,1,100000003,610000004974,
0.703532,µm,Spine,0,1,1,100000001,610000004976,
0.416667,µm,Spine,0,1,1,100000002,610000004978,
0.416667,µm,Spine,0,1,1,100000001,610000004981,
0.416667,µm,Spine,0,1,1,100000002,610000004984,
0.621853,µm,Spine,1,2,1,100000000,610000004986,
0.78125,µm,Spine,0,1,1,100000001,610000004988,
1.07273,µm,Spine,0,1,1,100000001,610000004991,
0.416667,µm,Spine,0,1,1,100000003,610000004993,
1.37228,µm,Spine,1,1,1,100000002,610000004999,
0.416667,µm,Spine,0,1,1,100000002,610000005002,
0.588669,µm,Spine,0,1,1,100000002,610000005013,
0.742778,µm,Spine,0,1,1,100000002,610000005016,
0.772015,µm,Spine,1,2,1,100000000,610000005018,
1.40383,µm,Spine,0,1,1,100000001,610000005020,
0.915639,µm,Spine,0,1,1,100000001,610000005022,
1.02908,µm,Spine,0,1,1,100000000,610000005024,
0.416667,µm,Spine,0,1,1,100000001,610000005026,
1.37228,µm,Spine,1,1,1,100000002,610000005033,
1.04775,µm,Spine,0,1,1,100000003,610000005035,
0.416667,µm,Spine,0,1,1,100000002,610000005041,
0.442708,µm,Spine,0,1,1,100000002,610000005043,
0.416667,µm,Spine,0,1,1,100000002,610000005048,
0.539134,µm,Spine,0,1,1,100000003,610000005053,
1.97358,µm,Spine,0,1,1,100000002,610000005067,
1.37228,µm,Spine,1,1,1,100000002,610000005071,
0.909314,µm,Spine,5,2,1,100000000,610000005101,
0.999394,µm,Spine,5,2,1,100000000,610000005102,
0.999394,µm,Spine,5,2,1,100000000,610000005103,
1.00744,µm,Spine,3,3,1,100000000,610000005104,
1.32764,µm,Spine,1,1,1,100000000,610000005105,
1.4301,µm,Spine,1,1,1,100000000,610000005106,
1.03585,µm,Spine,1,2,1,100000000,610000005114,
1.61653,µm,Spine,1,2,1,100000000,610000005115,
1.10197,µm,Spine,1,1,1,100000000,610000005116,
1.08934,µm,Spine,5,3,1,100000001,610000005123,
1.52545,µm,Spine,3,3,1,100000001,610000005125,
0.489035,µm,Spine,0,1,1,100000001,610000005126,
0.91923,µm,Spine,0,1,1,100000001,610000005129,
1.00469,µm,Spine,1,2,1,100000001,610000005131,
0.86293,µm,Spine,5,3,1,100000001,610000005132,
0.940655,µm,Spine,0,1,1,100000001,610000005133,
1.03285,µm,Spine,0,1,1,100000001,610000005134,
0.915791,µm,Spine,3,3,1,100000001,610000005139,
1.11821,µm,Spine,3,3,1,100000001,610000005140,
0.866154,µm,Spine,0,1,1,100000001,610000005143,
1.03254,µm,Spine,0,1,1,100000001,610000005144,
1.05543,µm,Spine,5,2,1,100000002,610000005145,
0.92315,µm,Spine,4,1,1,100000002,610000005146,
0.57008,µm,Spine,0,1,1,100000002,610000005147,
0.655843,µm,Spine,1,2,1,100000002,610000005148,
0.855408,µm,Spine,0,1,1,100000002,610000005149,
1.18497,µm,Spine,0,1,1,100000002,610000005150,
1.57686,µm,Spine,1,1,1,100000002,610000005151,
1.37228,µm,Spine,1,1,1,100000002,610000005152,
1.09573,µm,Spine,0,1,1,100000002,610000005153,
0.416667,µm,Spine,0,1,1,100000002,610000005158,
1.53767,µm,Spine,4,4,1,100000003,610000005159,
1.19029,µm,Spine,3,2,1,100000003,610000005160,
1.08015,µm,Spine,3,2,1,100000003,610000005161,
0.680857,µm,Spine,2,2,1,100000003,610000005163,
0.861868,µm,Spine,0,1,1,100000003,610000005164,
1.15693,µm,Spine,0,1,1,100000003,610000005165,
0.966793,µm,Spine,3,3,1,100000003,610000005169,
0.991611,µm,Spine,0,1,1,100000003,610000005171,
1.0198,µm,Spine,0,1,1,100000003,610000005172,
1.05378,µm,Spine,0,1,1,100000003,610000005173,
0.416667,µm,Spine,0,1,1,100000003,610000005174,
