
Volume Inside Img=1
 ==================== 
Distance to Surface,Volume Inside,Unit,Collection,Image,Time,ID,
-11.911,29.5972,µm^3,Volume Inside,Image 1,1,,
-11.357,107.944,µm^3,Volume Inside,Image 1,1,,
-10.803,316.458,µm^3,Volume Inside,Image 1,1,,
-10.249,666.917,µm^3,Volume Inside,Image 1,1,,
-9.695,1012.06,µm^3,Volume Inside,Image 1,1,,
-9.141,1386.19,µm^3,Volume Inside,Image 1,1,,
-8.587,1785.61,µm^3,Volume Inside,Image 1,1,,
-8.033,2209.21,µm^3,Volume Inside,Image 1,1,,
-7.479,2653.5,µm^3,Volume Inside,Image 1,1,,
-6.925,3132.54,µm^3,Volume Inside,Image 1,1,,
-6.371,3672.61,µm^3,Volume Inside,Image 1,1,,
-5.817,4323.76,µm^3,Volume Inside,Image 1,1,,
-5.263,5057.63,µm^3,Volume Inside,Image 1,1,,
-4.709,5421.19,µm^3,Volume Inside,Image 1,1,,
-4.155,5893.33,µm^3,Volume Inside,Image 1,1,,
-3.601,6455.18,µm^3,Volume Inside,Image 1,1,,
-3.047,7095.69,µm^3,Volume Inside,Image 1,1,,
-2.493,7774.15,µm^3,Volume Inside,Image 1,1,,
-1.939,8443.2,µm^3,Volume Inside,Image 1,1,,
-1.385,9331.82,µm^3,Volume Inside,Image 1,1,,
-0.830999,10528.8,µm^3,Volume Inside,Image 1,1,,
-0.276999,11605,µm^3,Volume Inside,Image 1,1,,
