
Spine Terminal Pt Distance from Origin
 ==================== 
Spine Terminal Pt Distance from Origin,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
23154.6,µm,Spine,Spine Terminal Pt Distance from Origin,6,4,1,100000002,610000004153,
23154.8,µm,Spine,Spine Terminal Pt Distance from Origin,6,4,1,100000002,610000004169,
23155.6,µm,Spine,Spine Terminal Pt Distance from Origin,6,4,1,100000002,610000004184,
23155,µm,Spine,Spine Terminal Pt Distance from Origin,6,4,1,100000002,610000004198,
23156,µm,Spine,Spine Terminal Pt Distance from Origin,6,4,1,100000002,610000004212,
23155.7,µm,Spine,Spine Terminal Pt Distance from Origin,6,4,1,100000002,610000004225,
23208.2,µm,Spine,Spine Terminal Pt Distance from Origin,4,1,1,100000000,610000004231,
23207.7,µm,Spine,Spine Terminal Pt Distance from Origin,4,1,1,100000000,610000004236,
23207.8,µm,Spine,Spine Terminal Pt Distance from Origin,4,1,1,100000000,610000004240,
23256.5,µm,Spine,Spine Terminal Pt Distance from Origin,7,3,1,100000001,610000004243,
23216.4,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000004245,
23217.2,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000004250,
23216.9,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000004257,
23159.9,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000004261,
23217.5,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,100000000,610000004278,
23160.9,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000004280,
23191.6,µm,Spine,Spine Terminal Pt Distance from Origin,3,2,1,100000001,610000004293,
23192.9,µm,Spine,Spine Terminal Pt Distance from Origin,5,3,1,100000001,610000004295,
23162.2,µm,Spine,Spine Terminal Pt Distance from Origin,2,2,1,100000002,610000004298,
23249.1,µm,Spine,Spine Terminal Pt Distance from Origin,5,1,1,100000001,610000004301,
23191.9,µm,Spine,Spine Terminal Pt Distance from Origin,3,2,1,100000001,610000004314,
23161.4,µm,Spine,Spine Terminal Pt Distance from Origin,2,2,1,100000002,610000004325,
23165.5,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000004335,
23183.2,µm,Spine,Spine Terminal Pt Distance from Origin,2,1,1,100000002,610000004340,
23209.7,µm,Spine,Spine Terminal Pt Distance from Origin,2,1,1,100000001,610000004342,
23217.1,µm,Spine,Spine Terminal Pt Distance from Origin,4,4,1,100000000,610000004345,
23226.1,µm,Spine,Spine Terminal Pt Distance from Origin,3,2,1,100000000,610000004347,
23201.4,µm,Spine,Spine Terminal Pt Distance from Origin,3,3,1,100000000,610000004351,
23164.1,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000004353,
23219.3,µm,Spine,Spine Terminal Pt Distance from Origin,6,5,1,100000001,610000004361,
23159.8,µm,Spine,Spine Terminal Pt Distance from Origin,4,2,1,100000002,610000004366,
23240.6,µm,Spine,Spine Terminal Pt Distance from Origin,5,1,1,100000000,610000004370,
23223,µm,Spine,Spine Terminal Pt Distance from Origin,1,2,1,100000000,610000004372,
23165.3,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000004378,
23222.9,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000004382,
23161.6,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000004390,
