
Spine Part Volume Neck
 ==================== 
Spine Part Volume Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.398186,µm^3,Spine,Spine Part Volume,6,4,1,100000002,610000004153,
0.21504,µm^3,Spine,Spine Part Volume,6,4,1,100000002,610000004169,
0.263131,µm^3,Spine,Spine Part Volume,6,4,1,100000002,610000004184,
0.164396,µm^3,Spine,Spine Part Volume,6,4,1,100000002,610000004198,
0.170989,µm^3,Spine,Spine Part Volume,6,4,1,100000002,610000004212,
0.131401,µm^3,Spine,Spine Part Volume,6,4,1,100000002,610000004225,
0.214926,µm^3,Spine,Spine Part Volume,4,1,1,100000000,610000004231,
0.117541,µm^3,Spine,Spine Part Volume,4,1,1,100000000,610000004236,
0,µm^3,Spine,Spine Part Volume,4,1,1,100000000,610000004240,
0.431282,µm^3,Spine,Spine Part Volume,7,3,1,100000001,610000004243,
0,µm^3,Spine,Spine Part Volume,1,2,1,100000001,610000004248,
0.293658,µm^3,Spine,Spine Part Volume,1,2,1,100000001,610000004255,
0.483608,µm^3,Spine,Spine Part Volume,1,2,1,100000001,610000004259,
1.34534,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000004270,
0.521142,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000004278,
0.347687,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000004287,
0.608855,µm^3,Spine,Spine Part Volume,3,2,1,100000001,610000004293,
0,µm^3,Spine,Spine Part Volume,5,3,1,100000001,610000004295,
0.421915,µm^3,Spine,Spine Part Volume,2,2,1,100000002,610000004298,
0.21863,µm^3,Spine,Spine Part Volume,5,1,1,100000001,610000004301,
1.22413,µm^3,Spine,Spine Part Volume,1,2,1,100000001,610000004309,
0.208435,µm^3,Spine,Spine Part Volume,3,2,1,100000001,610000004314,
1.17586,µm^3,Spine,Spine Part Volume,1,2,1,100000001,610000004323,
0,µm^3,Spine,Spine Part Volume,2,2,1,100000002,610000004325,
1.04168,µm^3,Spine,Spine Part Volume,1,2,1,100000001,610000004332,
0,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000004338,
0,µm^3,Spine,Spine Part Volume,2,1,1,100000002,610000004340,
0,µm^3,Spine,Spine Part Volume,2,1,1,100000001,610000004342,
0,µm^3,Spine,Spine Part Volume,4,4,1,100000000,610000004345,
0,µm^3,Spine,Spine Part Volume,3,2,1,100000000,610000004347,
0,µm^3,Spine,Spine Part Volume,3,3,1,100000000,610000004351,
0.592451,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000004355,
0,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000004359,
0,µm^3,Spine,Spine Part Volume,6,5,1,100000001,610000004361,
0,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000004364,
0,µm^3,Spine,Spine Part Volume,4,2,1,100000002,610000004366,
0,µm^3,Spine,Spine Part Volume,5,1,1,100000000,610000004370,
0,µm^3,Spine,Spine Part Volume,1,2,1,100000000,610000004372,
0,µm^3,Spine,Spine Part Volume,1,2,1,100000001,610000004376,
0,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000004379,
0,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000004383,
0,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000004388,
2.1798,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000004392,
0,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000004394,
0,µm^3,Spine,Spine Part Volume,1,1,1,100000002,610000004396,
0,µm^3,Spine,Spine Part Volume,1,1,1,100000001,610000004398,
