
Soma Ellipticity (oblate)
 ==================== 
Soma Ellipticity (oblate),Unit,Category,Time,FilamentID,ID,
0.419363,,Soma,1,100000000,800000000,
0.45055,,Soma,1,100000001,800000001,
0.470711,,Soma,1,100000002,800000002,
