
Soma Intensity Center Ch=5 Img=1
 ==================== 
Soma Intensity Center,Unit,Category,Channel,Image,Time,FilamentID,ID,
3,,Soma,5,Image 1,1,100000000,800000000,
8,,Soma,5,Image 1,1,100000001,800000001,
2,,Soma,5,Image 1,1,100000002,800000002,
