
Segment Position Y
 ==================== 
Segment Position Y,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
23093.1,µm,Segment,Segment Position,11,5,1,100000002,510000000023,
23095.7,µm,Segment,Segment Position,10,5,1,100000002,510000000044,
23095.4,µm,Segment,Segment Position,9,4,1,100000002,510000000048,
23094.8,µm,Segment,Segment Position,8,3,1,100000002,510000000062,
23093.4,µm,Segment,Segment Position,7,3,1,100000002,510000000073,
23091.6,µm,Segment,Segment Position,6,3,1,100000002,510000000076,
23091,µm,Segment,Segment Position,5,3,1,100000002,510000000079,
23088.2,µm,Segment,Segment Position,4,2,1,100000002,510000000106,
23087.9,µm,Segment,Segment Position,2,2,1,100000002,510000000183,
23089.8,µm,Segment,Segment Position,1,2,1,100000002,510000000195,
23090.5,µm,Segment,Segment Position,0,1,1,100000002,510000000215,
23098.3,µm,Segment,Segment Position,10,4,1,100000002,510000000247,
23095.1,µm,Segment,Segment Position,11,6,1,100000002,510000000252,
23082.1,µm,Segment,Segment Position,5,5,1,100000002,510000000259,
23083.7,µm,Segment,Segment Position,4,4,1,100000002,510000000275,
23085.9,µm,Segment,Segment Position,3,3,1,100000002,510000000290,
23150.4,µm,Segment,Segment Position,2,2,1,100000001,510000000323,
23148.6,µm,Segment,Segment Position,1,2,1,100000001,510000000333,
23146.4,µm,Segment,Segment Position,0,1,1,100000001,510000000350,
23149.3,µm,Segment,Segment Position,5,3,1,100000000,510000000385,
23147.3,µm,Segment,Segment Position,4,2,1,100000000,510000000419,
23144.9,µm,Segment,Segment Position,3,1,1,100000000,510000000421,
23145.2,µm,Segment,Segment Position,2,1,1,100000000,510000000424,
23146.4,µm,Segment,Segment Position,1,1,1,100000000,510000000437,
23149.1,µm,Segment,Segment Position,0,1,1,100000000,510000000467,
23088.9,µm,Segment,Segment Position,2,2,1,100000002,510000000525,
23090.1,µm,Segment,Segment Position,1,1,1,100000002,510000000536,
23091.2,µm,Segment,Segment Position,7,4,1,100000002,510000000545,
23103.7,µm,Segment,Segment Position,3,3,1,100000002,510000000552,
23097.6,µm,Segment,Segment Position,2,3,1,100000002,510000000638,
23096,µm,Segment,Segment Position,1,2,1,100000002,510000000642,
23097.4,µm,Segment,Segment Position,0,1,1,100000002,510000000681,
23102.7,µm,Segment,Segment Position,3,4,1,100000002,510000000699,
23114.5,µm,Segment,Segment Position,2,2,1,100000002,510000000730,
23105.7,µm,Segment,Segment Position,1,1,1,100000002,510000000790,
23098.6,µm,Segment,Segment Position,0,1,1,100000002,510000000807,
23081.9,µm,Segment,Segment Position,6,4,1,100000002,510000000811,
23081.7,µm,Segment,Segment Position,6,5,1,100000002,510000000814,
23138.9,µm,Segment,Segment Position,4,2,1,100000000,510000000845,
23140.6,µm,Segment,Segment Position,3,1,1,100000000,510000000849,
23141.3,µm,Segment,Segment Position,2,1,1,100000000,510000000854,
23141.8,µm,Segment,Segment Position,1,1,1,100000000,510000000856,
23144,µm,Segment,Segment Position,0,1,1,100000000,510000000897,
23084,µm,Segment,Segment Position,4,3,1,100000002,510000000915,
23086.1,µm,Segment,Segment Position,4,3,1,100000002,510000000954,
23111.2,µm,Segment,Segment Position,2,1,1,100000002,510000000959,
23133.8,µm,Segment,Segment Position,2,3,1,100000000,510000000969,
23137.7,µm,Segment,Segment Position,1,2,1,100000000,510000001026,
23133.3,µm,Segment,Segment Position,2,2,1,100000000,510000001029,
23099.6,µm,Segment,Segment Position,1,2,1,100000002,510000001033,
23151.8,µm,Segment,Segment Position,0,1,1,100000000,510000001041,
23146.8,µm,Segment,Segment Position,6,5,1,100000001,510000001062,
23143.2,µm,Segment,Segment Position,5,4,1,100000001,510000001154,
23136.2,µm,Segment,Segment Position,4,3,1,100000001,510000001161,
23135.5,µm,Segment,Segment Position,3,3,1,100000001,510000001201,
23137.9,µm,Segment,Segment Position,2,2,1,100000001,510000001225,
23138.2,µm,Segment,Segment Position,1,2,1,100000001,510000001232,
23137.2,µm,Segment,Segment Position,0,1,1,100000001,510000001252,
23145.1,µm,Segment,Segment Position,6,4,1,100000001,510000001262,
23136.6,µm,Segment,Segment Position,5,3,1,100000001,510000001283,
23136.1,µm,Segment,Segment Position,4,4,1,100000001,510000001287,
23159.2,µm,Segment,Segment Position,4,4,1,100000001,510000001304,
23157,µm,Segment,Segment Position,3,3,1,100000001,510000001341,
23151.1,µm,Segment,Segment Position,2,3,1,100000001,510000001353,
23130.1,µm,Segment,Segment Position,5,4,1,100000000,510000001356,
23131.4,µm,Segment,Segment Position,4,4,1,100000000,510000001381,
23139.2,µm,Segment,Segment Position,3,4,1,100000000,510000001448,
23147.7,µm,Segment,Segment Position,2,3,1,100000000,510000001512,
23152.3,µm,Segment,Segment Position,1,2,1,100000000,510000001536,
23151.3,µm,Segment,Segment Position,0,1,1,100000000,510000001541,
23162.4,µm,Segment,Segment Position,4,3,1,100000001,510000001571,
23095.2,µm,Segment,Segment Position,9,4,1,100000002,510000001583,
23095.2,µm,Segment,Segment Position,8,4,1,100000002,510000001602,
23096,µm,Segment,Segment Position,9,5,1,100000002,510000001604,
23189,µm,Segment,Segment Position,8,3,1,100000001,510000001628,
23184.2,µm,Segment,Segment Position,7,3,1,100000001,510000001656,
23181.7,µm,Segment,Segment Position,6,2,1,100000001,510000001672,
23179.9,µm,Segment,Segment Position,5,2,1,100000001,510000001691,
23176.9,µm,Segment,Segment Position,4,1,1,100000001,510000001705,
23172,µm,Segment,Segment Position,3,1,1,100000001,510000001743,
23165.8,µm,Segment,Segment Position,2,1,1,100000001,510000001763,
23156.6,µm,Segment,Segment Position,1,1,1,100000001,510000001831,
23131.6,µm,Segment,Segment Position,4,3,1,100000000,510000001854,
23134.3,µm,Segment,Segment Position,3,3,1,100000000,510000001861,
23136.7,µm,Segment,Segment Position,2,2,1,100000000,510000001873,
23140.4,µm,Segment,Segment Position,1,2,1,100000000,510000001891,
23144.5,µm,Segment,Segment Position,0,1,1,100000000,510000001907,
23175.6,µm,Segment,Segment Position,8,3,1,100000000,510000001923,
23175.7,µm,Segment,Segment Position,7,2,1,100000000,510000001948,
23172.9,µm,Segment,Segment Position,6,1,1,100000000,510000001979,
23170.3,µm,Segment,Segment Position,5,1,1,100000000,510000002016,
23166.6,µm,Segment,Segment Position,4,1,1,100000000,510000002019,
23160.6,µm,Segment,Segment Position,3,1,1,100000000,510000002083,
23153.8,µm,Segment,Segment Position,2,1,1,100000000,510000002090,
23152.2,µm,Segment,Segment Position,1,1,1,100000000,510000002121,
23135.2,µm,Segment,Segment Position,3,2,1,100000000,510000002134,
23089.5,µm,Segment,Segment Position,0,1,1,100000002,510000002165,
23177.9,µm,Segment,Segment Position,5,1,1,100000001,510000002218,
23143.5,µm,Segment,Segment Position,0,1,1,100000000,510000002267,
23134.9,µm,Segment,Segment Position,6,5,1,100000000,510000002274,
23134.3,µm,Segment,Segment Position,5,5,1,100000000,510000002283,
23132.1,µm,Segment,Segment Position,4,5,1,100000000,510000002302,
23134.7,µm,Segment,Segment Position,6,6,1,100000000,510000002305,
23133.6,µm,Segment,Segment Position,5,6,1,100000000,510000002309,
23142.3,µm,Segment,Segment Position,7,1,1,100000000,510000002333,
23140.4,µm,Segment,Segment Position,6,1,1,100000000,510000002338,
23142.3,µm,Segment,Segment Position,4,1,1,100000000,510000002363,
23167.4,µm,Segment,Segment Position,2,2,1,100000001,510000002400,
23090.4,µm,Segment,Segment Position,6,4,1,100000002,510000002423,
23181.2,µm,Segment,Segment Position,8,4,1,100000001,510000002450,
23180.6,µm,Segment,Segment Position,7,3,1,100000001,510000002453,
23180.8,µm,Segment,Segment Position,6,2,1,100000001,510000002485,
23180.4,µm,Segment,Segment Position,5,2,1,100000001,510000002498,
23176.8,µm,Segment,Segment Position,4,2,1,100000001,510000002525,
23183.9,µm,Segment,Segment Position,6,3,1,100000001,510000002553,
23179.3,µm,Segment,Segment Position,8,3,1,100000001,510000002560,
23180.5,µm,Segment,Segment Position,7,2,1,100000001,510000002562,
23179.5,µm,Segment,Segment Position,5,3,1,100000001,510000002575,
23152.3,µm,Segment,Segment Position,3,4,1,100000001,510000002585,
23138,µm,Segment,Segment Position,3,2,1,100000000,510000002613,
23140.5,µm,Segment,Segment Position,2,1,1,100000000,510000002620,
23141.8,µm,Segment,Segment Position,1,1,1,100000000,510000002624,
23122.8,µm,Segment,Segment Position,8,4,1,100000001,510000002644,
23118.9,µm,Segment,Segment Position,7,4,1,100000001,510000002663,
23117.3,µm,Segment,Segment Position,6,3,1,100000001,510000002665,
23119.3,µm,Segment,Segment Position,5,3,1,100000001,510000002682,
23121.6,µm,Segment,Segment Position,4,3,1,100000001,510000002685,
23126.7,µm,Segment,Segment Position,3,2,1,100000001,510000002790,
23122.3,µm,Segment,Segment Position,8,5,1,100000001,510000002806,
23114.8,µm,Segment,Segment Position,6,4,1,100000001,510000002827,
23121.8,µm,Segment,Segment Position,5,4,1,100000001,510000002836,
23116.6,µm,Segment,Segment Position,7,3,1,100000001,510000002840,
23121.8,µm,Segment,Segment Position,4,2,1,100000001,510000002843,
23091.1,µm,Segment,Segment Position,5,2,1,100000002,510000002846,
23088.2,µm,Segment,Segment Position,2,3,1,100000002,510000002852,
23187.4,µm,Segment,Segment Position,8,4,1,100000001,510000002856,
23140,µm,Segment,Segment Position,2,3,1,100000001,510000002864,
23140.8,µm,Segment,Segment Position,3,2,1,100000000,510000002867,
23141.8,µm,Segment,Segment Position,2,2,1,100000000,510000002870,
23096.3,µm,Segment,Segment Position,1,1,1,100000002,510000002873,
23136.7,µm,Segment,Segment Position,2,3,1,100000000,510000002887,
23138.3,µm,Segment,Segment Position,0,1,1,100000001,510000002910,
23133.5,µm,Segment,Segment Position,0,1,1,100000001,510000002963,
23170.2,µm,Segment,Segment Position,9,1,1,100000000,510000003002,
23174.9,µm,Segment,Segment Position,8,1,1,100000000,510000003015,
23175.7,µm,Segment,Segment Position,7,1,1,100000000,510000003017,
23179.9,µm,Segment,Segment Position,7,2,1,100000001,510000003056,
23186,µm,Segment,Segment Position,7,3,1,100000001,510000003068,
23183.2,µm,Segment,Segment Position,6,3,1,100000001,510000003087,
23176.4,µm,Segment,Segment Position,7,3,1,100000000,510000003119,
23173,µm,Segment,Segment Position,6,2,1,100000000,510000003128,
23184.6,µm,Segment,Segment Position,7,4,1,100000001,510000003134,
23173.3,µm,Segment,Segment Position,9,2,1,100000000,510000003136,
23155.2,µm,Segment,Segment Position,3,2,1,100000000,510000003217,
23176.4,µm,Segment,Segment Position,8,2,1,100000000,510000003219,
23170.9,µm,Segment,Segment Position,5,2,1,100000000,510000003241,
23167.8,µm,Segment,Segment Position,4,2,1,100000000,510000003252,
23147.7,µm,Segment,Segment Position,4,4,1,100000000,510000003267,
23149.1,µm,Segment,Segment Position,3,3,1,100000000,510000003311,
23152.3,µm,Segment,Segment Position,2,2,1,100000000,510000003324,
23141.5,µm,Segment,Segment Position,7,2,1,100000000,510000003329,
23148.4,µm,Segment,Segment Position,4,3,1,100000000,510000003337,
23169.1,µm,Segment,Segment Position,5,3,1,100000000,510000003343,
23166.1,µm,Segment,Segment Position,5,2,1,100000000,510000003360,
23145.6,µm,Segment,Segment Position,3,3,1,100000000,510000003363,
23139.2,µm,Segment,Segment Position,6,2,1,100000000,510000003368,
23140,µm,Segment,Segment Position,5,2,1,100000000,510000003370,
23169.2,µm,Segment,Segment Position,3,2,1,100000001,510000003379,
23136.8,µm,Segment,Segment Position,2,2,1,100000000,510000003423,
23145.2,µm,Segment,Segment Position,3,2,1,100000000,510000003429,
23153.3,µm,Segment,Segment Position,4,2,1,100000000,510000003433,
23151.6,µm,Segment,Segment Position,3,2,1,100000000,510000003454,
23145.9,µm,Segment,Segment Position,1,1,1,100000001,510000003503,
23145.1,µm,Segment,Segment Position,0,1,1,100000001,510000003520,
23145,µm,Segment,Segment Position,2,2,1,100000000,510000003530,
23133.6,µm,Segment,Segment Position,4,4,1,100000000,510000003533,
23130.7,µm,Segment,Segment Position,0,1,1,100000001,510000003570,
23151.9,µm,Segment,Segment Position,2,2,1,100000000,510000003585,
23127.8,µm,Segment,Segment Position,1,2,1,100000001,510000003655,
23134.3,µm,Segment,Segment Position,0,1,1,100000001,510000003658,
23147.2,µm,Segment,Segment Position,1,2,1,100000000,510000003661,
23101.5,µm,Segment,Segment Position,0,1,1,100000002,510000003707,
23136.5,µm,Segment,Segment Position,2,2,1,100000001,510000003719,
23134.7,µm,Segment,Segment Position,1,1,1,100000001,510000003724,
23144.4,µm,Segment,Segment Position,1,2,1,100000001,510000003728,
