
Pt Distance from Origin
 ==================== 
Pt Distance from Origin,Unit,Category,Collection,Depth,Time,Type,FilamentID,ID,
23199.5,µm,Point,Pt Distance from Origin,5,1,Segment Terminal,100000000,800000024,
23198.8,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000000,800000025,
23202.3,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000000,800000026,
23203.9,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000000,800000027,
23207,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000000,800000028,
23211.6,µm,Point,Pt Distance from Origin,0,1,Segment Branch,100000000,800000029,
23246.1,µm,Point,Pt Distance from Origin,8,1,Segment Terminal,100000000,800000030,
23243.6,µm,Point,Pt Distance from Origin,7,1,Segment Branch,100000000,800000031,
23244.4,µm,Point,Pt Distance from Origin,6,1,Segment Branch,100000000,800000032,
23241,µm,Point,Pt Distance from Origin,5,1,Segment Branch,100000000,800000033,
23236.7,µm,Point,Pt Distance from Origin,4,1,Segment Branch,100000000,800000034,
23236,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000000,800000035,
23224.5,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000000,800000036,
23222.3,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000000,800000037,
23242.8,µm,Point,Pt Distance from Origin,8,1,Segment Terminal,100000000,800000038,
23204.6,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000000,800000039,
23211.5,µm,Point,Pt Distance from Origin,0,1,Segment Terminal,100000000,800000040,
23206.2,µm,Point,Pt Distance from Origin,6,1,Segment Terminal,100000000,800000041,
23205.7,µm,Point,Pt Distance from Origin,5,1,Segment Branch,100000000,800000042,
23204.1,µm,Point,Pt Distance from Origin,4,1,Segment Branch,100000000,800000043,
23204.9,µm,Point,Pt Distance from Origin,6,1,Segment Terminal,100000000,800000044,
23204.5,µm,Point,Pt Distance from Origin,5,1,Segment Terminal,100000000,800000045,
23210.7,µm,Point,Pt Distance from Origin,7,1,Segment Terminal,100000000,800000046,
23209.1,µm,Point,Pt Distance from Origin,6,1,Segment Branch,100000000,800000047,
23207.9,µm,Point,Pt Distance from Origin,5,1,Segment Branch,100000000,800000048,
23208,µm,Point,Pt Distance from Origin,4,1,Segment Branch,100000000,800000049,
23205.7,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000000,800000050,
23210,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000000,800000051,
23209.9,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000000,800000052,
23209.8,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000000,800000053,
23209.5,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000000,800000054,
23211.2,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000000,800000055,
23204.8,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000000,800000056,
23235.5,µm,Point,Pt Distance from Origin,9,1,Segment Terminal,100000000,800000057,
23241.9,µm,Point,Pt Distance from Origin,8,1,Segment Branch,100000000,800000058,
23244.9,µm,Point,Pt Distance from Origin,7,1,Segment Branch,100000000,800000059,
23246.9,µm,Point,Pt Distance from Origin,7,1,Segment Terminal,100000000,800000060,
23243.5,µm,Point,Pt Distance from Origin,6,1,Segment Branch,100000000,800000061,
23242,µm,Point,Pt Distance from Origin,9,1,Segment Terminal,100000000,800000062,
23229.8,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000000,800000063,
23246,µm,Point,Pt Distance from Origin,8,1,Segment Terminal,100000000,800000064,
23240,µm,Point,Pt Distance from Origin,5,1,Segment Terminal,100000000,800000065,
23238.8,µm,Point,Pt Distance from Origin,4,1,Segment Branch,100000000,800000066,
23243,µm,Point,Pt Distance from Origin,7,1,Segment Terminal,100000000,800000067,
23217.6,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000000,800000068,
23217.9,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000000,800000069,
23220.4,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000000,800000070,
23209.3,µm,Point,Pt Distance from Origin,7,1,Segment Terminal,100000000,800000071,
23216.8,µm,Point,Pt Distance from Origin,5,1,Segment Terminal,100000000,800000072,
23219,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000000,800000073,
23238.7,µm,Point,Pt Distance from Origin,5,1,Segment Terminal,100000000,800000074,
23235.6,µm,Point,Pt Distance from Origin,5,1,Segment Terminal,100000000,800000075,
23216.2,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000000,800000076,
23206.2,µm,Point,Pt Distance from Origin,6,1,Segment Terminal,100000000,800000077,
23207.9,µm,Point,Pt Distance from Origin,5,1,Segment Terminal,100000000,800000078,
23202.1,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000000,800000079,
23214,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000000,800000080,
23223.4,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000000,800000081,
23222.1,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000000,800000082,
23222.7,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000000,800000083,
23212.8,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000000,800000084,
23202.6,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000000,800000085,
23221.8,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000000,800000086,
23216,µm,Point,Pt Distance from Origin,1,1,Segment Terminal,100000000,800000087,
23210.7,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000000,800000088,
23221.3,µm,Point,Pt Distance from Origin,1,1,Segment Terminal,100000000,800000089,
23220.7,µm,Point,Pt Distance from Origin,0,1,Segment Terminal,100000000,800000090,
23220.8,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000001,800000091,
23222.4,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000001,800000092,
23220.1,µm,Point,Pt Distance from Origin,0,1,Segment Branch,100000001,800000093,
23219.3,µm,Point,Pt Distance from Origin,6,1,Segment Terminal,100000001,800000094,
23216.3,µm,Point,Pt Distance from Origin,5,1,Segment Branch,100000001,800000095,
23208.2,µm,Point,Pt Distance from Origin,4,1,Segment Branch,100000001,800000096,
23207.2,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000001,800000097,
23207.1,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000001,800000098,
23210.7,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000001,800000099,
23209.6,µm,Point,Pt Distance from Origin,0,1,Segment Branch,100000001,800000100,
23215.8,µm,Point,Pt Distance from Origin,6,1,Segment Terminal,100000001,800000101,
23208.2,µm,Point,Pt Distance from Origin,5,1,Segment Terminal,100000001,800000102,
23208,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000001,800000103,
23230.5,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000001,800000104,
23233.1,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000001,800000105,
23225.3,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000001,800000106,
23237.3,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000001,800000107,
23263.5,µm,Point,Pt Distance from Origin,8,1,Segment Terminal,100000001,800000108,
