
Spine Attachment Pt Time Index
 ==================== 
Spine Attachment Pt Time Index,Unit,Category,Depth,Level,Time,FilamentID,ID,
1,,Spine,6,4,1,100000002,610000004225,
1,,Spine,4,1,1,100000000,610000004240,
1,,Spine,7,3,1,100000001,610000004243,
1,,Spine,5,1,1,100000001,610000004301,
1,,Spine,2,2,1,100000002,610000004325,
1,,Spine,2,1,1,100000002,610000004340,
1,,Spine,4,4,1,100000000,610000004345,
1,,Spine,3,2,1,100000000,610000004347,
1,,Spine,6,5,1,100000001,610000004361,
1,,Spine,4,2,1,100000002,610000004366,
1,,Spine,1,2,1,100000000,610000004372,
1,,Spine,1,1,1,100000002,610000004396,
1,,Spine,6,5,1,100000000,610000004400,
1,,Spine,4,4,1,100000000,610000004402,
1,,Spine,0,1,1,100000002,610000004440,
1,,Spine,5,4,1,100000001,610000004460,
1,,Spine,2,2,1,,610000004547,
1,,Spine,0,1,1,,610000004547,
1,,Spine,7,3,1,,610000004547,
1,,Spine,2,3,1,,610000004548,
1,,Spine,7,3,1,,610000004548,
1,,Spine,7,1,1,,610000004548,
1,,Spine,5,1,1,,610000004549,
1,,Spine,5,2,1,,610000004550,
1,,Spine,5,1,1,,610000004550,
1,,Spine,5,3,1,,610000004551,
1,,Spine,5,1,1,,610000004551,
1,,Spine,6,3,1,,610000004552,
1,,Spine,4,4,1,,610000004552,
1,,Spine,4,3,1,,610000004553,
1,,Spine,6,3,1,,610000004553,
1,,Spine,3,2,1,,610000004554,
1,,Spine,1,1,1,,610000004554,
1,,Spine,5,4,1,,610000004555,
1,,Spine,2,1,1,,610000004555,
1,,Spine,2,2,1,,610000004556,
1,,Spine,1,1,1,,610000004557,
1,,Spine,3,3,1,,610000004557,
1,,Spine,4,3,1,,610000004558,
1,,Spine,1,1,1,,610000004558,
1,,Spine,0,1,1,,610000004559,
1,,Spine,1,1,1,,610000004559,
1,,Spine,0,1,1,,610000004560,
1,,Spine,1,1,1,,610000004560,
1,,Spine,2,2,1,,610000004561,
1,,Spine,2,2,1,,610000004562,
1,,Spine,7,3,1,,610000004563,
1,,Spine,6,4,1,,610000004565,
1,,Spine,5,3,1,,610000004566,
1,,Spine,5,4,1,,610000004567,
1,,Spine,3,2,1,,610000004568,
1,,Spine,5,3,1,,610000004569,
1,,Spine,5,4,1,,610000004570,
1,,Spine,5,4,1,,610000004571,
1,,Spine,0,1,1,,610000004572,
1,,Spine,1,2,1,,610000004573,
