
Intensity Max Ch=1 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
200,,Surface,1,Image 1,1,0,
201,,Surface,1,Image 1,1,1,
198,,Surface,1,Image 1,1,2,
