
Cumulative Volume Inside Img=1
 ==================== 
Distance to Surface,Cumulative Volume Inside,Unit,Collection,Image,Time,ID,
-11.8895,39.375,µm^3,Cumulative Volume Inside,Image 1,1,,
-11.3365,171.125,µm^3,Cumulative Volume Inside,Image 1,1,,
-10.7835,508.153,µm^3,Cumulative Volume Inside,Image 1,1,,
-10.2305,1132.78,µm^3,Cumulative Volume Inside,Image 1,1,,
-9.6775,2019.28,µm^3,Cumulative Volume Inside,Image 1,1,,
-9.1245,3210.21,µm^3,Cumulative Volume Inside,Image 1,1,,
-8.5715,4771.11,µm^3,Cumulative Volume Inside,Image 1,1,,
-8.0185,6751.22,µm^3,Cumulative Volume Inside,Image 1,1,,
-7.4655,9172.99,µm^3,Cumulative Volume Inside,Image 1,1,,
-6.9125,12051.9,µm^3,Cumulative Volume Inside,Image 1,1,,
-6.3595,15402.3,µm^3,Cumulative Volume Inside,Image 1,1,,
-5.8065,19327.9,µm^3,Cumulative Volume Inside,Image 1,1,,
-5.2535,23881.5,µm^3,Cumulative Volume Inside,Image 1,1,,
-4.7005,28741.5,µm^3,Cumulative Volume Inside,Image 1,1,,
-4.1475,33973.4,µm^3,Cumulative Volume Inside,Image 1,1,,
-3.5945,39667,µm^3,Cumulative Volume Inside,Image 1,1,,
-3.0415,45857,µm^3,Cumulative Volume Inside,Image 1,1,,
-2.4885,52607,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.9355,59906.8,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.3825,67904.3,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.8295,76894,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.2765,86818.2,µm^3,Cumulative Volume Inside,Image 1,1,,
