
Spine Area
 ==================== 
Spine Area,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.264446,µm^2,Spine,,,1,100000002,610000002912,
0.572737,µm^2,Spine,17,4,1,100000001,610000002920,
0.798476,µm^2,Spine,2,2,1,100000001,610000002924,
0.370061,µm^2,Spine,,,1,100000002,610000002927,
1.90504,µm^2,Spine,6,5,1,100000001,610000002938,
2.07481,µm^2,Spine,6,5,1,100000001,610000002949,
0.434552,µm^2,Spine,,,1,100000002,610000002952,
0.64432,µm^2,Spine,2,2,1,100000001,610000002955,
1.46284,µm^2,Spine,6,5,1,100000001,610000002964,
1.86803,µm^2,Spine,6,5,1,100000001,610000002973,
1.51407,µm^2,Spine,6,5,1,100000001,610000002981,
0.435465,µm^2,Spine,2,2,1,100000001,610000002983,
0.403825,µm^2,Spine,2,2,1,100000001,610000002986,
0.309078,µm^2,Spine,,,1,100000002,610000002988,
1.77615,µm^2,Spine,6,5,1,100000001,610000002996,
0.224791,µm^2,Spine,6,4,1,100000001,610000002999,
0.375225,µm^2,Spine,1,2,1,100000001,610000003001,
0.250993,µm^2,Spine,14,4,1,100000001,610000003003,
0.243656,µm^2,Spine,5,3,1,100000001,610000003005,
0.456345,µm^2,Spine,6,3,1,100000001,610000003008,
0.411018,µm^2,Spine,5,5,1,100000001,610000003012,
1.2224,µm^2,Spine,6,5,1,100000001,610000003017,
0.660711,µm^2,Spine,7,5,1,100000001,610000003021,
0.406672,µm^2,Spine,17,4,1,100000001,610000003023,
0.184501,µm^2,Spine,,,1,100000002,610000003025,
0.563212,µm^2,Spine,19,8,1,100000001,610000003027,
0.846051,µm^2,Spine,7,5,1,100000001,610000003032,
0.682083,µm^2,Spine,19,4,1,100000001,610000003038,
0.452164,µm^2,Spine,,,1,100000002,610000003040,
0.314453,µm^2,Spine,7,4,1,100000001,610000003043,
0.444516,µm^2,Spine,10,3,1,100000001,610000003045,
0.45043,µm^2,Spine,2,2,1,100000001,610000003047,
0.217427,µm^2,Spine,2,2,1,100000001,610000003049,
