
Segment Mean Diameter
 ==================== 
Segment Mean Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.332984,µm,Segment,,,1,100000002,510000000003,
0.375763,µm,Segment,,,1,100000002,510000000061,
0.305818,µm,Segment,,,1,100000002,510000000067,
0.247741,µm,Segment,,,1,100000002,510000000080,
0.393624,µm,Segment,,,1,100000002,510000000094,
0.289957,µm,Segment,,,1,100000002,510000000098,
0.459793,µm,Segment,,,1,100000002,510000000162,
0.299272,µm,Segment,,,1,100000002,510000000187,
0.241894,µm,Segment,18,5,1,100000001,510000000307,
0.377742,µm,Segment,17,4,1,100000001,510000000317,
0.368591,µm,Segment,16,4,1,100000001,510000000321,
0.292637,µm,Segment,15,4,1,100000001,510000000348,
0.362178,µm,Segment,14,4,1,100000001,510000000362,
0.328477,µm,Segment,13,4,1,100000001,510000000366,
0.335496,µm,Segment,12,4,1,100000001,510000000370,
0.424327,µm,Segment,11,4,1,100000001,510000000383,
0.329045,µm,Segment,9,4,1,100000001,510000000399,
0.454738,µm,Segment,8,3,1,100000001,510000000406,
0.454333,µm,Segment,7,3,1,100000001,510000000420,
0.312091,µm,Segment,5,3,1,100000001,510000000433,
0.385438,µm,Segment,4,2,1,100000001,510000000445,
0.358059,µm,Segment,3,2,1,100000001,510000000448,
0.34015,µm,Segment,2,2,1,100000001,510000000465,
0.370321,µm,Segment,1,2,1,100000001,510000000496,
0.279026,µm,Segment,0,1,1,100000001,510000000509,
0.294476,µm,Segment,,,1,100000002,510000000551,
0.33479,µm,Segment,,,1,100000002,510000000554,
0.248648,µm,Segment,,,1,100000002,510000000563,
0.248712,µm,Segment,,,1,100000002,510000000575,
0.314136,µm,Segment,,,1,100000002,510000000579,
0.289051,µm,Segment,,,1,100000002,510000000584,
0.277836,µm,Segment,,,1,100000002,510000000601,
0.290606,µm,Segment,,,1,100000002,510000000691,
0.298361,µm,Segment,,,1,100000002,510000000740,
0.312626,µm,Segment,,,1,100000002,510000000748,
0.292267,µm,Segment,,,1,100000002,510000000776,
0.32717,µm,Segment,,,1,100000002,510000000784,
0.373465,µm,Segment,,,1,100000002,510000000787,
0.399873,µm,Segment,,,1,100000002,510000000790,
0.231518,µm,Segment,,,1,100000002,510000000800,
0.251981,µm,Segment,,,1,100000002,510000000805,
0.367695,µm,Segment,,,1,100000002,510000000811,
0.301789,µm,Segment,,,1,100000002,510000000837,
0.317202,µm,Segment,,,1,100000002,510000000842,
0.293218,µm,Segment,,,1,100000002,510000000846,
0.238707,µm,Segment,,,1,100000002,510000000853,
0.331746,µm,Segment,,,1,100000002,510000000940,
0.305655,µm,Segment,,,1,100000002,510000000976,
0.318429,µm,Segment,,,1,100000002,510000001002,
0.26834,µm,Segment,,,1,100000002,510000001011,
0.295706,µm,Segment,,,1,100000002,510000001019,
0.236888,µm,Segment,,,1,100000002,510000001026,
0.211961,µm,Segment,,,1,100000002,510000001030,
0.227724,µm,Segment,,,1,100000002,510000001036,
0.315747,µm,Segment,,,1,100000002,510000001044,
0.330664,µm,Segment,,,1,100000002,510000001073,
0.32355,µm,Segment,,,1,100000002,510000001082,
0.316348,µm,Segment,,,1,100000002,510000001089,
0.323961,µm,Segment,,,1,100000002,510000001092,
0.275002,µm,Segment,,,1,100000002,510000001096,
0.291478,µm,Segment,,,1,100000002,510000001131,
0.416227,µm,Segment,,,1,100000002,510000001139,
0.325491,µm,Segment,,,1,100000002,510000001146,
0.324177,µm,Segment,,,1,100000002,510000001156,
0.302562,µm,Segment,,,1,100000002,510000001168,
0.315727,µm,Segment,,,1,100000002,510000001173,
0.253767,µm,Segment,,,1,100000002,510000001187,
0.342758,µm,Segment,,,1,100000002,510000001189,
0.305842,µm,Segment,,,1,100000002,510000001238,
0.390408,µm,Segment,,,1,100000002,510000001243,
0.424829,µm,Segment,,,1,100000002,510000001262,
0.297755,µm,Segment,,,1,100000002,510000001271,
0.314345,µm,Segment,,,1,100000002,510000001280,
