
Spine Time
 ==================== 
Spine Time,Unit,Category,Depth,Level,Time,FilamentID,ID,
0,s,Spine,,,1,100000002,610000002912,
0,s,Spine,17,4,1,100000001,610000002920,
0,s,Spine,2,2,1,100000001,610000002924,
0,s,Spine,,,1,100000002,610000002927,
0,s,Spine,6,5,1,100000001,610000002938,
0,s,Spine,6,5,1,100000001,610000002949,
0,s,Spine,,,1,100000002,610000002952,
0,s,Spine,2,2,1,100000001,610000002955,
0,s,Spine,6,5,1,100000001,610000002964,
0,s,Spine,6,5,1,100000001,610000002973,
0,s,Spine,6,5,1,100000001,610000002981,
0,s,Spine,2,2,1,100000001,610000002983,
0,s,Spine,2,2,1,100000001,610000002986,
0,s,Spine,,,1,100000002,610000002988,
0,s,Spine,6,5,1,100000001,610000002996,
0,s,Spine,6,4,1,100000001,610000002999,
0,s,Spine,1,2,1,100000001,610000003001,
0,s,Spine,14,4,1,100000001,610000003003,
0,s,Spine,5,3,1,100000001,610000003005,
0,s,Spine,6,3,1,100000001,610000003008,
0,s,Spine,5,5,1,100000001,610000003012,
0,s,Spine,6,5,1,100000001,610000003017,
0,s,Spine,7,5,1,100000001,610000003021,
0,s,Spine,17,4,1,100000001,610000003023,
0,s,Spine,,,1,100000002,610000003025,
0,s,Spine,19,8,1,100000001,610000003027,
0,s,Spine,7,5,1,100000001,610000003032,
0,s,Spine,19,4,1,100000001,610000003038,
0,s,Spine,,,1,100000002,610000003040,
0,s,Spine,7,4,1,100000001,610000003043,
0,s,Spine,10,3,1,100000001,610000003045,
0,s,Spine,2,2,1,100000001,610000003047,
0,s,Spine,2,2,1,100000001,610000003049,
0,s,Spine,19,7,1,100000001,610000003053,
0,s,Spine,6,3,1,100000001,610000003057,
0,s,Spine,6,5,1,100000001,610000003060,
0,s,Spine,5,3,1,100000001,610000003063,
0,s,Spine,,,1,100000002,610000003065,
0,s,Spine,17,4,1,100000001,610000003067,
0,s,Spine,5,3,1,100000001,610000003069,
0,s,Spine,14,4,1,100000001,610000003071,
0,s,Spine,7,5,1,100000001,610000003076,
0,s,Spine,2,2,1,100000001,610000003078,
0,s,Spine,6,4,1,100000001,610000003080,
0,s,Spine,12,5,1,100000001,610000003083,
0,s,Spine,9,4,1,100000001,610000003087,
0,s,Spine,7,5,1,100000001,610000003091,
0,s,Spine,,,1,100000002,610000003093,
0,s,Spine,,,1,100000002,610000003096,
0,s,Spine,,,1,100000002,610000003098,
0,s,Spine,6,5,1,100000001,610000003100,
0,s,Spine,11,3,1,100000001,610000003103,
0,s,Spine,,,1,100000002,610000003105,
0,s,Spine,2,2,1,100000001,610000003107,
0,s,Spine,5,2,1,100000001,610000003117,
0,s,Spine,17,4,1,100000001,610000003120,
0,s,Spine,12,6,1,100000001,610000003125,
0,s,Spine,10,6,1,100000001,610000003128,
