
Spine Position Y
 ==================== 
Spine Position Y,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
20221,µm,Spine,Spine Position,,,1,100000002,610000002912,
20231,µm,Spine,Spine Position,17,4,1,100000001,610000002920,
20231.4,µm,Spine,Spine Position,2,2,1,100000001,610000002924,
20218,µm,Spine,Spine Position,,,1,100000002,610000002927,
20230.4,µm,Spine,Spine Position,6,5,1,100000001,610000002938,
20230.4,µm,Spine,Spine Position,6,5,1,100000001,610000002949,
20225,µm,Spine,Spine Position,,,1,100000002,610000002952,
20231.5,µm,Spine,Spine Position,2,2,1,100000001,610000002955,
20230.3,µm,Spine,Spine Position,6,5,1,100000001,610000002964,
20230.4,µm,Spine,Spine Position,6,5,1,100000001,610000002973,
20230.3,µm,Spine,Spine Position,6,5,1,100000001,610000002981,
20231.5,µm,Spine,Spine Position,2,2,1,100000001,610000002983,
20231.8,µm,Spine,Spine Position,2,2,1,100000001,610000002986,
20220.8,µm,Spine,Spine Position,,,1,100000002,610000002988,
20230.4,µm,Spine,Spine Position,6,5,1,100000001,610000002996,
20232.2,µm,Spine,Spine Position,6,4,1,100000001,610000002999,
20231.6,µm,Spine,Spine Position,1,2,1,100000001,610000003001,
20234.1,µm,Spine,Spine Position,14,4,1,100000001,610000003003,
20229.3,µm,Spine,Spine Position,5,3,1,100000001,610000003005,
20230.6,µm,Spine,Spine Position,6,3,1,100000001,610000003008,
20228.8,µm,Spine,Spine Position,5,5,1,100000001,610000003012,
20230.3,µm,Spine,Spine Position,6,5,1,100000001,610000003017,
20230.3,µm,Spine,Spine Position,7,5,1,100000001,610000003021,
20230.2,µm,Spine,Spine Position,17,4,1,100000001,610000003023,
20225.7,µm,Spine,Spine Position,,,1,100000002,610000003025,
20241.8,µm,Spine,Spine Position,19,8,1,100000001,610000003027,
20229.5,µm,Spine,Spine Position,7,5,1,100000001,610000003032,
20228.1,µm,Spine,Spine Position,19,4,1,100000001,610000003038,
20217.2,µm,Spine,Spine Position,,,1,100000002,610000003040,
20223.6,µm,Spine,Spine Position,7,4,1,100000001,610000003043,
20231.7,µm,Spine,Spine Position,10,3,1,100000001,610000003045,
20231.6,µm,Spine,Spine Position,2,2,1,100000001,610000003047,
20231.3,µm,Spine,Spine Position,2,2,1,100000001,610000003049,
20241.9,µm,Spine,Spine Position,19,7,1,100000001,610000003053,
20230.6,µm,Spine,Spine Position,6,3,1,100000001,610000003057,
20230.2,µm,Spine,Spine Position,6,5,1,100000001,610000003060,
20231.3,µm,Spine,Spine Position,5,3,1,100000001,610000003063,
20223.4,µm,Spine,Spine Position,,,1,100000002,610000003065,
20230.2,µm,Spine,Spine Position,17,4,1,100000001,610000003067,
20233.3,µm,Spine,Spine Position,5,3,1,100000001,610000003069,
20233.9,µm,Spine,Spine Position,14,4,1,100000001,610000003071,
20232.1,µm,Spine,Spine Position,7,5,1,100000001,610000003076,
20231.6,µm,Spine,Spine Position,2,2,1,100000001,610000003078,
20232.4,µm,Spine,Spine Position,6,4,1,100000001,610000003080,
20236.7,µm,Spine,Spine Position,12,5,1,100000001,610000003083,
20232.8,µm,Spine,Spine Position,9,4,1,100000001,610000003087,
20229.5,µm,Spine,Spine Position,7,5,1,100000001,610000003091,
20228.6,µm,Spine,Spine Position,,,1,100000002,610000003093,
20227.7,µm,Spine,Spine Position,,,1,100000002,610000003096,
20232.3,µm,Spine,Spine Position,,,1,100000002,610000003098,
20230.1,µm,Spine,Spine Position,6,5,1,100000001,610000003100,
20231.3,µm,Spine,Spine Position,11,3,1,100000001,610000003103,
20231.1,µm,Spine,Spine Position,,,1,100000002,610000003105,
20231.7,µm,Spine,Spine Position,2,2,1,100000001,610000003107,
20233.4,µm,Spine,Spine Position,5,2,1,100000001,610000003117,
20232.7,µm,Spine,Spine Position,17,4,1,100000001,610000003120,
20236.5,µm,Spine,Spine Position,12,6,1,100000001,610000003125,
20226.4,µm,Spine,Spine Position,10,6,1,100000001,610000003128,
20227.2,µm,Spine,Spine Position,7,4,1,100000001,610000003131,
20228.9,µm,Spine,Spine Position,7,5,1,100000001,610000003135,
20235.8,µm,Spine,Spine Position,11,5,1,100000001,610000003138,
20242.8,µm,Spine,Spine Position,20,7,1,100000001,610000003140,
20243.7,µm,Spine,Spine Position,20,7,1,100000001,610000003144,
20228.1,µm,Spine,Spine Position,19,4,1,100000001,610000003148,
20229.4,µm,Spine,Spine Position,7,5,1,100000001,610000003152,
20231.5,µm,Spine,Spine Position,7,5,1,100000001,610000003160,
