
Spine Terminal Pt Distance from Origin
 ==================== 
Spine Terminal Pt Distance from Origin,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
26270.6,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,100000002,610000002912,
26285.4,µm,Spine,Spine Terminal Pt Distance from Origin,2,2,1,100000001,610000002924,
26262.7,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,100000002,610000002927,
26285,µm,Spine,Spine Terminal Pt Distance from Origin,6,5,1,100000001,610000002938,
26285.2,µm,Spine,Spine Terminal Pt Distance from Origin,6,5,1,100000001,610000002949,
26274.6,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,100000002,610000002952,
26285.4,µm,Spine,Spine Terminal Pt Distance from Origin,2,2,1,100000001,610000002955,
26284.9,µm,Spine,Spine Terminal Pt Distance from Origin,6,5,1,100000001,610000002964,
26285.3,µm,Spine,Spine Terminal Pt Distance from Origin,6,5,1,100000001,610000002973,
26285,µm,Spine,Spine Terminal Pt Distance from Origin,6,5,1,100000001,610000002981,
26285.5,µm,Spine,Spine Terminal Pt Distance from Origin,2,2,1,100000001,610000002983,
26289.3,µm,Spine,Spine Terminal Pt Distance from Origin,2,2,1,100000001,610000002986,
26271.2,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,100000002,610000002988,
26285.1,µm,Spine,Spine Terminal Pt Distance from Origin,6,5,1,100000001,610000002996,
26284.6,µm,Spine,Spine Terminal Pt Distance from Origin,6,4,1,100000001,610000002999,
26287.7,µm,Spine,Spine Terminal Pt Distance from Origin,1,2,1,100000001,610000003001,
26285.3,µm,Spine,Spine Terminal Pt Distance from Origin,14,4,1,100000001,610000003003,
26283.3,µm,Spine,Spine Terminal Pt Distance from Origin,5,3,1,100000001,610000003005,
26284,µm,Spine,Spine Terminal Pt Distance from Origin,6,3,1,100000001,610000003008,
26283.5,µm,Spine,Spine Terminal Pt Distance from Origin,5,5,1,100000001,610000003012,
26285.3,µm,Spine,Spine Terminal Pt Distance from Origin,6,5,1,100000001,610000003017,
26286.8,µm,Spine,Spine Terminal Pt Distance from Origin,7,5,1,100000001,610000003021,
26275.3,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,100000002,610000003025,
26293.6,µm,Spine,Spine Terminal Pt Distance from Origin,19,8,1,100000001,610000003027,
26285.3,µm,Spine,Spine Terminal Pt Distance from Origin,7,5,1,100000001,610000003032,
26279.9,µm,Spine,Spine Terminal Pt Distance from Origin,19,4,1,100000001,610000003038,
26266.8,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,100000002,610000003040,
26281.5,µm,Spine,Spine Terminal Pt Distance from Origin,7,4,1,100000001,610000003043,
26282.5,µm,Spine,Spine Terminal Pt Distance from Origin,10,3,1,100000001,610000003045,
26285.6,µm,Spine,Spine Terminal Pt Distance from Origin,2,2,1,100000001,610000003047,
26287.7,µm,Spine,Spine Terminal Pt Distance from Origin,2,2,1,100000001,610000003049,
26293.5,µm,Spine,Spine Terminal Pt Distance from Origin,19,7,1,100000001,610000003053,
26284.1,µm,Spine,Spine Terminal Pt Distance from Origin,6,3,1,100000001,610000003057,
26285.3,µm,Spine,Spine Terminal Pt Distance from Origin,6,5,1,100000001,610000003060,
26284.2,µm,Spine,Spine Terminal Pt Distance from Origin,5,3,1,100000001,610000003063,
26270,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,100000002,610000003065,
26280.7,µm,Spine,Spine Terminal Pt Distance from Origin,17,4,1,100000001,610000003067,
26289,µm,Spine,Spine Terminal Pt Distance from Origin,5,3,1,100000001,610000003069,
26285.3,µm,Spine,Spine Terminal Pt Distance from Origin,14,4,1,100000001,610000003071,
26290.5,µm,Spine,Spine Terminal Pt Distance from Origin,7,5,1,100000001,610000003076,
26285.6,µm,Spine,Spine Terminal Pt Distance from Origin,2,2,1,100000001,610000003078,
26285.3,µm,Spine,Spine Terminal Pt Distance from Origin,6,4,1,100000001,610000003080,
26286.6,µm,Spine,Spine Terminal Pt Distance from Origin,12,5,1,100000001,610000003083,
26283.6,µm,Spine,Spine Terminal Pt Distance from Origin,9,4,1,100000001,610000003087,
26285.4,µm,Spine,Spine Terminal Pt Distance from Origin,7,5,1,100000001,610000003091,
26273.1,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,100000002,610000003093,
26274.7,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,100000002,610000003096,
26273.3,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,100000002,610000003098,
26285.4,µm,Spine,Spine Terminal Pt Distance from Origin,6,5,1,100000001,610000003100,
