
Spine Branch Depth
 ==================== 
Spine Branch Depth,Unit,Category,Depth,Level,Time,FilamentID,ID,
-1,,Spine,,,1,100000002,610000002912,
-1,,Spine,17,4,1,100000001,610000002920,
2,,Spine,2,2,1,100000001,610000002924,
-1,,Spine,,,1,100000002,610000002927,
6,,Spine,6,5,1,100000001,610000002938,
6,,Spine,6,5,1,100000001,610000002949,
-1,,Spine,,,1,100000002,610000002952,
2,,Spine,2,2,1,100000001,610000002955,
6,,Spine,6,5,1,100000001,610000002964,
6,,Spine,6,5,1,100000001,610000002973,
6,,Spine,6,5,1,100000001,610000002981,
2,,Spine,2,2,1,100000001,610000002983,
2,,Spine,2,2,1,100000001,610000002986,
-1,,Spine,,,1,100000002,610000002988,
6,,Spine,6,5,1,100000001,610000002996,
6,,Spine,6,4,1,100000001,610000002999,
1,,Spine,1,2,1,100000001,610000003001,
14,,Spine,14,4,1,100000001,610000003003,
5,,Spine,5,3,1,100000001,610000003005,
6,,Spine,6,3,1,100000001,610000003008,
5,,Spine,5,5,1,100000001,610000003012,
6,,Spine,6,5,1,100000001,610000003017,
7,,Spine,7,5,1,100000001,610000003021,
-1,,Spine,17,4,1,100000001,610000003023,
-1,,Spine,,,1,100000002,610000003025,
19,,Spine,19,8,1,100000001,610000003027,
7,,Spine,7,5,1,100000001,610000003032,
19,,Spine,19,4,1,100000001,610000003038,
-1,,Spine,,,1,100000002,610000003040,
7,,Spine,7,4,1,100000001,610000003043,
10,,Spine,10,3,1,100000001,610000003045,
2,,Spine,2,2,1,100000001,610000003047,
2,,Spine,2,2,1,100000001,610000003049,
19,,Spine,19,7,1,100000001,610000003053,
6,,Spine,6,3,1,100000001,610000003057,
6,,Spine,6,5,1,100000001,610000003060,
5,,Spine,5,3,1,100000001,610000003063,
-1,,Spine,,,1,100000002,610000003065,
17,,Spine,17,4,1,100000001,610000003067,
5,,Spine,5,3,1,100000001,610000003069,
14,,Spine,14,4,1,100000001,610000003071,
7,,Spine,7,5,1,100000001,610000003076,
2,,Spine,2,2,1,100000001,610000003078,
6,,Spine,6,4,1,100000001,610000003080,
12,,Spine,12,5,1,100000001,610000003083,
9,,Spine,9,4,1,100000001,610000003087,
7,,Spine,7,5,1,100000001,610000003091,
-1,,Spine,,,1,100000002,610000003093,
-1,,Spine,,,1,100000002,610000003096,
-1,,Spine,,,1,100000002,610000003098,
6,,Spine,6,5,1,100000001,610000003100,
11,,Spine,11,3,1,100000001,610000003103,
-1,,Spine,,,1,100000002,610000003105,
2,,Spine,2,2,1,100000001,610000003107,
5,,Spine,5,2,1,100000001,610000003117,
-1,,Spine,17,4,1,100000001,610000003120,
12,,Spine,12,6,1,100000001,610000003125,
10,,Spine,10,6,1,100000001,610000003128,
7,,Spine,7,4,1,100000001,610000003131,
7,,Spine,7,5,1,100000001,610000003135,
11,,Spine,11,5,1,100000001,610000003138,
20,,Spine,20,7,1,100000001,610000003140,
20,,Spine,20,7,1,100000001,610000003144,
19,,Spine,19,4,1,100000001,610000003148,
7,,Spine,7,5,1,100000001,610000003152,
7,,Spine,7,5,1,100000001,610000003160,
17,,Spine,17,4,1,100000001,610000003360,
20,,Spine,20,7,1,100000001,610000003361,
19,,Spine,19,7,1,100000001,610000003362,
19,,Spine,19,7,1,100000001,610000003363,
19,,Spine,19,7,1,100000001,610000003364,
18,,Spine,18,7,1,100000001,610000003365,
15,,Spine,15,7,1,100000001,610000003366,
15,,Spine,15,7,1,100000001,610000003367,
11,,Spine,11,4,1,100000001,610000003368,
12,,Spine,12,5,1,100000001,610000003369,
9,,Spine,9,4,1,100000001,610000003370,
9,,Spine,9,4,1,100000001,610000003371,
10,,Spine,10,3,1,100000001,610000003372,
10,,Spine,10,4,1,100000001,610000003373,
7,,Spine,7,4,1,100000001,610000003374,
7,,Spine,7,5,1,100000001,610000003375,
7,,Spine,7,4,1,100000001,610000003376,
6,,Spine,6,4,1,100000001,610000003377,
6,,Spine,6,4,1,100000001,610000003378,
5,,Spine,5,3,1,100000001,610000003379,
6,,Spine,6,3,1,100000001,610000003380,
4,,Spine,4,2,1,100000001,610000003381,
5,,Spine,5,3,1,100000001,610000003382,
5,,Spine,5,4,1,100000001,610000003383,
7,,Spine,7,4,1,100000001,610000003384,
4,,Spine,4,4,1,100000001,610000003385,
4,,Spine,4,4,1,100000001,610000003386,
7,,Spine,7,5,1,100000001,610000003387,
7,,Spine,7,5,1,100000001,610000003388,
8,,Spine,8,5,1,100000001,610000003389,
8,,Spine,8,4,1,100000001,610000003390,
6,,Spine,6,5,1,100000001,610000003391,
5,,Spine,5,3,1,100000001,610000003392,
3,,Spine,3,3,1,100000001,610000003393,
1,,Spine,1,2,1,100000001,610000003394,
1,,Spine,1,2,1,100000001,610000003395,
7,,Spine,7,5,1,100000001,610000003396,
7,,Spine,7,4,1,100000001,610000003397,
7,,Spine,7,4,1,100000001,610000003398,
7,,Spine,7,4,1,100000001,610000003399,
6,,Spine,6,3,1,100000001,610000003400,
4,,Spine,4,3,1,100000001,610000003401,
5,,Spine,5,2,1,100000001,610000003402,
1,,Spine,1,2,1,100000001,610000003403,
0,,Spine,0,1,1,100000001,610000003404,
-1,,Spine,,,1,100000002,610000003412,
-1,,Spine,,,1,100000002,610000003413,
-1,,Spine,,,1,100000002,610000003414,
-1,,Spine,,,1,100000002,610000003415,
-1,,Spine,,,1,100000002,610000003416,
-1,,Spine,,,1,100000002,610000003417,
-1,,Spine,,,1,100000002,610000003418,
-1,,Spine,,,1,100000002,610000003419,
-1,,Spine,,,1,100000002,610000003420,
-1,,Spine,,,1,100000002,610000003421,
-1,,Spine,,,1,100000002,610000003422,
-1,,Spine,,,1,100000002,610000003423,
-1,,Spine,,,1,100000002,610000003424,
-1,,Spine,,,1,100000002,610000003425,
-1,,Spine,,,1,100000002,610000003426,
-1,,Spine,,,1,100000002,610000003427,
-1,,Spine,,,1,100000002,610000003428,
-1,,Spine,,,1,100000002,610000003429,
-1,,Spine,,,1,100000002,610000003430,
-1,,Spine,,,1,100000002,610000003431,
