
Spine Min Diameter
 ==================== 
Spine Min Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.1625,µm,Spine,,,1,100000002,610000002912,
0.170663,µm,Spine,17,4,1,100000001,610000002920,
0.272534,µm,Spine,2,2,1,100000001,610000002924,
0.177734,µm,Spine,,,1,100000002,610000002927,
0.217612,µm,Spine,6,5,1,100000001,610000002938,
0.301447,µm,Spine,6,5,1,100000001,610000002949,
0.185681,µm,Spine,,,1,100000002,610000002952,
0.283954,µm,Spine,2,2,1,100000001,610000002955,
0.1625,µm,Spine,6,5,1,100000001,610000002964,
0.301447,µm,Spine,6,5,1,100000001,610000002973,
0.261188,µm,Spine,6,5,1,100000001,610000002981,
0.309675,µm,Spine,2,2,1,100000001,610000002983,
0.175606,µm,Spine,2,2,1,100000001,610000002986,
0.198035,µm,Spine,,,1,100000002,610000002988,
0.301447,µm,Spine,6,5,1,100000001,610000002996,
0.172018,µm,Spine,6,4,1,100000001,610000002999,
0.291389,µm,Spine,1,2,1,100000001,610000003001,
0.167578,µm,Spine,14,4,1,100000001,610000003003,
0.177734,µm,Spine,5,3,1,100000001,610000003005,
0.24375,µm,Spine,6,3,1,100000001,610000003008,
0.1625,µm,Spine,5,5,1,100000001,610000003012,
0.301447,µm,Spine,6,5,1,100000001,610000003017,
0.190715,µm,Spine,7,5,1,100000001,610000003021,
0.167989,µm,Spine,17,4,1,100000001,610000003023,
0.1625,µm,Spine,,,1,100000002,610000003025,
0.303477,µm,Spine,19,8,1,100000001,610000003027,
0.265673,µm,Spine,7,5,1,100000001,610000003032,
0.24248,µm,Spine,19,4,1,100000001,610000003038,
0.257652,µm,Spine,,,1,100000002,610000003040,
0.222929,µm,Spine,7,4,1,100000001,610000003043,
0.338306,µm,Spine,10,3,1,100000001,610000003045,
0.32442,µm,Spine,2,2,1,100000001,610000003047,
0.192969,µm,Spine,2,2,1,100000001,610000003049,
0.259363,µm,Spine,19,7,1,100000001,610000003053,
0.24375,µm,Spine,6,3,1,100000001,610000003057,
0.301447,µm,Spine,6,5,1,100000001,610000003060,
0.1625,µm,Spine,5,3,1,100000001,610000003063,
0.1625,µm,Spine,,,1,100000002,610000003065,
0.247157,µm,Spine,17,4,1,100000001,610000003067,
0.29707,µm,Spine,5,3,1,100000001,610000003069,
0.205402,µm,Spine,14,4,1,100000001,610000003071,
0.278117,µm,Spine,7,5,1,100000001,610000003076,
0.311883,µm,Spine,2,2,1,100000001,610000003078,
0.261499,µm,Spine,6,4,1,100000001,610000003080,
0.298966,µm,Spine,12,5,1,100000001,610000003083,
0.237791,µm,Spine,9,4,1,100000001,610000003087,
0.265673,µm,Spine,7,5,1,100000001,610000003091,
0.1625,µm,Spine,,,1,100000002,610000003093,
0.365245,µm,Spine,,,1,100000002,610000003096,
0.1625,µm,Spine,,,1,100000002,610000003098,
0.301447,µm,Spine,6,5,1,100000001,610000003100,
0.432473,µm,Spine,11,3,1,100000001,610000003103,
0.192671,µm,Spine,,,1,100000002,610000003105,
0.21582,µm,Spine,2,2,1,100000001,610000003107,
0.166807,µm,Spine,5,2,1,100000001,610000003117,
0.314705,µm,Spine,17,4,1,100000001,610000003120,
0.185352,µm,Spine,12,6,1,100000001,610000003125,
0.263943,µm,Spine,10,6,1,100000001,610000003128,
0.227602,µm,Spine,7,4,1,100000001,610000003131,
0.221816,µm,Spine,7,5,1,100000001,610000003135,
0.274219,µm,Spine,11,5,1,100000001,610000003138,
0.287984,µm,Spine,20,7,1,100000001,610000003140,
0.356656,µm,Spine,20,7,1,100000001,610000003144,
0.251892,µm,Spine,19,4,1,100000001,610000003148,
0.265673,µm,Spine,7,5,1,100000001,610000003152,
0.360745,µm,Spine,7,5,1,100000001,610000003160,
0.232324,µm,Spine,17,4,1,100000001,610000003360,
