
Spine Position Z
 ==================== 
Spine Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
1464.86,µm,Spine,Spine Position,,,1,100000002,610000002912,
1467.59,µm,Spine,Spine Position,17,4,1,100000001,610000002920,
1465.64,µm,Spine,Spine Position,2,2,1,100000001,610000002924,
1465.44,µm,Spine,Spine Position,,,1,100000002,610000002927,
1464.74,µm,Spine,Spine Position,6,5,1,100000001,610000002938,
1464.73,µm,Spine,Spine Position,6,5,1,100000001,610000002949,
1466.61,µm,Spine,Spine Position,,,1,100000002,610000002952,
1465.69,µm,Spine,Spine Position,2,2,1,100000001,610000002955,
1464.63,µm,Spine,Spine Position,6,5,1,100000001,610000002964,
1464.65,µm,Spine,Spine Position,6,5,1,100000001,610000002973,
1464.61,µm,Spine,Spine Position,6,5,1,100000001,610000002981,
1465.77,µm,Spine,Spine Position,2,2,1,100000001,610000002983,
1465.77,µm,Spine,Spine Position,2,2,1,100000001,610000002986,
1465.87,µm,Spine,Spine Position,,,1,100000002,610000002988,
1464.61,µm,Spine,Spine Position,6,5,1,100000001,610000002996,
1466.41,µm,Spine,Spine Position,6,4,1,100000001,610000002999,
1466.19,µm,Spine,Spine Position,1,2,1,100000001,610000003001,
1464.84,µm,Spine,Spine Position,14,4,1,100000001,610000003003,
1466.83,µm,Spine,Spine Position,5,3,1,100000001,610000003005,
1466.17,µm,Spine,Spine Position,6,3,1,100000001,610000003008,
1464.62,µm,Spine,Spine Position,5,5,1,100000001,610000003012,
1464.47,µm,Spine,Spine Position,6,5,1,100000001,610000003017,
1463.78,µm,Spine,Spine Position,7,5,1,100000001,610000003021,
1466.3,µm,Spine,Spine Position,17,4,1,100000001,610000003023,
1465.97,µm,Spine,Spine Position,,,1,100000002,610000003025,
1466.86,µm,Spine,Spine Position,19,8,1,100000001,610000003027,
1463.37,µm,Spine,Spine Position,7,5,1,100000001,610000003032,
1463.87,µm,Spine,Spine Position,19,4,1,100000001,610000003038,
1464.62,µm,Spine,Spine Position,,,1,100000002,610000003040,
1463.83,µm,Spine,Spine Position,7,4,1,100000001,610000003043,
1467.17,µm,Spine,Spine Position,10,3,1,100000001,610000003045,
1465.84,µm,Spine,Spine Position,2,2,1,100000001,610000003047,
1465.72,µm,Spine,Spine Position,2,2,1,100000001,610000003049,
1466.42,µm,Spine,Spine Position,19,7,1,100000001,610000003053,
