
Spine Terminal Pt Distance
 ==================== 
Spine Terminal Pt Distance,Unit,Category,Depth,Level,Time,FilamentID,ID,
5.32137,µm,Spine,2,2,1,100000001,610000002924,
8.47158,µm,Spine,6,5,1,100000001,610000002938,
8.44337,µm,Spine,6,5,1,100000001,610000002949,
5.13211,µm,Spine,2,2,1,100000001,610000002955,
8.22642,µm,Spine,6,5,1,100000001,610000002964,
8.23767,µm,Spine,6,5,1,100000001,610000002973,
8.16964,µm,Spine,6,5,1,100000001,610000002981,
4.88651,µm,Spine,2,2,1,100000001,610000002983,
3.43129,µm,Spine,2,2,1,100000001,610000002986,
8.18624,µm,Spine,6,5,1,100000001,610000002996,
9.79715,µm,Spine,6,4,1,100000001,610000002999,
1.57559,µm,Spine,1,2,1,100000001,610000003001,
16.6882,µm,Spine,14,4,1,100000001,610000003003,
9.18101,µm,Spine,5,3,1,100000001,610000003005,
9.01892,µm,Spine,6,3,1,100000001,610000003008,
8.15206,µm,Spine,5,5,1,100000001,610000003012,
7.79807,µm,Spine,6,5,1,100000001,610000003017,
8.09339,µm,Spine,7,5,1,100000001,610000003021,
24.0933,µm,Spine,19,8,1,100000001,610000003027,
9.06384,µm,Spine,7,5,1,100000001,610000003032,
24.7988,µm,Spine,19,4,1,100000001,610000003038,
14.1452,µm,Spine,7,4,1,100000001,610000003043,
12.8012,µm,Spine,10,3,1,100000001,610000003045,
4.94936,µm,Spine,2,2,1,100000001,610000003047,
2.30224,µm,Spine,2,2,1,100000001,610000003049,
24.2748,µm,Spine,19,7,1,100000001,610000003053,
8.82938,µm,Spine,6,3,1,100000001,610000003057,
7.49114,µm,Spine,6,5,1,100000001,610000003060,
8.41213,µm,Spine,5,3,1,100000001,610000003063,
21.7599,µm,Spine,17,4,1,100000001,610000003067,
3.9687,µm,Spine,5,3,1,100000001,610000003069,
16.8334,µm,Spine,14,4,1,100000001,610000003071,
7.10817,µm,Spine,7,5,1,100000001,610000003076,
4.98273,µm,Spine,2,2,1,100000001,610000003078,
9.9707,µm,Spine,6,4,1,100000001,610000003080,
16.326,µm,Spine,12,5,1,100000001,610000003083,
11.9392,µm,Spine,9,4,1,100000001,610000003087,
8.88169,µm,Spine,7,5,1,100000001,610000003091,
7.2708,µm,Spine,6,5,1,100000001,610000003100,
13.3741,µm,Spine,11,3,1,100000001,610000003103,
2.53517,µm,Spine,2,2,1,100000001,610000003107,
3.87379,µm,Spine,5,2,1,100000001,610000003117,
16.4986,µm,Spine,12,6,1,100000001,610000003125,
12.6365,µm,Spine,10,6,1,100000001,610000003128,
9.89578,µm,Spine,7,4,1,100000001,610000003131,
9.15226,µm,Spine,7,5,1,100000001,610000003135,
15.2263,µm,Spine,11,5,1,100000001,610000003138,
25.0944,µm,Spine,20,7,1,100000001,610000003140,
26.2258,µm,Spine,20,7,1,100000001,610000003144,
24.4692,µm,Spine,19,4,1,100000001,610000003148,
8.646,µm,Spine,7,5,1,100000001,610000003152,
6.32601,µm,Spine,7,5,1,100000001,610000003160,
21.4499,µm,Spine,17,4,1,100000001,610000003360,
26.1141,µm,Spine,20,7,1,100000001,610000003361,
24.3501,µm,Spine,19,7,1,100000001,610000003362,
24.0345,µm,Spine,19,7,1,100000001,610000003363,
23.8418,µm,Spine,19,7,1,100000001,610000003364,
22.284,µm,Spine,18,7,1,100000001,610000003365,
19.4104,µm,Spine,15,7,1,100000001,610000003366,
19.1283,µm,Spine,15,7,1,100000001,610000003367,
14.9183,µm,Spine,11,4,1,100000001,610000003368,
16.1542,µm,Spine,12,5,1,100000001,610000003369,
12.1916,µm,Spine,9,4,1,100000001,610000003370,
11.5415,µm,Spine,9,4,1,100000001,610000003371,
12.4434,µm,Spine,10,3,1,100000001,610000003372,
12.1183,µm,Spine,10,4,1,100000001,610000003373,
10.0354,µm,Spine,7,4,1,100000001,610000003374,
11.1094,µm,Spine,7,5,1,100000001,610000003375,
10.1795,µm,Spine,7,4,1,100000001,610000003376,
9.79456,µm,Spine,6,4,1,100000001,610000003377,
9.75389,µm,Spine,6,4,1,100000001,610000003378,
8.16156,µm,Spine,5,3,1,100000001,610000003379,
12.5572,µm,Spine,6,3,1,100000001,610000003380,
7.13501,µm,Spine,4,2,1,100000001,610000003381,
9.30063,µm,Spine,5,3,1,100000001,610000003382,
7.40738,µm,Spine,5,4,1,100000001,610000003383,
14.6094,µm,Spine,7,4,1,100000001,610000003384,
6.46548,µm,Spine,4,4,1,100000001,610000003385,
5.85147,µm,Spine,4,4,1,100000001,610000003386,
8.9783,µm,Spine,7,5,1,100000001,610000003387,
8.53456,µm,Spine,7,5,1,100000001,610000003388,
7.95181,µm,Spine,8,5,1,100000001,610000003389,
7.98452,µm,Spine,8,4,1,100000001,610000003390,
7.06756,µm,Spine,6,5,1,100000001,610000003391,
6.63857,µm,Spine,5,3,1,100000001,610000003392,
4.9758,µm,Spine,3,3,1,100000001,610000003393,
2.95567,µm,Spine,1,2,1,100000001,610000003394,
3.00793,µm,Spine,1,2,1,100000001,610000003395,
7.86973,µm,Spine,7,5,1,100000001,610000003396,
6.86164,µm,Spine,7,4,1,100000001,610000003397,
6.76208,µm,Spine,7,4,1,100000001,610000003398,
6.35426,µm,Spine,7,4,1,100000001,610000003399,
5.52335,µm,Spine,6,3,1,100000001,610000003400,
4.64949,µm,Spine,4,3,1,100000001,610000003401,
5.73339,µm,Spine,5,2,1,100000001,610000003402,
2.14698,µm,Spine,1,2,1,100000001,610000003403,
0.208862,µm,Spine,0,1,1,100000001,610000003404,
