
Spine Attachment Pt Distance from Origin
 ==================== 
Spine Attachment Pt Distance from Origin,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
20720.7,µm,Spine,Spine Attachment Pt Distance from Origin,5,3,1,100000001,610000007421,
20725.1,µm,Spine,Spine Attachment Pt Distance from Origin,8,3,1,100000002,610000007524,
20732,µm,Spine,Spine Attachment Pt Distance from Origin,6,3,1,100000003,610000007534,
20738.9,µm,Spine,Spine Attachment Pt Distance from Origin,13,6,1,100000001,610000007538,
20727.9,µm,Spine,Spine Attachment Pt Distance from Origin,5,2,1,100000002,610000007548,
20735.6,µm,Spine,Spine Attachment Pt Distance from Origin,2,2,1,100000003,610000007550,
20728.6,µm,Spine,Spine Attachment Pt Distance from Origin,3,2,1,100000001,610000007554,
20724.5,µm,Spine,Spine Attachment Pt Distance from Origin,6,3,1,100000002,610000007560,
20734.4,µm,Spine,Spine Attachment Pt Distance from Origin,2,2,1,100000003,610000007562,
20728.6,µm,Spine,Spine Attachment Pt Distance from Origin,7,3,1,100000002,610000007564,
20728.9,µm,Spine,Spine Attachment Pt Distance from Origin,7,3,1,100000003,610000007567,
20734.5,µm,Spine,Spine Attachment Pt Distance from Origin,12,2,1,100000001,610000007570,
20711.1,µm,Spine,Spine Attachment Pt Distance from Origin,15,9,1,100000000,610000007572,
20709.6,µm,Spine,Spine Attachment Pt Distance from Origin,10,3,1,100000000,610000007574,
20730.1,µm,Spine,Spine Attachment Pt Distance from Origin,4,2,1,100000001,610000007587,
20722.6,µm,Spine,Spine Attachment Pt Distance from Origin,5,2,1,100000002,610000007591,
20729.3,µm,Spine,Spine Attachment Pt Distance from Origin,7,4,1,100000003,610000007594,
20732.5,µm,Spine,Spine Attachment Pt Distance from Origin,11,1,1,100000001,610000007598,
20718.8,µm,Spine,Spine Attachment Pt Distance from Origin,1,1,1,100000002,610000007601,
20736.9,µm,Spine,Spine Attachment Pt Distance from Origin,11,4,1,100000001,610000007604,
20737.8,µm,Spine,Spine Attachment Pt Distance from Origin,14,4,1,100000001,610000007606,
20726.1,µm,Spine,Spine Attachment Pt Distance from Origin,6,2,1,100000002,610000007613,
20722.4,µm,Spine,Spine Attachment Pt Distance from Origin,0,1,1,100000001,610000007618,
20717,µm,Spine,Spine Attachment Pt Distance from Origin,4,1,1,100000001,610000007623,
20711.3,µm,Spine,Spine Attachment Pt Distance from Origin,15,2,1,100000000,610000007629,
20709.6,µm,Spine,Spine Attachment Pt Distance from Origin,3,3,1,100000000,610000007631,
20732.8,µm,Spine,Spine Attachment Pt Distance from Origin,6,3,1,100000003,610000007633,
20709.9,µm,Spine,Spine Attachment Pt Distance from Origin,16,5,1,100000000,610000007635,
20740.2,µm,Spine,Spine Attachment Pt Distance from Origin,3,2,1,100000003,610000007638,
20740.6,µm,Spine,Spine Attachment Pt Distance from Origin,3,1,1,100000003,610000007642,
20729,µm,Spine,Spine Attachment Pt Distance from Origin,7,3,1,100000003,610000007649,
20727.2,µm,Spine,Spine Attachment Pt Distance from Origin,3,1,1,100000002,610000007672,
