
Position Z
 ==================== 
Position Z,Unit,Category,Collection,Time,ID,
1389.48,µm,Surface,Position,1,0,
1389.91,µm,Surface,Position,1,1,
1389.67,µm,Surface,Position,1,2,
1389.81,µm,Surface,Position,1,3,
