
Cumulative Volume Inside Img=1
 ==================== 
Distance to Surface,Cumulative Volume Inside,Unit,Collection,Image,Time,ID,
-2.1235,5.85456,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.9865,25.2427,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.8495,70.6488,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.7125,138.934,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.5755,236.39,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.4385,369.403,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.3015,521.943,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.1645,701.981,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.0275,887.512,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.8905,1094.23,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.7535,1333.99,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.6165,1578.67,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.4795,1842.87,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.3425,2144.99,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.2055,2452.84,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.0685,2772.06,µm^3,Cumulative Volume Inside,Image 1,1,,
