
Spine Part Max Diameter Head
 ==================== 
Spine Part Max Diameter Head,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.1625,µm,Spine,Spine Part Max Diameter,5,3,1,100000001,610000007421,
0.340923,µm,Spine,Spine Part Max Diameter,6,3,1,100000002,610000007451,
0.201729,µm,Spine,Spine Part Max Diameter,6,3,1,100000002,610000007468,
0.201717,µm,Spine,Spine Part Max Diameter,8,3,1,100000002,610000007484,
0.28172,µm,Spine,Spine Part Max Diameter,8,3,1,100000002,610000007495,
0.28172,µm,Spine,Spine Part Max Diameter,8,3,1,100000002,610000007505,
0.214311,µm,Spine,Spine Part Max Diameter,6,3,1,100000003,610000007516,
0.256804,µm,Spine,Spine Part Max Diameter,8,3,1,100000002,610000007524,
0.240321,µm,Spine,Spine Part Max Diameter,6,3,1,100000003,610000007534,
0.486368,µm,Spine,Spine Part Max Diameter,13,6,1,100000001,610000007538,
0.187035,µm,Spine,Spine Part Max Diameter,2,3,1,100000003,610000007545,
0.177734,µm,Spine,Spine Part Max Diameter,5,2,1,100000002,610000007548,
0.1625,µm,Spine,Spine Part Max Diameter,2,2,1,100000003,610000007550,
0.308445,µm,Spine,Spine Part Max Diameter,3,2,1,100000001,610000007554,
0.187122,µm,Spine,Spine Part Max Diameter,6,3,1,100000002,610000007560,
0.329113,µm,Spine,Spine Part Max Diameter,2,2,1,100000003,610000007562,
0.16377,µm,Spine,Spine Part Max Diameter,7,3,1,100000002,610000007564,
0.1625,µm,Spine,Spine Part Max Diameter,7,3,1,100000003,610000007567,
0.169196,µm,Spine,Spine Part Max Diameter,12,2,1,100000001,610000007570,
0.203017,µm,Spine,Spine Part Max Diameter,15,9,1,100000000,610000007572,
0.24375,µm,Spine,Spine Part Max Diameter,10,3,1,100000000,610000007574,
0.225145,µm,Spine,Spine Part Max Diameter,10,2,1,100000000,610000007579,
0.164124,µm,Spine,Spine Part Max Diameter,8,3,1,100000000,610000007583,
0.24375,µm,Spine,Spine Part Max Diameter,10,2,1,100000000,610000007585,
0.251082,µm,Spine,Spine Part Max Diameter,4,2,1,100000001,610000007587,
0.193187,µm,Spine,Spine Part Max Diameter,5,2,1,100000002,610000007591,
0.170393,µm,Spine,Spine Part Max Diameter,7,4,1,100000003,610000007594,
0.267064,µm,Spine,Spine Part Max Diameter,11,1,1,100000001,610000007598,
