
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
160.741,20662.7,1389.48,µm,Surface,Position,1,0,
191.822,20682.3,1389.91,µm,Surface,Position,1,1,
158.364,20678,1389.67,µm,Surface,Position,1,2,
168.674,20690.2,1389.81,µm,Surface,Position,1,3,
