
Segment Area
 ==================== 
Segment Area,Unit,Category,Depth,Level,Time,FilamentID,ID,
2.59871,µm^2,Segment,2,1,1,100000002,510000001505,
1.1236,µm^2,Segment,7,5,1,100000003,510000001512,
0.432754,µm^2,Segment,9,6,1,100000003,510000001516,
0.573334,µm^2,Segment,10,4,1,100000002,510000001523,
1.00594,µm^2,Segment,9,3,1,100000002,510000001532,
1.14929,µm^2,Segment,16,5,1,100000000,510000001539,
2.40385,µm^2,Segment,15,5,1,100000000,510000001559,
0.765859,µm^2,Segment,14,4,1,100000000,510000001565,
3.03022,µm^2,Segment,12,4,1,100000000,510000001592,
3.24109,µm^2,Segment,11,3,1,100000000,510000001622,
0.958367,µm^2,Segment,10,3,1,100000000,510000001632,
1.16717,µm^2,Segment,9,2,1,100000000,510000001643,
0.506283,µm^2,Segment,7,2,1,100000000,510000001648,
0.494659,µm^2,Segment,6,2,1,100000000,510000001651,
0.925218,µm^2,Segment,5,1,1,100000000,510000001657,
0.391608,µm^2,Segment,4,1,1,100000000,510000001660,
1.08573,µm^2,Segment,3,1,1,100000000,510000001667,
2.03521,µm^2,Segment,2,1,1,100000000,510000001679,
1.22277,µm^2,Segment,0,1,1,100000000,510000001689,
0.673937,µm^2,Segment,13,2,1,100000000,510000001707,
0.401851,µm^2,Segment,12,2,1,100000000,510000001710,
1.21254,µm^2,Segment,11,2,1,100000000,510000001720,
1.8168,µm^2,Segment,8,4,1,100000003,510000001738,
1.76467,µm^2,Segment,17,5,1,100000001,510000001758,
1.28869,µm^2,Segment,16,5,1,100000001,510000001769,
0.360814,µm^2,Segment,15,4,1,100000001,510000001772,
0.606865,µm^2,Segment,14,4,1,100000001,510000001778,
0.23969,µm^2,Segment,13,4,1,100000001,510000001780,
1.91754,µm^2,Segment,12,4,1,100000001,510000001801,
2.7931,µm^2,Segment,11,4,1,100000001,510000001835,
1.47252,µm^2,Segment,9,3,1,100000001,510000001851,
3.36391,µm^2,Segment,8,2,1,100000001,510000001882,
0.451647,µm^2,Segment,14,7,1,100000001,510000001889,
2.89239,µm^2,Segment,13,6,1,100000001,510000001920,
0.806606,µm^2,Segment,12,5,1,100000001,510000001926,
1.48276,µm^2,Segment,16,5,1,100000000,510000001942,
0.58663,µm^2,Segment,15,5,1,100000000,510000001949,
0.249975,µm^2,Segment,14,4,1,100000000,510000001951,
1.08768,µm^2,Segment,13,4,1,100000000,510000001959,
1.17134,µm^2,Segment,12,3,1,100000000,510000001966,
0.551227,µm^2,Segment,11,3,1,100000000,510000001971,
0.811336,µm^2,Segment,10,3,1,100000000,510000001976,
1.76884,µm^2,Segment,9,3,1,100000000,510000001991,
1.1219,µm^2,Segment,9,5,1,100000002,510000002005,
1.63507,µm^2,Segment,8,4,1,100000002,510000002025,
0.325121,µm^2,Segment,16,6,1,100000000,510000002028,
0.391219,µm^2,Segment,18,6,1,100000001,510000002034,
0.27131,µm^2,Segment,17,6,1,100000001,510000002036,
0.646625,µm^2,Segment,14,2,1,100000000,510000002039,
1.18641,µm^2,Segment,8,5,1,100000003,510000002051,
0.427723,µm^2,Segment,7,5,1,100000003,510000002054,
0.446463,µm^2,Segment,12,3,1,100000000,510000002056,
0.590664,µm^2,Segment,10,3,1,100000002,510000002061,
0.538861,µm^2,Segment,15,6,1,100000000,510000002066,
3.70873,µm^2,Segment,14,5,1,100000000,510000002104,
0.457894,µm^2,Segment,18,7,1,100000001,510000002109,
0.896448,µm^2,Segment,11,6,1,100000000,510000002115,
0.649931,µm^2,Segment,16,5,1,100000000,510000002121,
0.686983,µm^2,Segment,15,5,1,100000000,510000002125,
0.446123,µm^2,Segment,12,7,1,100000002,510000002129,
4.60331,µm^2,Segment,7,3,1,100000003,510000002171,
4.87978,µm^2,Segment,6,3,1,100000003,510000002222,
1.32437,µm^2,Segment,5,3,1,100000003,510000002235,
0.412416,µm^2,Segment,4,3,1,100000003,510000002237,
0.410644,µm^2,Segment,16,6,1,100000000,510000002239,
0.489054,µm^2,Segment,14,6,1,100000001,510000002243,
1.86138,µm^2,Segment,10,4,1,100000002,510000002251,
0.650784,µm^2,Segment,12,7,1,100000000,510000002255,
0.403842,µm^2,Segment,17,7,1,100000000,510000002262,
0.661416,µm^2,Segment,16,6,1,100000000,510000002268,
2.46267,µm^2,Segment,10,2,1,100000000,510000002300,
0.479594,µm^2,Segment,9,4,1,100000002,510000002302,
0.442412,µm^2,Segment,7,4,1,100000003,510000002307,
1.41415,µm^2,Segment,11,4,1,100000000,510000002321,
0.40941,µm^2,Segment,10,3,1,100000000,510000002323,
1.45073,µm^2,Segment,9,2,1,100000000,510000002336,
0.408118,µm^2,Segment,8,2,1,100000000,510000002338,
0.544982,µm^2,Segment,12,2,1,100000000,510000002340,
0.515719,µm^2,Segment,7,3,1,100000002,510000002345,
0.907112,µm^2,Segment,6,3,1,100000002,510000002353,
2.12095,µm^2,Segment,5,3,1,100000002,510000002371,
0.979577,µm^2,Segment,4,2,1,100000002,510000002377,
4.846,µm^2,Segment,3,2,1,100000002,510000002426,
1.27497,µm^2,Segment,2,1,1,100000002,510000002437,
0.737668,µm^2,Segment,1,1,1,100000002,510000002442,
0.995359,µm^2,Segment,0,1,1,100000002,510000002461,
0.77059,µm^2,Segment,15,2,1,100000001,510000002479,
0.705251,µm^2,Segment,14,1,1,100000001,510000002486,
0.800436,µm^2,Segment,13,1,1,100000001,510000002494,
3.18631,µm^2,Segment,12,1,1,100000001,510000002517,
0.70719,µm^2,Segment,11,5,1,100000002,510000002520,
0.805708,µm^2,Segment,7,4,1,100000002,510000002527,
0.497379,µm^2,Segment,12,4,1,100000000,510000002533,
0.678667,µm^2,Segment,11,3,1,100000000,510000002537,
1.44184,µm^2,Segment,17,5,1,100000000,510000002548,
1.84377,µm^2,Segment,13,5,1,100000001,510000002573,
2.16044,µm^2,Segment,14,5,1,100000003,510000002595,
0.818522,µm^2,Segment,12,5,1,100000003,510000002603,
0.729502,µm^2,Segment,10,3,1,100000003,510000002610,
0.49252,µm^2,Segment,9,3,1,100000003,510000002613,
2.4821,µm^2,Segment,8,3,1,100000003,510000002635,
0.320305,µm^2,Segment,7,2,1,100000003,510000002637,
0.440614,µm^2,Segment,6,2,1,100000003,510000002640,
0.987064,µm^2,Segment,5,2,1,100000003,510000002647,
0.450782,µm^2,Segment,17,6,1,100000000,510000002649,
0.729239,µm^2,Segment,16,4,1,100000001,510000002652,
0.695036,µm^2,Segment,8,6,1,100000003,510000002659,
1.01157,µm^2,Segment,16,4,1,100000000,510000002665,
