
Spine Part Max Diameter Head
 ==================== 
Spine Part Max Diameter Head,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.786127,µm,Spine,Spine Part Max Diameter,3,4,1,100000001,610000005678,
0.950567,µm,Spine,Spine Part Max Diameter,3,3,1,100000001,610000005686,
0.924479,µm,Spine,Spine Part Max Diameter,6,2,1,100000002,610000005690,
0.416667,µm,Spine,Spine Part Max Diameter,8,5,1,100000001,610000005693,
0.787097,µm,Spine,Spine Part Max Diameter,8,5,1,100000001,610000005695,
1.08574,µm,Spine,Spine Part Max Diameter,5,2,1,100000000,610000005700,
1.08574,µm,Spine,Spine Part Max Diameter,5,2,1,100000000,610000005704,
0.556279,µm,Spine,Spine Part Max Diameter,2,1,1,100000000,610000005708,
0.807292,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000005717,
0.452042,µm,Spine,Spine Part Max Diameter,0,1,1,100000002,610000005728,
0.557959,µm,Spine,Spine Part Max Diameter,7,5,1,100000002,610000005730,
0.74979,µm,Spine,Spine Part Max Diameter,0,1,1,100000002,610000005734,
1.66592,µm,Spine,Spine Part Max Diameter,0,1,1,100000002,610000005741,
0.565068,µm,Spine,Spine Part Max Diameter,11,7,1,100000001,610000005744,
0.617828,µm,Spine,Spine Part Max Diameter,1,1,1,100000001,610000005746,
0.416667,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000005755,
1.25,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000005764,
0.767559,µm,Spine,Spine Part Max Diameter,2,2,1,100000003,610000005766,
1.66592,µm,Spine,Spine Part Max Diameter,0,1,1,100000002,610000005772,
0.833333,µm,Spine,Spine Part Max Diameter,7,3,1,100000002,610000005776,
1.29247,µm,Spine,Spine Part Max Diameter,4,4,1,100000003,610000005791,
0.416667,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000005798,
0.461275,µm,Spine,Spine Part Max Diameter,5,5,1,100000003,610000005800,
0.451968,µm,Spine,Spine Part Max Diameter,0,1,1,100000003,610000005803,
0.651042,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000005807,
0.416667,µm,Spine,Spine Part Max Diameter,7,2,1,100000003,610000005809,
0.78125,µm,Spine,Spine Part Max Diameter,2,2,1,100000001,610000005813,
0.652984,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000005816,
0.514323,µm,Spine,Spine Part Max Diameter,4,5,1,100000003,610000005819,
0.605469,µm,Spine,Spine Part Max Diameter,5,4,1,100000001,610000005823,
2.13112,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000005830,
0.833333,µm,Spine,Spine Part Max Diameter,7,5,1,100000001,610000005833,
0.416667,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000005836,
0.416667,µm,Spine,Spine Part Max Diameter,6,2,1,100000000,610000005839,
0.416667,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000005843,
0.524464,µm,Spine,Spine Part Max Diameter,7,4,1,100000002,610000005845,
0.78125,µm,Spine,Spine Part Max Diameter,2,2,1,100000001,610000005847,
0.416667,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000005852,
0.594526,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000005858,
1.04167,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000005861,
0.78192,µm,Spine,Spine Part Max Diameter,0,1,1,100000002,610000005864,
0.479619,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000005866,
0.696615,µm,Spine,Spine Part Max Diameter,4,4,1,100000003,610000005868,
0.5936,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000005874,
0.888037,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000005877,
0.784518,µm,Spine,Spine Part Max Diameter,3,2,1,100000001,610000005880,
0.588241,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000005883,
0.421549,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000005887,
0.625,µm,Spine,Spine Part Max Diameter,2,1,1,100000001,610000005890,
0.625,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000005895,
0.631985,µm,Spine,Spine Part Max Diameter,5,4,1,100000001,610000005898,
0.456349,µm,Spine,Spine Part Max Diameter,8,2,1,100000002,610000005900,
0.546875,µm,Spine,Spine Part Max Diameter,9,6,1,100000001,610000005902,
0.59285,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000005905,
0.933699,µm,Spine,Spine Part Max Diameter,12,8,1,100000001,610000005908,
1.21307,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000005915,
1.08752,µm,Spine,Spine Part Max Diameter,8,4,1,100000002,610000005918,
0.638021,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000005920,
1.14963,µm,Spine,Spine Part Max Diameter,12,8,1,100000001,610000005925,
0.48397,µm,Spine,Spine Part Max Diameter,3,3,1,100000001,610000005931,
0.442144,µm,Spine,Spine Part Max Diameter,2,2,1,100000001,610000005934,
0.673838,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000005941,
0.78192,µm,Spine,Spine Part Max Diameter,0,1,1,100000002,610000005946,
0.416667,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000005949,
0.596668,µm,Spine,Spine Part Max Diameter,6,3,1,100000001,610000005954,
0.416667,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000005956,
0.927333,µm,Spine,Spine Part Max Diameter,8,3,1,100000002,610000005959,
0.651042,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000005961,
0.755246,µm,Spine,Spine Part Max Diameter,8,3,1,100000002,610000005965,
0.429662,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000005969,
1.49204,µm,Spine,Spine Part Max Diameter,3,3,1,100000001,610000005971,
0.712891,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000005975,
0.416667,µm,Spine,Spine Part Max Diameter,3,2,1,100000002,610000005985,
0.928795,µm,Spine,Spine Part Max Diameter,9,2,1,100000001,610000005988,
1.0679,µm,Spine,Spine Part Max Diameter,5,5,1,100000001,610000005990,
1.04167,µm,Spine,Spine Part Max Diameter,2,1,1,100000001,610000005993,
1.3725,µm,Spine,Spine Part Max Diameter,2,1,1,100000002,610000005999,
0.416667,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000006005,
0.819669,µm,Spine,Spine Part Max Diameter,0,1,1,100000002,610000006013,
0.416667,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000006019,
0.416667,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000006025,
0.719251,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000006028,
0.416667,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000006034,
1.04167,µm,Spine,Spine Part Max Diameter,10,4,1,100000000,610000006070,
0.78125,µm,Spine,Spine Part Max Diameter,6,2,1,100000000,610000006071,
0.936692,µm,Spine,Spine Part Max Diameter,4,1,1,100000000,610000006072,
1.92062,µm,Spine,Spine Part Max Diameter,1,1,1,100000000,610000006073,
1.04167,µm,Spine,Spine Part Max Diameter,1,1,1,100000000,610000006074,
1.11979,µm,Spine,Spine Part Max Diameter,1,1,1,100000000,610000006075,
0.651042,µm,Spine,Spine Part Max Diameter,2,3,1,100000000,610000006076,
1.04167,µm,Spine,Spine Part Max Diameter,6,2,1,100000000,610000006077,
0.668573,µm,Spine,Spine Part Max Diameter,3,1,1,100000000,610000006078,
0.438127,µm,Spine,Spine Part Max Diameter,7,4,1,100000001,610000006079,
0.625,µm,Spine,Spine Part Max Diameter,6,4,1,100000001,610000006080,
1.13072,µm,Spine,Spine Part Max Diameter,6,3,1,100000001,610000006081,
0.998103,µm,Spine,Spine Part Max Diameter,5,3,1,100000001,610000006082,
1.2793,µm,Spine,Spine Part Max Diameter,5,3,1,100000001,610000006083,
0.831599,µm,Spine,Spine Part Max Diameter,5,3,1,100000001,610000006084,
0.646621,µm,Spine,Spine Part Max Diameter,7,4,1,100000001,610000006085,
0.598958,µm,Spine,Spine Part Max Diameter,5,3,1,100000001,610000006086,
0.892859,µm,Spine,Spine Part Max Diameter,4,3,1,100000001,610000006087,
0.680592,µm,Spine,Spine Part Max Diameter,7,5,1,100000001,610000006088,
0.46875,µm,Spine,Spine Part Max Diameter,7,4,1,100000001,610000006089,
1.04167,µm,Spine,Spine Part Max Diameter,3,3,1,100000001,610000006090,
1.04167,µm,Spine,Spine Part Max Diameter,3,3,1,100000001,610000006091,
0.54362,µm,Spine,Spine Part Max Diameter,9,6,1,100000001,610000006092,
0.685384,µm,Spine,Spine Part Max Diameter,6,5,1,100000001,610000006093,
0.937164,µm,Spine,Spine Part Max Diameter,5,5,1,100000001,610000006094,
1.82826,µm,Spine,Spine Part Max Diameter,4,5,1,100000001,610000006095,
0.752225,µm,Spine,Spine Part Max Diameter,4,4,1,100000001,610000006096,
0.856118,µm,Spine,Spine Part Max Diameter,3,3,1,100000001,610000006097,
1.42423,µm,Spine,Spine Part Max Diameter,2,2,1,100000001,610000006098,
0.90838,µm,Spine,Spine Part Max Diameter,1,1,1,100000001,610000006099,
1.04167,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000006103,
0.625,µm,Spine,Spine Part Max Diameter,9,2,1,100000001,610000006105,
0.730953,µm,Spine,Spine Part Max Diameter,9,2,1,100000001,610000006106,
0.46875,µm,Spine,Spine Part Max Diameter,7,2,1,100000001,610000006107,
0.73934,µm,Spine,Spine Part Max Diameter,14,1,1,100000001,610000006108,
0.778294,µm,Spine,Spine Part Max Diameter,13,3,1,100000001,610000006109,
0.927031,µm,Spine,Spine Part Max Diameter,13,2,1,100000001,610000006110,
0.816186,µm,Spine,Spine Part Max Diameter,11,3,1,100000001,610000006111,
0.567311,µm,Spine,Spine Part Max Diameter,11,3,1,100000001,610000006112,
1.68178,µm,Spine,Spine Part Max Diameter,8,1,1,100000001,610000006113,
0.589484,µm,Spine,Spine Part Max Diameter,10,4,1,100000001,610000006114,
0.6837,µm,Spine,Spine Part Max Diameter,11,4,1,100000001,610000006115,
0.515773,µm,Spine,Spine Part Max Diameter,6,2,1,100000001,610000006116,
0.416667,µm,Spine,Spine Part Max Diameter,4,1,1,100000001,610000006117,
0.982421,µm,Spine,Spine Part Max Diameter,4,1,1,100000001,610000006118,
1.10349,µm,Spine,Spine Part Max Diameter,4,1,1,100000001,610000006119,
0.716146,µm,Spine,Spine Part Max Diameter,2,1,1,100000001,610000006120,
1.04167,µm,Spine,Spine Part Max Diameter,2,1,1,100000001,610000006121,
0.494143,µm,Spine,Spine Part Max Diameter,2,1,1,100000001,610000006122,
0.621383,µm,Spine,Spine Part Max Diameter,5,4,1,100000001,610000006123,
0.738084,µm,Spine,Spine Part Max Diameter,2,3,1,100000001,610000006124,
1.08073,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000006125,
1.04167,µm,Spine,Spine Part Max Diameter,3,3,1,100000001,610000006128,
0.75239,µm,Spine,Spine Part Max Diameter,3,3,1,100000001,610000006129,
0.533854,µm,Spine,Spine Part Max Diameter,2,2,1,100000001,610000006130,
0.814956,µm,Spine,Spine Part Max Diameter,2,1,1,100000001,610000006131,
0.625,µm,Spine,Spine Part Max Diameter,1,1,1,100000001,610000006132,
0.5936,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000006133,
0.883874,µm,Spine,Spine Part Max Diameter,15,7,1,100000001,610000006134,
0.840346,µm,Spine,Spine Part Max Diameter,15,7,1,100000001,610000006135,
0.625,µm,Spine,Spine Part Max Diameter,15,7,1,100000001,610000006136,
0.751772,µm,Spine,Spine Part Max Diameter,12,6,1,100000001,610000006137,
0.833333,µm,Spine,Spine Part Max Diameter,12,8,1,100000001,610000006138,
0.833333,µm,Spine,Spine Part Max Diameter,12,8,1,100000001,610000006139,
0.973682,µm,Spine,Spine Part Max Diameter,11,7,1,100000001,610000006140,
0.546773,µm,Spine,Spine Part Max Diameter,10,7,1,100000001,610000006141,
0.55336,µm,Spine,Spine Part Max Diameter,10,7,1,100000001,610000006142,
0.520833,µm,Spine,Spine Part Max Diameter,7,5,1,100000001,610000006143,
0.672875,µm,Spine,Spine Part Max Diameter,8,5,1,100000001,610000006144,
0.690345,µm,Spine,Spine Part Max Diameter,5,4,1,100000001,610000006145,
0.738932,µm,Spine,Spine Part Max Diameter,7,4,1,100000001,610000006146,
0.889395,µm,Spine,Spine Part Max Diameter,5,2,1,100000001,610000006147,
1.1112,µm,Spine,Spine Part Max Diameter,2,1,1,100000001,610000006148,
0.726318,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000006149,
1.0697,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000006150,
0.986328,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000006151,
0.612575,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000006152,
0.494835,µm,Spine,Spine Part Max Diameter,8,5,1,100000002,610000006154,
0.602214,µm,Spine,Spine Part Max Diameter,7,4,1,100000002,610000006155,
0.641317,µm,Spine,Spine Part Max Diameter,7,2,1,100000002,610000006156,
0.776455,µm,Spine,Spine Part Max Diameter,7,3,1,100000002,610000006157,
1.03347,µm,Spine,Spine Part Max Diameter,7,3,1,100000002,610000006158,
1.31429,µm,Spine,Spine Part Max Diameter,7,2,1,100000002,610000006159,
0.78125,µm,Spine,Spine Part Max Diameter,6,3,1,100000002,610000006160,
1.30028,µm,Spine,Spine Part Max Diameter,3,1,1,100000002,610000006161,
1.25,µm,Spine,Spine Part Max Diameter,3,2,1,100000002,610000006162,
1.42173,µm,Spine,Spine Part Max Diameter,1,1,1,100000002,610000006163,
1.02861,µm,Spine,Spine Part Max Diameter,7,5,1,100000002,610000006165,
0.860335,µm,Spine,Spine Part Max Diameter,6,4,1,100000002,610000006166,
1.03705,µm,Spine,Spine Part Max Diameter,8,3,1,100000002,610000006167,
1.11801,µm,Spine,Spine Part Max Diameter,8,3,1,100000002,610000006168,
1.45481,µm,Spine,Spine Part Max Diameter,8,3,1,100000002,610000006169,
0.834298,µm,Spine,Spine Part Max Diameter,7,4,1,100000002,610000006170,
0.668081,µm,Spine,Spine Part Max Diameter,6,3,1,100000002,610000006171,
0.591415,µm,Spine,Spine Part Max Diameter,4,2,1,100000002,610000006172,
1.11164,µm,Spine,Spine Part Max Diameter,1,1,1,100000002,610000006173,
0.565874,µm,Spine,Spine Part Max Diameter,4,4,1,100000003,610000006174,
0.653774,µm,Spine,Spine Part Max Diameter,4,2,1,100000003,610000006176,
0.833333,µm,Spine,Spine Part Max Diameter,5,2,1,100000003,610000006177,
0.740971,µm,Spine,Spine Part Max Diameter,5,2,1,100000003,610000006178,
0.691758,µm,Spine,Spine Part Max Diameter,3,1,1,100000003,610000006179,
0.551214,µm,Spine,Spine Part Max Diameter,2,2,1,100000003,610000006180,
