
Soma Ellipticity (oblate)
 ==================== 
Soma Ellipticity (oblate),Unit,Category,Time,FilamentID,ID,
0.30653,,Soma,1,100000000,800000000,
0.351572,,Soma,1,100000001,800000001,
0.351628,,Soma,1,100000002,800000002,
0.772698,,Soma,1,100000003,800000003,
