
Soma Number of Voxels Img=1
 ==================== 
Soma Number of Voxels,Unit,Category,Image,Time,FilamentID,ID,
1474,,Soma,Image 1,1,100000000,800000000,
17851,,Soma,Image 1,1,100000001,800000001,
8508,,Soma,Image 1,1,100000002,800000002,
4460,,Soma,Image 1,1,100000003,800000003,
