
Spine Attachment Pt Position Y
 ==================== 
Spine Attachment Pt Position Y,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
19941.3,µm,Spine,Spine Attachment Pt Position,8,1,1,,610000006196,
19862.1,µm,Spine,Spine Attachment Pt Position,3,1,1,,610000006197,
19932.7,µm,Spine,Spine Attachment Pt Position,10,4,1,,610000006197,
19939.8,µm,Spine,Spine Attachment Pt Position,11,4,1,,610000006198,
19938.4,µm,Spine,Spine Attachment Pt Position,7,2,1,,610000006199,
19860,µm,Spine,Spine Attachment Pt Position,6,3,1,,610000006199,
19932.5,µm,Spine,Spine Attachment Pt Position,9,2,1,,610000006200,
19932,µm,Spine,Spine Attachment Pt Position,9,2,1,,610000006201,
19935.8,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000006203,
19941.2,µm,Spine,Spine Attachment Pt Position,2,1,1,,610000006204,
19939.4,µm,Spine,Spine Attachment Pt Position,2,2,1,,610000006205,
19943.1,µm,Spine,Spine Attachment Pt Position,3,3,1,,610000006206,
19944.2,µm,Spine,Spine Attachment Pt Position,3,3,1,,610000006207,
19931.2,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000006211,
19931.3,µm,Spine,Spine Attachment Pt Position,2,1,1,,610000006212,
19937.7,µm,Spine,Spine Attachment Pt Position,7,4,1,,610000006213,
19938.5,µm,Spine,Spine Attachment Pt Position,5,2,1,,610000006214,
19931,µm,Spine,Spine Attachment Pt Position,5,4,1,,610000006215,
19926.3,µm,Spine,Spine Attachment Pt Position,8,5,1,,610000006216,
19934.2,µm,Spine,Spine Attachment Pt Position,7,5,1,,610000006217,
19932,µm,Spine,Spine Attachment Pt Position,12,8,1,,610000006218,
19929.4,µm,Spine,Spine Attachment Pt Position,12,8,1,,610000006219,
19921.6,µm,Spine,Spine Attachment Pt Position,11,7,1,,610000006220,
19926.4,µm,Spine,Spine Attachment Pt Position,10,7,1,,610000006222,
19929.3,µm,Spine,Spine Attachment Pt Position,12,6,1,,610000006223,
19926.5,µm,Spine,Spine Attachment Pt Position,15,7,1,,610000006224,
19926.7,µm,Spine,Spine Attachment Pt Position,15,7,1,,610000006225,
19926.8,µm,Spine,Spine Attachment Pt Position,15,7,1,,610000006226,
19920.8,µm,Spine,Spine Attachment Pt Position,3,3,1,,610000006228,
19921.5,µm,Spine,Spine Attachment Pt Position,2,2,1,,610000006229,
19911.4,µm,Spine,Spine Attachment Pt Position,9,6,1,,610000006230,
19913.2,µm,Spine,Spine Attachment Pt Position,6,5,1,,610000006231,
19920.2,µm,Spine,Spine Attachment Pt Position,5,5,1,,610000006232,
19920.7,µm,Spine,Spine Attachment Pt Position,4,5,1,,610000006233,
19920.5,µm,Spine,Spine Attachment Pt Position,4,4,1,,610000006234,
19921,µm,Spine,Spine Attachment Pt Position,3,3,1,,610000006235,
19920.8,µm,Spine,Spine Attachment Pt Position,3,3,1,,610000006236,
19911.9,µm,Spine,Spine Attachment Pt Position,7,5,1,,610000006237,
19910.3,µm,Spine,Spine Attachment Pt Position,7,4,1,,610000006238,
19916.2,µm,Spine,Spine Attachment Pt Position,4,3,1,,610000006239,
19903.8,µm,Spine,Spine Attachment Pt Position,7,4,1,,610000006240,
19913.8,µm,Spine,Spine Attachment Pt Position,5,3,1,,610000006242,
19909,µm,Spine,Spine Attachment Pt Position,5,3,1,,610000006243,
19907.9,µm,Spine,Spine Attachment Pt Position,5,3,1,,610000006244,
19906.1,µm,Spine,Spine Attachment Pt Position,6,3,1,,610000006245,
19896.2,µm,Spine,Spine Attachment Pt Position,6,4,1,,610000006246,
19892.5,µm,Spine,Spine Attachment Pt Position,7,4,1,,610000006247,
19925.4,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000006248,
