
Soma Sphericity
 ==================== 
Soma Sphericity,Unit,Category,Time,FilamentID,ID,
0.84514,,Soma,1,100000000,800000000,
0.822119,,Soma,1,100000001,800000001,
0.751142,,Soma,1,100000002,800000002,
0.60344,,Soma,1,100000003,800000003,
