
Spine Position Z
 ==================== 
Spine Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
1454.75,µm,Spine,Spine Position,3,4,1,100000001,610000005678,
1445.19,µm,Spine,Spine Position,3,3,1,100000001,610000005686,
1456.93,µm,Spine,Spine Position,6,2,1,100000002,610000005690,
1460.61,µm,Spine,Spine Position,8,5,1,100000001,610000005693,
1460.5,µm,Spine,Spine Position,8,5,1,100000001,610000005695,
1460.02,µm,Spine,Spine Position,5,2,1,100000000,610000005700,
1460.06,µm,Spine,Spine Position,5,2,1,100000000,610000005704,
1453.1,µm,Spine,Spine Position,2,1,1,100000000,610000005708,
1449.67,µm,Spine,Spine Position,0,1,1,100000001,610000005717,
1466.06,µm,Spine,Spine Position,0,1,1,100000002,610000005728,
1448.34,µm,Spine,Spine Position,7,5,1,100000002,610000005730,
1462.14,µm,Spine,Spine Position,0,1,1,100000002,610000005734,
1464.2,µm,Spine,Spine Position,0,1,1,100000002,610000005741,
1445.42,µm,Spine,Spine Position,11,7,1,100000001,610000005744,
1442.53,µm,Spine,Spine Position,1,1,1,100000001,610000005746,
1448.82,µm,Spine,Spine Position,0,1,1,100000001,610000005755,
1449.8,µm,Spine,Spine Position,0,1,1,100000001,610000005764,
1455.47,µm,Spine,Spine Position,2,2,1,100000003,610000005766,
1464.65,µm,Spine,Spine Position,0,1,1,100000002,610000005772,
1457.62,µm,Spine,Spine Position,7,3,1,100000002,610000005776,
1442.37,µm,Spine,Spine Position,4,4,1,100000003,610000005791,
1448.49,µm,Spine,Spine Position,0,1,1,100000001,610000005798,
1457.81,µm,Spine,Spine Position,5,5,1,100000003,610000005800,
1449.41,µm,Spine,Spine Position,0,1,1,100000003,610000005803,
1443.07,µm,Spine,Spine Position,0,1,1,100000001,610000005807,
1450.81,µm,Spine,Spine Position,7,2,1,100000003,610000005809,
1449.16,µm,Spine,Spine Position,2,2,1,100000001,610000005813,
1446.36,µm,Spine,Spine Position,0,1,1,100000000,610000005816,
1460.25,µm,Spine,Spine Position,4,5,1,100000003,610000005819,
1462.82,µm,Spine,Spine Position,5,4,1,100000001,610000005823,
1449.52,µm,Spine,Spine Position,0,1,1,100000001,610000005830,
1443.17,µm,Spine,Spine Position,7,5,1,100000001,610000005833,
1446.68,µm,Spine,Spine Position,0,1,1,100000001,610000005836,
1450.88,µm,Spine,Spine Position,6,2,1,100000000,610000005839,
1448.4,µm,Spine,Spine Position,0,1,1,100000001,610000005843,
1455.18,µm,Spine,Spine Position,7,4,1,100000002,610000005845,
1449.32,µm,Spine,Spine Position,2,2,1,100000001,610000005847,
1449.75,µm,Spine,Spine Position,0,1,1,100000001,610000005852,
1443.58,µm,Spine,Spine Position,0,1,1,100000001,610000005858,
1445.18,µm,Spine,Spine Position,0,1,1,100000001,610000005861,
1466.12,µm,Spine,Spine Position,0,1,1,100000002,610000005864,
1446.12,µm,Spine,Spine Position,0,1,1,100000001,610000005866,
1460.8,µm,Spine,Spine Position,4,4,1,100000003,610000005868,
1444.2,µm,Spine,Spine Position,0,1,1,100000001,610000005874,
1449.73,µm,Spine,Spine Position,0,1,1,100000001,610000005877,
1446.24,µm,Spine,Spine Position,3,2,1,100000001,610000005880,
1447.77,µm,Spine,Spine Position,0,1,1,100000001,610000005883,
1450.3,µm,Spine,Spine Position,0,1,1,100000001,610000005887,
1452.87,µm,Spine,Spine Position,2,1,1,100000001,610000005890,
1445.33,µm,Spine,Spine Position,0,1,1,100000001,610000005895,
1453,µm,Spine,Spine Position,5,4,1,100000001,610000005898,
1461.61,µm,Spine,Spine Position,8,2,1,100000002,610000005900,
1446.58,µm,Spine,Spine Position,9,6,1,100000001,610000005902,
