
Soma Intensity Sum of Square Ch=3 Img=1
 ==================== 
Soma Intensity Sum of Square,Unit,Category,Channel,Image,Time,FilamentID,ID,
2.51485e+07,,Soma,3,Image 1,1,100000000,800000000,
2.6773e+08,,Soma,3,Image 1,1,100000001,800000001,
6.23598e+07,,Soma,3,Image 1,1,100000002,800000002,
5.26198e+07,,Soma,3,Image 1,1,100000003,800000003,
