
Filament No. Segment Terminal Pts
 ==================== 
Filament No. Segment Terminal Pts,Unit,Category,Time,ID,
27,,Filament,1,100000000,
106,,Filament,1,100000001,
60,,Filament,1,100000002,
29,,Filament,1,100000003,
