
Spine Branchings
 ==================== 
Spine Branchings,Unit,Category,Depth,Level,Time,FilamentID,ID,
0,,Spine,3,4,1,100000001,610000005678,
0,,Spine,3,3,1,100000001,610000005686,
0,,Spine,6,2,1,100000002,610000005690,
0,,Spine,8,5,1,100000001,610000005693,
0,,Spine,8,5,1,100000001,610000005695,
0,,Spine,5,2,1,100000000,610000005700,
0,,Spine,5,2,1,100000000,610000005704,
0,,Spine,2,1,1,100000000,610000005708,
0,,Spine,0,1,1,100000001,610000005717,
0,,Spine,0,1,1,100000002,610000005728,
0,,Spine,7,5,1,100000002,610000005730,
0,,Spine,0,1,1,100000002,610000005734,
0,,Spine,0,1,1,100000002,610000005741,
0,,Spine,11,7,1,100000001,610000005744,
0,,Spine,1,1,1,100000001,610000005746,
0,,Spine,0,1,1,100000001,610000005755,
0,,Spine,0,1,1,100000001,610000005764,
0,,Spine,2,2,1,100000003,610000005766,
0,,Spine,0,1,1,100000002,610000005772,
0,,Spine,7,3,1,100000002,610000005776,
0,,Spine,4,4,1,100000003,610000005791,
0,,Spine,0,1,1,100000001,610000005798,
0,,Spine,5,5,1,100000003,610000005800,
0,,Spine,0,1,1,100000003,610000005803,
0,,Spine,0,1,1,100000001,610000005807,
0,,Spine,7,2,1,100000003,610000005809,
0,,Spine,2,2,1,100000001,610000005813,
0,,Spine,0,1,1,100000000,610000005816,
0,,Spine,4,5,1,100000003,610000005819,
0,,Spine,5,4,1,100000001,610000005823,
0,,Spine,0,1,1,100000001,610000005830,
0,,Spine,7,5,1,100000001,610000005833,
0,,Spine,0,1,1,100000001,610000005836,
0,,Spine,6,2,1,100000000,610000005839,
0,,Spine,0,1,1,100000001,610000005843,
0,,Spine,7,4,1,100000002,610000005845,
0,,Spine,2,2,1,100000001,610000005847,
0,,Spine,0,1,1,100000001,610000005852,
0,,Spine,0,1,1,100000001,610000005858,
0,,Spine,0,1,1,100000001,610000005861,
0,,Spine,0,1,1,100000002,610000005864,
