
Segment Position
 ==================== 
Segment Position X,Segment Position Y,Segment Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
-18412.5,19201.3,1466.24,µm,Segment,Segment Position,0,1,1,100000000,510000000165,
-18418.5,19229.5,1467.68,µm,Segment,Segment Position,0,1,1,100000001,510000000413,
-18416.6,19230.6,1467.63,µm,Segment,Segment Position,0,1,1,100000001,510000000717,
-18420.8,19206.9,1468.66,µm,Segment,Segment Position,0,1,1,100000002,510000001252,
-18419.1,19211.7,1468.81,µm,Segment,Segment Position,0,1,1,100000002,510000001389,
-18421.3,19211.5,1467.12,µm,Segment,Segment Position,0,1,1,100000002,510000001518,
-18420.2,19209.4,1467.51,µm,Segment,Segment Position,0,1,1,100000002,510000001620,
-18423.8,19208.8,1468.64,µm,Segment,Segment Position,0,1,1,100000002,510000001717,
-18425.5,19208.4,1467.86,µm,Segment,Segment Position,0,1,1,100000002,510000002033,
-18420.5,19211.3,1468.71,µm,Segment,Segment Position,0,1,1,100000002,510000002158,
-18420.3,19211.4,1467.05,µm,Segment,Segment Position,0,1,1,100000002,510000002638,
-18424.1,19209,1468.33,µm,Segment,Segment Position,0,1,1,100000002,510000002665,
-18422.7,19207.5,1467.96,µm,Segment,Segment Position,0,1,1,100000002,510000002733,
-18418.3,19228.8,1467.96,µm,Segment,Segment Position,1,1,1,100000001,510000000668,
-18415.3,19230.4,1467.97,µm,Segment,Segment Position,1,1,1,100000001,510000000674,
-18422.1,19211.6,1466.94,µm,Segment,Segment Position,1,1,1,100000002,510000001499,
-18421,19212.4,1469.32,µm,Segment,Segment Position,1,1,1,100000002,510000002154,
-18424,19208.6,1469.01,µm,Segment,Segment Position,1,1,1,100000002,510000002352,
-18427.1,19207.2,1466.37,µm,Segment,Segment Position,1,1,1,100000002,510000002418,
-18413.4,19201.2,1466.57,µm,Segment,Segment Position,1,1,1,100000000,510000002454,
-18419.6,19209.4,1467.41,µm,Segment,Segment Position,1,1,1,100000002,510000002545,
