
Cumulative Volume Img=1
 ==================== 
Distance to Surface,Cumulative Volume,Unit,Collection,Image,Time,ID,
-2.244,3.69943,µm^3,Cumulative Volume,Image 1,1,,
-2.108,13.4085,µm^3,Cumulative Volume,Image 1,1,,
-1.972,29.7551,µm^3,Cumulative Volume,Image 1,1,,
-1.836,56.3149,µm^3,Cumulative Volume,Image 1,1,,
-1.7,91.3825,µm^3,Cumulative Volume,Image 1,1,,
-1.564,135.869,µm^3,Cumulative Volume,Image 1,1,,
-1.428,185.597,µm^3,Cumulative Volume,Image 1,1,,
-1.292,243.675,µm^3,Cumulative Volume,Image 1,1,,
-1.156,313.019,µm^3,Cumulative Volume,Image 1,1,,
-1.02,387.292,µm^3,Cumulative Volume,Image 1,1,,
-0.884,470.241,µm^3,Cumulative Volume,Image 1,1,,
-0.748,565.503,µm^3,Cumulative Volume,Image 1,1,,
-0.612,664.944,µm^3,Cumulative Volume,Image 1,1,,
-0.476,773.771,µm^3,Cumulative Volume,Image 1,1,,
-0.34,895.747,µm^3,Cumulative Volume,Image 1,1,,
-0.204,1017.35,µm^3,Cumulative Volume,Image 1,1,,
-0.0679998,1142.55,µm^3,Cumulative Volume,Image 1,1,,
0.0680003,1272.36,µm^3,Cumulative Volume,Image 1,1,,
0.204,1388.67,µm^3,Cumulative Volume,Image 1,1,,
0.34,1501.2,µm^3,Cumulative Volume,Image 1,1,,
0.476,1604.95,µm^3,Cumulative Volume,Image 1,1,,
0.612,1706.47,µm^3,Cumulative Volume,Image 1,1,,
0.748,1807.4,µm^3,Cumulative Volume,Image 1,1,,
0.884,1905.68,µm^3,Cumulative Volume,Image 1,1,,
1.02,2002.61,µm^3,Cumulative Volume,Image 1,1,,
1.156,2097.86,µm^3,Cumulative Volume,Image 1,1,,
1.292,2190.85,µm^3,Cumulative Volume,Image 1,1,,
1.428,2281.84,µm^3,Cumulative Volume,Image 1,1,,
1.564,2370.03,µm^3,Cumulative Volume,Image 1,1,,
1.7,2455.19,µm^3,Cumulative Volume,Image 1,1,,
1.836,2536.76,µm^3,Cumulative Volume,Image 1,1,,
1.972,2614.61,µm^3,Cumulative Volume,Image 1,1,,
2.108,2688.57,µm^3,Cumulative Volume,Image 1,1,,
2.244,2759.07,µm^3,Cumulative Volume,Image 1,1,,
2.38,2826.51,µm^3,Cumulative Volume,Image 1,1,,
2.516,2891.29,µm^3,Cumulative Volume,Image 1,1,,
2.652,2953.93,µm^3,Cumulative Volume,Image 1,1,,
2.788,3014.9,µm^3,Cumulative Volume,Image 1,1,,
2.924,3074.1,µm^3,Cumulative Volume,Image 1,1,,
3.06,3132,µm^3,Cumulative Volume,Image 1,1,,
3.196,3188.38,µm^3,Cumulative Volume,Image 1,1,,
3.332,3243.23,µm^3,Cumulative Volume,Image 1,1,,
3.468,3296.82,µm^3,Cumulative Volume,Image 1,1,,
3.604,3349.11,µm^3,Cumulative Volume,Image 1,1,,
3.74,3399.93,µm^3,Cumulative Volume,Image 1,1,,
3.876,3449.56,µm^3,Cumulative Volume,Image 1,1,,
4.012,3497.96,µm^3,Cumulative Volume,Image 1,1,,
4.148,3545.19,µm^3,Cumulative Volume,Image 1,1,,
4.284,3591.34,µm^3,Cumulative Volume,Image 1,1,,
4.42,3636.42,µm^3,Cumulative Volume,Image 1,1,,
4.556,3680.88,µm^3,Cumulative Volume,Image 1,1,,
4.692,3724.74,µm^3,Cumulative Volume,Image 1,1,,
4.828,3767.95,µm^3,Cumulative Volume,Image 1,1,,
4.964,3810.4,µm^3,Cumulative Volume,Image 1,1,,
5.1,3852.05,µm^3,Cumulative Volume,Image 1,1,,
5.236,3892.99,µm^3,Cumulative Volume,Image 1,1,,
5.372,3933.65,µm^3,Cumulative Volume,Image 1,1,,
5.508,3974.01,µm^3,Cumulative Volume,Image 1,1,,
5.644,4014.16,µm^3,Cumulative Volume,Image 1,1,,
5.78,4053.95,µm^3,Cumulative Volume,Image 1,1,,
5.916,4093.44,µm^3,Cumulative Volume,Image 1,1,,
6.052,4133.14,µm^3,Cumulative Volume,Image 1,1,,
6.188,4172.94,µm^3,Cumulative Volume,Image 1,1,,
6.324,4212.77,µm^3,Cumulative Volume,Image 1,1,,
6.46,4252.44,µm^3,Cumulative Volume,Image 1,1,,
6.596,4291.9,µm^3,Cumulative Volume,Image 1,1,,
6.732,4331.58,µm^3,Cumulative Volume,Image 1,1,,
6.868,4371.49,µm^3,Cumulative Volume,Image 1,1,,
7.004,4411.47,µm^3,Cumulative Volume,Image 1,1,,
7.14,4451.48,µm^3,Cumulative Volume,Image 1,1,,
7.276,4491.38,µm^3,Cumulative Volume,Image 1,1,,
7.412,4531.07,µm^3,Cumulative Volume,Image 1,1,,
7.548,4571.05,µm^3,Cumulative Volume,Image 1,1,,
7.684,4611.3,µm^3,Cumulative Volume,Image 1,1,,
7.82,4651.73,µm^3,Cumulative Volume,Image 1,1,,
7.956,4692.14,µm^3,Cumulative Volume,Image 1,1,,
8.092,4732.07,µm^3,Cumulative Volume,Image 1,1,,
8.228,4772.08,µm^3,Cumulative Volume,Image 1,1,,
8.364,4812.64,µm^3,Cumulative Volume,Image 1,1,,
8.5,4853.18,µm^3,Cumulative Volume,Image 1,1,,
8.636,4894.02,µm^3,Cumulative Volume,Image 1,1,,
