
Segment Intensity Max Ch=2 Img=1
 ==================== 
Segment Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
173,,Segment,2,5,Image 1,6,1,100000000,510000000017,
181,,Segment,2,4,Image 1,5,1,100000000,510000000099,
152,,Segment,2,3,Image 1,4,1,100000000,510000000109,
144,,Segment,2,2,Image 1,3,1,100000000,510000000135,
158,,Segment,2,1,Image 1,2,1,100000000,510000000142,
199,,Segment,2,0,Image 1,1,1,100000000,510000000165,
157,,Segment,2,5,Image 1,5,1,100000000,510000000197,
72,,Segment,2,7,Image 1,5,1,100000001,510000000201,
133,,Segment,2,6,Image 1,4,1,100000001,510000000214,
195,,Segment,2,5,Image 1,3,1,100000001,510000000266,
143,,Segment,2,4,Image 1,3,1,100000001,510000000278,
168,,Segment,2,3,Image 1,2,1,100000001,510000000299,
168,,Segment,2,2,Image 1,2,1,100000001,510000000333,
165,,Segment,2,1,Image 1,2,1,100000001,510000000397,
165,,Segment,2,0,Image 1,1,1,100000001,510000000413,
168,,Segment,2,7,Image 1,3,1,100000001,510000000449,
133,,Segment,2,6,Image 1,3,1,100000001,510000000465,
183,,Segment,2,7,Image 1,4,1,100000001,510000000482,
52,,Segment,2,7,Image 1,4,1,100000001,510000000484,
130,,Segment,2,7,Image 1,3,1,100000001,510000000527,
160,,Segment,2,5,Image 1,3,1,100000001,510000000541,
156,,Segment,2,4,Image 1,2,1,100000001,510000000571,
59,,Segment,2,7,Image 1,4,1,100000001,510000000576,
118,,Segment,2,6,Image 1,4,1,100000001,510000000580,
164,,Segment,2,5,Image 1,2,1,100000001,510000000602,
173,,Segment,2,5,Image 1,4,1,100000001,510000000605,
168,,Segment,2,3,Image 1,3,1,100000001,510000000609,
162,,Segment,2,6,Image 1,3,1,100000001,510000000621,
175,,Segment,2,5,Image 1,2,1,100000001,510000000627,
175,,Segment,2,4,Image 1,2,1,100000001,510000000639,
155,,Segment,2,3,Image 1,2,1,100000001,510000000642,
179,,Segment,2,2,Image 1,1,1,100000001,510000000651,
179,,Segment,2,1,Image 1,1,1,100000001,510000000668,
100,,Segment,2,1,Image 1,1,1,100000001,510000000674,
146,,Segment,2,0,Image 1,1,1,100000001,510000000717,
162,,Segment,2,1,Image 1,2,1,100000001,510000000727,
149,,Segment,2,9,Image 1,3,1,100000001,510000000767,
111,,Segment,2,8,Image 1,3,1,100000001,510000000772,
133,,Segment,2,7,Image 1,3,1,100000001,510000000810,
171,,Segment,2,6,Image 1,3,1,100000001,510000000824,
175,,Segment,2,5,Image 1,3,1,100000001,510000000853,
57,,Segment,2,9,Image 1,5,1,100000001,510000000856,
134,,Segment,2,8,Image 1,4,1,100000001,510000000893,
171,,Segment,2,7,Image 1,4,1,100000001,510000000906,
178,,Segment,2,6,Image 1,4,1,100000001,510000000966,
178,,Segment,2,9,Image 1,5,1,100000001,510000000996,
132,,Segment,2,8,Image 1,5,1,100000001,510000001001,
88,,Segment,2,9,Image 1,6,1,100000001,510000001006,
86,,Segment,2,9,Image 1,4,1,100000001,510000001013,
174,,Segment,2,4,Image 1,4,1,100000000,510000001058,
175,,Segment,2,3,Image 1,3,1,100000000,510000001076,
111,,Segment,2,8,Image 1,4,1,100000001,510000001081,
162,,Segment,2,7,Image 1,5,1,100000000,510000001124,
169,,Segment,2,6,Image 1,5,1,100000000,510000001137,
132,,Segment,2,5,Image 1,4,1,100000000,510000001152,
152,,Segment,2,4,Image 1,4,1,100000000,510000001156,
151,,Segment,2,2,Image 1,1,1,100000002,510000001203,
168,,Segment,2,0,Image 1,1,1,100000002,510000001252,
180,,Segment,2,2,Image 1,2,1,100000002,510000001351,
185,,Segment,2,0,Image 1,1,1,100000002,510000001389,
171,,Segment,2,7,Image 1,5,1,100000001,510000001419,
105,,Segment,2,10,Image 1,3,1,100000002,510000001427,
136,,Segment,2,9,Image 1,2,1,100000002,510000001436,
125,,Segment,2,8,Image 1,2,1,100000002,510000001440,
173,,Segment,2,7,Image 1,2,1,100000002,510000001450,
187,,Segment,2,6,Image 1,2,1,100000002,510000001461,
179,,Segment,2,5,Image 1,2,1,100000002,510000001467,
190,,Segment,2,4,Image 1,1,1,100000002,510000001481,
176,,Segment,2,3,Image 1,1,1,100000002,510000001490,
173,,Segment,2,2,Image 1,1,1,100000002,510000001497,
178,,Segment,2,1,Image 1,1,1,100000002,510000001499,
178,,Segment,2,0,Image 1,1,1,100000002,510000001518,
168,,Segment,2,1,Image 1,2,1,100000002,510000001607,
192,,Segment,2,0,Image 1,1,1,100000002,510000001620,
157,,Segment,2,4,Image 1,3,1,100000002,510000001671,
151,,Segment,2,2,Image 1,3,1,100000002,510000001703,
151,,Segment,2,1,Image 1,2,1,100000002,510000001713,
153,,Segment,2,0,Image 1,1,1,100000002,510000001717,
142,,Segment,2,7,Image 1,6,1,100000000,510000001748,
141,,Segment,2,7,Image 1,4,1,100000000,510000001763,
179,,Segment,2,6,Image 1,4,1,100000000,510000001771,
179,,Segment,2,5,Image 1,3,1,100000000,510000001778,
174,,Segment,2,4,Image 1,3,1,100000000,510000001787,
110,,Segment,2,6,Image 1,4,1,100000001,510000001797,
154,,Segment,2,5,Image 1,3,1,100000001,510000001809,
170,,Segment,2,4,Image 1,3,1,100000001,510000001894,
118,,Segment,2,6,Image 1,3,1,100000001,510000001897,
129,,Segment,2,3,Image 1,3,1,100000002,510000001923,
124,,Segment,2,2,Image 1,3,1,100000002,510000001936,
157,,Segment,2,1,Image 1,2,1,100000002,510000001954,
132,,Segment,2,2,Image 1,3,1,100000002,510000001962,
181,,Segment,2,1,Image 1,2,1,100000002,510000001996,
188,,Segment,2,0,Image 1,1,1,100000002,510000002033,
124,,Segment,2,3,Image 1,4,1,100000002,510000002056,
141,,Segment,2,7,Image 1,5,1,100000000,510000002059,
105,,Segment,2,7,Image 1,4,1,100000001,510000002075,
109,,Segment,2,3,Image 1,4,1,100000002,510000002089,
117,,Segment,2,5,Image 1,4,1,100000001,510000002094,
127,,Segment,2,10,Image 1,2,1,100000002,510000002101,
116,,Segment,2,2,Image 1,2,1,100000002,510000002132,
177,,Segment,2,1,Image 1,1,1,100000002,510000002154,
171,,Segment,2,0,Image 1,1,1,100000002,510000002158,
150,,Segment,2,2,Image 1,2,1,100000002,510000002170,
77,,Segment,2,3,Image 1,3,1,100000002,510000002178,
83,,Segment,2,2,Image 1,2,1,100000002,510000002186,
128,,Segment,2,9,Image 1,3,1,100000002,510000002192,
172,,Segment,2,7,Image 1,3,1,100000002,510000002199,
77,,Segment,2,3,Image 1,2,1,100000002,510000002202,
81,,Segment,2,7,Image 1,4,1,100000000,510000002206,
110,,Segment,2,8,Image 1,3,1,100000002,510000002210,
176,,Segment,2,1,Image 1,2,1,100000002,510000002216,
159,,Segment,2,6,Image 1,5,1,100000000,510000002220,
171,,Segment,2,5,Image 1,4,1,100000000,510000002224,
180,,Segment,2,2,Image 1,2,1,100000001,510000002261,
152,,Segment,2,7,Image 1,5,1,100000000,510000002265,
159,,Segment,2,6,Image 1,4,1,100000000,510000002270,
149,,Segment,2,7,Image 1,4,1,100000000,510000002274,
124,,Segment,2,4,Image 1,4,1,100000002,510000002276,
