
Segment Orientation Angle
 ==================== 
Segment Orientation Angle,Unit,Category,Depth,Level,Time,FilamentID,ID,
-69.3086,°,Segment,5,6,1,100000000,510000000017,
30.6554,°,Segment,4,5,1,100000000,510000000099,
-57.4549,°,Segment,3,4,1,100000000,510000000109,
-153.542,°,Segment,2,3,1,100000000,510000000135,
-121.971,°,Segment,1,2,1,100000000,510000000142,
-139.586,°,Segment,0,1,1,100000000,510000000165,
60.2472,°,Segment,5,5,1,100000000,510000000197,
116.232,°,Segment,7,5,1,100000001,510000000201,
-32.9929,°,Segment,6,4,1,100000001,510000000214,
-136.129,°,Segment,5,3,1,100000001,510000000266,
159.055,°,Segment,4,3,1,100000001,510000000278,
-161.799,°,Segment,3,2,1,100000001,510000000299,
-173.033,°,Segment,2,2,1,100000001,510000000333,
163.098,°,Segment,1,2,1,100000001,510000000397,
-90,°,Segment,0,1,1,100000001,510000000413,
-77.7064,°,Segment,7,3,1,100000001,510000000449,
-98.0732,°,Segment,6,3,1,100000001,510000000465,
-158.483,°,Segment,7,4,1,100000001,510000000482,
1.7357,°,Segment,7,4,1,100000001,510000000484,
173.39,°,Segment,7,3,1,100000001,510000000527,
-129.71,°,Segment,5,3,1,100000001,510000000541,
-150.261,°,Segment,4,2,1,100000001,510000000571,
-108.113,°,Segment,7,4,1,100000001,510000000576,
-44.1186,°,Segment,6,4,1,100000001,510000000580,
145.387,°,Segment,5,2,1,100000001,510000000602,
99.92,°,Segment,5,4,1,100000001,510000000605,
-29.3758,°,Segment,3,3,1,100000001,510000000609,
60.3228,°,Segment,6,3,1,100000001,510000000621,
160.907,°,Segment,5,2,1,100000001,510000000627,
-132.699,°,Segment,4,2,1,100000001,510000000639,
-74.9911,°,Segment,3,2,1,100000001,510000000642,
-74.3051,°,Segment,2,1,1,100000001,510000000651,
-74.9014,°,Segment,1,1,1,100000001,510000000668,
118.009,°,Segment,1,1,1,100000001,510000000674,
-1.62993,°,Segment,0,1,1,100000001,510000000717,
-2.67186,°,Segment,1,2,1,100000001,510000000727,
-178.399,°,Segment,9,3,1,100000001,510000000767,
-143.556,°,Segment,8,3,1,100000001,510000000772,
-145.048,°,Segment,7,3,1,100000001,510000000810,
-172.03,°,Segment,6,3,1,100000001,510000000824,
-103.743,°,Segment,5,3,1,100000001,510000000853,
-118.768,°,Segment,9,5,1,100000001,510000000856,
-56.9524,°,Segment,8,4,1,100000001,510000000893,
11.7972,°,Segment,7,4,1,100000001,510000000906,
-75.712,°,Segment,6,4,1,100000001,510000000966,
58.466,°,Segment,9,5,1,100000001,510000000996,
77.5668,°,Segment,8,5,1,100000001,510000001001,
172.106,°,Segment,9,6,1,100000001,510000001006,
-160.73,°,Segment,9,4,1,100000001,510000001013,
155.433,°,Segment,4,4,1,100000000,510000001058,
157.346,°,Segment,3,3,1,100000000,510000001076,
13.9102,°,Segment,8,4,1,100000001,510000001081,
-79.2592,°,Segment,7,5,1,100000000,510000001124,
-90.8057,°,Segment,6,5,1,100000000,510000001137,
-116.266,°,Segment,5,4,1,100000000,510000001152,
-113.175,°,Segment,4,4,1,100000000,510000001156,
-52.4293,°,Segment,2,1,1,100000002,510000001203,
-37.4985,°,Segment,0,1,1,100000002,510000001252,
72.9319,°,Segment,2,2,1,100000002,510000001351,
19.9964,°,Segment,0,1,1,100000002,510000001389,
169.951,°,Segment,7,5,1,100000001,510000001419,
47.1747,°,Segment,10,3,1,100000002,510000001427,
116.793,°,Segment,9,2,1,100000002,510000001436,
117.553,°,Segment,8,2,1,100000002,510000001440,
143.981,°,Segment,7,2,1,100000002,510000001450,
165.867,°,Segment,6,2,1,100000002,510000001461,
176.647,°,Segment,5,2,1,100000002,510000001467,
144.228,°,Segment,4,1,1,100000002,510000001481,
160.843,°,Segment,3,1,1,100000002,510000001490,
115.408,°,Segment,2,1,1,100000002,510000001497,
125.897,°,Segment,1,1,1,100000002,510000001499,
169.333,°,Segment,0,1,1,100000002,510000001518,
-28.3219,°,Segment,1,2,1,100000002,510000001607,
-15.3833,°,Segment,0,1,1,100000002,510000001620,
61.4584,°,Segment,4,3,1,100000002,510000001671,
154.911,°,Segment,2,3,1,100000002,510000001703,
