
Spine Part Length
 ==================== 
Spine Part Length Ground,Spine Part Length Head,Spine Part Length Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.258854,0.214846,0,µm,Spine,Spine Part Length,0,1,1,100000001,610000003071,
0.276492,0.213507,0,µm,Spine,Spine Part Length,0,1,1,100000001,610000003244,
0.239735,0.105144,0,µm,Spine,Spine Part Length,0,1,1,100000002,610000003253,
0.306724,0.215523,0,µm,Spine,Spine Part Length,0,1,1,100000002,610000003268,
0.277317,0.211393,0.224313,µm,Spine,Spine Part Length,1,1,1,100000002,610000003013,
0.309917,0.312688,0,µm,Spine,Spine Part Length,1,1,1,100000001,610000003024,
0.279299,0.113185,0,µm,Spine,Spine Part Length,1,1,1,100000002,610000003049,
0.234722,0.162234,0,µm,Spine,Spine Part Length,1,1,1,100000001,610000003073,
0.281591,0.08125,0,µm,Spine,Spine Part Length,1,2,1,100000002,610000003029,
0.426803,0.262704,0,µm,Spine,Spine Part Length,1,2,1,100000002,610000003037,
0.442147,0.0938064,0.196667,µm,Spine,Spine Part Length,1,2,1,100000002,610000003052,
0.195767,0.115003,0.103146,µm,Spine,Spine Part Length,1,2,1,100000002,610000003055,
0.416453,0.105679,0,µm,Spine,Spine Part Length,1,2,1,100000002,610000003081,
0.221125,0.161587,0.139944,µm,Spine,Spine Part Length,1,2,1,100000001,610000003097,
0.250251,0.187623,0,µm,Spine,Spine Part Length,1,2,1,100000001,610000003133,
0.288525,0.08125,0,µm,Spine,Spine Part Length,1,2,1,100000002,610000003147,
0.247421,0.175431,0,µm,Spine,Spine Part Length,1,2,1,100000000,610000003153,
0.19117,0.106006,0,µm,Spine,Spine Part Length,1,2,1,100000002,610000003251,
0.169827,0.117114,0,µm,Spine,Spine Part Length,1,2,1,100000002,610000003257,
0.200882,0.10161,0,µm,Spine,Spine Part Length,1,2,1,100000002,610000003275,
0.213838,0.136968,0,µm,Spine,Spine Part Length,1,2,1,100000002,610000003276,
0.245236,0.08125,0,µm,Spine,Spine Part Length,10,2,1,100000002,610000003020,
0.207298,0.176002,0.183413,µm,Spine,Spine Part Length,2,1,1,100000002,610000003165,
0.176235,0.185468,0,µm,Spine,Spine Part Length,2,1,1,100000002,610000003214,
0.202943,0.153448,0,µm,Spine,Spine Part Length,2,1,1,100000001,610000003243,
0.256394,0.140419,0,µm,Spine,Spine Part Length,2,1,1,100000002,610000003245,
0.14008,0.08125,0,µm,Spine,Spine Part Length,2,1,1,100000002,610000003246,
0.281249,0.141553,0,µm,Spine,Spine Part Length,2,1,1,100000002,610000003277,
0.233543,0.08125,0,µm,Spine,Spine Part Length,2,1,1,100000002,610000003278,
0.275745,0.147266,0,µm,Spine,Spine Part Length,2,1,1,100000002,610000003279,
0.38993,0.19103,0,µm,Spine,Spine Part Length,2,2,1,100000002,610000003007,
0.285939,0.08125,0.207923,µm,Spine,Spine Part Length,2,2,1,100000002,610000003016,
0.262651,0.0837891,0,µm,Spine,Spine Part Length,2,2,1,100000002,610000003018,
0.227092,0.0855497,0.123928,µm,Spine,Spine Part Length,2,2,1,100000000,610000003040,
0.222635,0.0982985,0,µm,Spine,Spine Part Length,2,2,1,100000000,610000003079,
0.219521,0.1625,0,µm,Spine,Spine Part Length,2,2,1,100000002,610000003155,
0.192488,0.108545,0,µm,Spine,Spine Part Length,2,2,1,100000002,610000003267,
0.273997,0.138216,0.157853,µm,Spine,Spine Part Length,2,3,1,100000000,610000003027,
0.238597,0.109221,0,µm,Spine,Spine Part Length,2,3,1,100000000,610000003230,
0.171188,0.114674,0,µm,Spine,Spine Part Length,2,3,1,100000002,610000003248,
0.261255,0.136997,0,µm,Spine,Spine Part Length,2,3,1,100000002,610000003250,
0.266289,0.123145,0,µm,Spine,Spine Part Length,3,1,1,100000001,610000003241,
0.267025,0.10628,0,µm,Spine,Spine Part Length,3,1,1,100000001,610000003242,
0.398522,0.276352,0.285083,µm,Spine,Spine Part Length,3,2,1,100000002,610000003047,
0.420317,0.278645,0,µm,Spine,Spine Part Length,3,2,1,100000002,610000003086,
0.238655,0.269166,0,µm,Spine,Spine Part Length,3,2,1,100000002,610000003101,
0.249426,0.110594,0,µm,Spine,Spine Part Length,3,2,1,100000002,610000003105,
0.293772,0.08125,0,µm,Spine,Spine Part Length,3,2,1,100000002,610000003112,
0.287389,0.287645,0,µm,Spine,Spine Part Length,3,2,1,100000002,610000003121,
0.21416,0.08125,0,µm,Spine,Spine Part Length,3,2,1,100000001,610000003123,
0.409812,0.24375,0,µm,Spine,Spine Part Length,3,2,1,100000002,610000003136,
0.23248,0.110594,0,µm,Spine,Spine Part Length,3,2,1,100000002,610000003138,
0.386491,0.171107,0,µm,Spine,Spine Part Length,3,2,1,100000002,610000003140,
0.233805,0.216861,0,µm,Spine,Spine Part Length,3,2,1,100000002,610000003145,
0.281235,0.0949549,0,µm,Spine,Spine Part Length,3,2,1,100000002,610000003158,
0.35409,0.209344,0,µm,Spine,Spine Part Length,3,2,1,100000002,610000003162,
0.327101,0.126953,0,µm,Spine,Spine Part Length,3,2,1,100000002,610000003167,
0.401385,0.29644,0,µm,Spine,Spine Part Length,3,2,1,100000002,610000003208,
0.333356,0.182921,0,µm,Spine,Spine Part Length,3,2,1,100000001,610000003235,
0.295387,0.198396,0,µm,Spine,Spine Part Length,3,2,1,100000002,610000003249,
0.252589,0.112551,0,µm,Spine,Spine Part Length,3,2,1,100000002,610000003280,
0.160376,0.118215,0,µm,Spine,Spine Part Length,3,4,1,100000002,610000003247,
0.359697,0.229794,0,µm,Spine,Spine Part Length,4,1,1,100000002,610000003128,
0.217082,0.095482,0,µm,Spine,Spine Part Length,4,1,1,100000002,610000003130,
0.331022,0.143604,0,µm,Spine,Spine Part Length,4,1,1,100000002,610000003170,
0.158811,0.121875,0,µm,Spine,Spine Part Length,4,1,1,100000002,610000003266,
0.244925,0.24248,0,µm,Spine,Spine Part Length,4,2,1,100000001,610000003239,
0.274082,0.08125,0,µm,Spine,Spine Part Length,4,3,1,100000001,610000003234,
0.264534,0.08125,0,µm,Spine,Spine Part Length,4,4,1,100000000,610000003228,
0.262492,0.126953,0,µm,Spine,Spine Part Length,4,5,1,100000000,610000003060,
0.395843,0.0914062,0,µm,Spine,Spine Part Length,4,5,1,100000000,610000003226,
0.339704,0.282805,0,µm,Spine,Spine Part Length,5,1,1,100000002,610000003067,
0.260048,0.0897919,0.146896,µm,Spine,Spine Part Length,5,1,1,100000002,610000003076,
0.299568,0.08125,0,µm,Spine,Spine Part Length,5,4,1,100000001,610000003031,
0.438178,0.471527,0.138313,µm,Spine,Spine Part Length,5,5,1,100000000,610000003094,
0.283383,0.256925,0,µm,Spine,Spine Part Length,5,5,1,100000000,610000003150,
0.229214,0.256925,0,µm,Spine,Spine Part Length,5,5,1,100000000,610000003182,
0.472128,0.332029,0,µm,Spine,Spine Part Length,5,5,1,100000000,610000003184,
0.431994,0.245457,0,µm,Spine,Spine Part Length,5,5,1,100000000,610000003206,
0.25407,0.159326,0,µm,Spine,Spine Part Length,5,5,1,100000000,610000003225,
0.21763,0.0947188,0.139145,µm,Spine,Spine Part Length,6,2,1,100000002,610000003058,
0.184915,0.150653,0.0921547,µm,Spine,Spine Part Length,6,2,1,100000002,610000003108,
0.14124,0.125604,0,µm,Spine,Spine Part Length,6,2,1,100000002,610000003187,
0.326001,0.141123,0,µm,Spine,Spine Part Length,6,2,1,100000002,610000003264,
0.324698,0.141167,0,µm,Spine,Spine Part Length,6,2,1,100000002,610000003265,
0.296709,0.08125,0,µm,Spine,Spine Part Length,6,3,1,100000001,610000003233,
0.231691,0.08125,0,µm,Spine,Spine Part Length,6,3,1,100000001,610000003240,
0.169225,0.083887,0,µm,Spine,Spine Part Length,6,4,1,100000001,610000003118,
0.311838,0.112324,0,µm,Spine,Spine Part Length,6,4,1,100000000,610000003229,
0.228372,0.154785,0,µm,Spine,Spine Part Length,6,4,1,100000001,610000003238,
0.310483,0.111719,0,µm,Spine,Spine Part Length,7,3,1,100000001,610000003232,
0.1971,0.0977539,0,µm,Spine,Spine Part Length,7,5,1,100000000,610000003063,
0.21629,0.08125,0,µm,Spine,Spine Part Length,7,5,1,100000000,610000003227,
0.243253,0.0926758,0,µm,Spine,Spine Part Length,7,5,1,100000001,610000003231,
0.172315,0.08125,0,µm,Spine,Spine Part Length,8,2,1,100000002,610000003263,
0.179242,0.113786,0,µm,Spine,Spine Part Length,9,2,1,100000002,610000003262,
0.377086,0.08125,0,µm,Spine,Spine Part Length,9,5,1,100000001,610000003033,
0.21773,0.143403,0,µm,Spine,Spine Part Length,9,5,1,100000001,610000003088,
0.201051,0.149794,0,µm,Spine,Spine Part Length,9,5,1,100000001,610000003236,
0.234467,0.13512,0,µm,Spine,Spine Part Length,9,5,1,100000001,610000003237,
