
Segment Area
 ==================== 
Segment Area,Unit,Category,Depth,Level,Time,FilamentID,ID,
1.22564,µm^2,Segment,5,6,1,100000000,510000000017,
6.27735,µm^2,Segment,4,5,1,100000000,510000000099,
0.829342,µm^2,Segment,3,4,1,100000000,510000000109,
2.33588,µm^2,Segment,2,3,1,100000000,510000000135,
0.764292,µm^2,Segment,1,2,1,100000000,510000000142,
1.19125,µm^2,Segment,0,1,1,100000000,510000000165,
1.82608,µm^2,Segment,5,5,1,100000000,510000000197,
0.225821,µm^2,Segment,7,5,1,100000001,510000000201,
0.950296,µm^2,Segment,6,4,1,100000001,510000000214,
3.89693,µm^2,Segment,5,3,1,100000001,510000000266,
0.811468,µm^2,Segment,4,3,1,100000001,510000000278,
2.03267,µm^2,Segment,3,2,1,100000001,510000000299,
2.31336,µm^2,Segment,2,2,1,100000001,510000000333,
4.61043,µm^2,Segment,1,2,1,100000001,510000000397,
0.143254,µm^2,Segment,0,1,1,100000001,510000000413,
2.50312,µm^2,Segment,7,3,1,100000001,510000000449,
1.38153,µm^2,Segment,6,3,1,100000001,510000000465,
1.60782,µm^2,Segment,7,4,1,100000001,510000000482,
0.25612,µm^2,Segment,7,4,1,100000001,510000000484,
3.23318,µm^2,Segment,7,3,1,100000001,510000000527,
1.51183,µm^2,Segment,5,3,1,100000001,510000000541,
2.43651,µm^2,Segment,4,2,1,100000001,510000000571,
0.462337,µm^2,Segment,7,4,1,100000001,510000000576,
0.471441,µm^2,Segment,6,4,1,100000001,510000000580,
2.06589,µm^2,Segment,5,2,1,100000001,510000000602,
0.500061,µm^2,Segment,5,4,1,100000001,510000000605,
0.461232,µm^2,Segment,3,3,1,100000001,510000000609,
0.999626,µm^2,Segment,6,3,1,100000001,510000000621,
0.88019,µm^2,Segment,5,2,1,100000001,510000000627,
2.01497,µm^2,Segment,4,2,1,100000001,510000000639,
0.307905,µm^2,Segment,3,2,1,100000001,510000000642,
0.962085,µm^2,Segment,2,1,1,100000001,510000000651,
2.01024,µm^2,Segment,1,1,1,100000001,510000000668,
0.670172,µm^2,Segment,1,1,1,100000001,510000000674,
2.41337,µm^2,Segment,0,1,1,100000001,510000000717,
1.01043,µm^2,Segment,1,2,1,100000001,510000000727,
3.41368,µm^2,Segment,9,3,1,100000001,510000000767,
0.411342,µm^2,Segment,8,3,1,100000001,510000000772,
2.94631,µm^2,Segment,7,3,1,100000001,510000000810,
1.70321,µm^2,Segment,6,3,1,100000001,510000000824,
2.8355,µm^2,Segment,5,3,1,100000001,510000000853,
0.183501,µm^2,Segment,9,5,1,100000001,510000000856,
2.59987,µm^2,Segment,8,4,1,100000001,510000000893,
1.2093,µm^2,Segment,7,4,1,100000001,510000000906,
4.82239,µm^2,Segment,6,4,1,100000001,510000000966,
3.30649,µm^2,Segment,9,5,1,100000001,510000000996,
0.730938,µm^2,Segment,8,5,1,100000001,510000001001,
0.558225,µm^2,Segment,9,6,1,100000001,510000001006,
0.536258,µm^2,Segment,9,4,1,100000001,510000001013,
4.14041,µm^2,Segment,4,4,1,100000000,510000001058,
2.19036,µm^2,Segment,3,3,1,100000000,510000001076,
0.439087,µm^2,Segment,8,4,1,100000001,510000001081,
4.16796,µm^2,Segment,7,5,1,100000000,510000001124,
1.5366,µm^2,Segment,6,5,1,100000000,510000001137,
1.57947,µm^2,Segment,5,4,1,100000000,510000001152,
0.691653,µm^2,Segment,4,4,1,100000000,510000001156,
3.79911,µm^2,Segment,2,1,1,100000002,510000001203,
3.53684,µm^2,Segment,0,1,1,100000002,510000001252,
6.27155,µm^2,Segment,2,2,1,100000002,510000001351,
4.55886,µm^2,Segment,0,1,1,100000002,510000001389,
0.421324,µm^2,Segment,7,5,1,100000001,510000001419,
0.543274,µm^2,Segment,10,3,1,100000002,510000001427,
0.784363,µm^2,Segment,9,2,1,100000002,510000001436,
0.354167,µm^2,Segment,8,2,1,100000002,510000001440,
1.04806,µm^2,Segment,7,2,1,100000002,510000001450,
1.06259,µm^2,Segment,6,2,1,100000002,510000001461,
0.612143,µm^2,Segment,5,2,1,100000002,510000001467,
2.22106,µm^2,Segment,4,1,1,100000002,510000001481,
1.08853,µm^2,Segment,3,1,1,100000002,510000001490,
0.903239,µm^2,Segment,2,1,1,100000002,510000001497,
0.357915,µm^2,Segment,1,1,1,100000002,510000001499,
1.76155,µm^2,Segment,0,1,1,100000002,510000001518,
6.48246,µm^2,Segment,1,2,1,100000002,510000001607,
1.15401,µm^2,Segment,0,1,1,100000002,510000001620,
4.56083,µm^2,Segment,4,3,1,100000002,510000001671,
3.56502,µm^2,Segment,2,3,1,100000002,510000001703,
1.63884,µm^2,Segment,1,2,1,100000002,510000001713,
0.629056,µm^2,Segment,0,1,1,100000002,510000001717,
0.989602,µm^2,Segment,7,6,1,100000000,510000001748,
2.23688,µm^2,Segment,7,4,1,100000000,510000001763,
0.841925,µm^2,Segment,6,4,1,100000000,510000001771,
0.875159,µm^2,Segment,5,3,1,100000000,510000001778,
1.54773,µm^2,Segment,4,3,1,100000000,510000001787,
