
Pt Distance from Origin
 ==================== 
Pt Distance from Origin,Unit,Category,Collection,Depth,Time,Type,FilamentID,ID,
26643.3,µm,Point,Pt Distance from Origin,0,1,Segment Beginning,100000000,800000000,
26668.5,µm,Point,Pt Distance from Origin,0,1,Segment Beginning,100000001,800000001,
26655.4,µm,Point,Pt Distance from Origin,0,1,Segment Beginning,100000002,800000002,
26641.1,µm,Point,Pt Distance from Origin,5,1,Segment Terminal,100000000,800000003,
26642.2,µm,Point,Pt Distance from Origin,4,1,Segment Branch,100000000,800000004,
26643,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000000,800000005,
26643.8,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000000,800000006,
26643.1,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000000,800000007,
26643.3,µm,Point,Pt Distance from Origin,0,1,Segment Branch,100000000,800000008,
26642.7,µm,Point,Pt Distance from Origin,5,1,Segment Terminal,100000000,800000009,
26649.1,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000000,800000010,
26649.1,µm,Point,Pt Distance from Origin,4,1,Segment,100000000,800000011,
26645.4,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000000,800000012,
26639.8,µm,Point,Pt Distance from Origin,7,1,Spine Attachment,100000000,800000014,
26641.5,µm,Point,Pt Distance from Origin,6,1,Segment Branch,100000000,800000015,
26642.3,µm,Point,Pt Distance from Origin,5,1,Segment Branch,100000000,800000016,
26642.8,µm,Point,Pt Distance from Origin,4,1,Segment Branch,100000000,800000017,
26639.8,µm,Point,Pt Distance from Origin,7,1,Segment Terminal,100000000,800000018,
26641.7,µm,Point,Pt Distance from Origin,7,1,Segment Terminal,100000000,800000020,
26644.9,µm,Point,Pt Distance from Origin,7,1,Segment Terminal,100000000,800000021,
26644.7,µm,Point,Pt Distance from Origin,6,1,Segment Branch,100000000,800000022,
26645.2,µm,Point,Pt Distance from Origin,5,1,Segment Branch,100000000,800000023,
