
Segment Branch Level
 ==================== 
Segment Branch Level,Unit,Category,Depth,Level,Time,FilamentID,ID,
6,,Segment,5,6,1,100000000,510000000017,
5,,Segment,4,5,1,100000000,510000000099,
4,,Segment,3,4,1,100000000,510000000109,
3,,Segment,2,3,1,100000000,510000000135,
2,,Segment,1,2,1,100000000,510000000142,
1,,Segment,0,1,1,100000000,510000000165,
5,,Segment,5,5,1,100000000,510000000197,
5,,Segment,7,5,1,100000001,510000000201,
4,,Segment,6,4,1,100000001,510000000214,
3,,Segment,5,3,1,100000001,510000000266,
3,,Segment,4,3,1,100000001,510000000278,
2,,Segment,3,2,1,100000001,510000000299,
2,,Segment,2,2,1,100000001,510000000333,
2,,Segment,1,2,1,100000001,510000000397,
1,,Segment,0,1,1,100000001,510000000413,
3,,Segment,7,3,1,100000001,510000000449,
3,,Segment,6,3,1,100000001,510000000465,
4,,Segment,7,4,1,100000001,510000000482,
4,,Segment,7,4,1,100000001,510000000484,
3,,Segment,7,3,1,100000001,510000000527,
3,,Segment,5,3,1,100000001,510000000541,
2,,Segment,4,2,1,100000001,510000000571,
4,,Segment,7,4,1,100000001,510000000576,
4,,Segment,6,4,1,100000001,510000000580,
2,,Segment,5,2,1,100000001,510000000602,
4,,Segment,5,4,1,100000001,510000000605,
3,,Segment,3,3,1,100000001,510000000609,
3,,Segment,6,3,1,100000001,510000000621,
2,,Segment,5,2,1,100000001,510000000627,
2,,Segment,4,2,1,100000001,510000000639,
2,,Segment,3,2,1,100000001,510000000642,
1,,Segment,2,1,1,100000001,510000000651,
1,,Segment,1,1,1,100000001,510000000668,
1,,Segment,1,1,1,100000001,510000000674,
1,,Segment,0,1,1,100000001,510000000717,
2,,Segment,1,2,1,100000001,510000000727,
3,,Segment,9,3,1,100000001,510000000767,
3,,Segment,8,3,1,100000001,510000000772,
3,,Segment,7,3,1,100000001,510000000810,
3,,Segment,6,3,1,100000001,510000000824,
3,,Segment,5,3,1,100000001,510000000853,
5,,Segment,9,5,1,100000001,510000000856,
4,,Segment,8,4,1,100000001,510000000893,
4,,Segment,7,4,1,100000001,510000000906,
4,,Segment,6,4,1,100000001,510000000966,
5,,Segment,9,5,1,100000001,510000000996,
5,,Segment,8,5,1,100000001,510000001001,
6,,Segment,9,6,1,100000001,510000001006,
4,,Segment,9,4,1,100000001,510000001013,
4,,Segment,4,4,1,100000000,510000001058,
3,,Segment,3,3,1,100000000,510000001076,
4,,Segment,8,4,1,100000001,510000001081,
5,,Segment,7,5,1,100000000,510000001124,
5,,Segment,6,5,1,100000000,510000001137,
4,,Segment,5,4,1,100000000,510000001152,
4,,Segment,4,4,1,100000000,510000001156,
1,,Segment,2,1,1,100000002,510000001203,
1,,Segment,0,1,1,100000002,510000001252,
2,,Segment,2,2,1,100000002,510000001351,
1,,Segment,0,1,1,100000002,510000001389,
5,,Segment,7,5,1,100000001,510000001419,
3,,Segment,10,3,1,100000002,510000001427,
2,,Segment,9,2,1,100000002,510000001436,
2,,Segment,8,2,1,100000002,510000001440,
2,,Segment,7,2,1,100000002,510000001450,
2,,Segment,6,2,1,100000002,510000001461,
2,,Segment,5,2,1,100000002,510000001467,
1,,Segment,4,1,1,100000002,510000001481,
1,,Segment,3,1,1,100000002,510000001490,
1,,Segment,2,1,1,100000002,510000001497,
1,,Segment,1,1,1,100000002,510000001499,
1,,Segment,0,1,1,100000002,510000001518,
2,,Segment,1,2,1,100000002,510000001607,
1,,Segment,0,1,1,100000002,510000001620,
