
Soma Center of Image Mass Z
 ==================== 
Soma Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,FilamentID,ID,
1466.48,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1466.46,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1466.46,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1466.55,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1466.55,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1467.54,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1467.45,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1467.45,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1467.57,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1467.57,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1468.07,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000002,800000002,
1468.06,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000002,800000002,
1468.06,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000002,800000002,
1468.19,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000002,800000002,
1468.18,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000002,800000002,
