
Intensity Max Ch=5 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
298,,Surface,5,Image 1,1,0,
419,,Surface,5,Image 1,1,1,
405,,Surface,5,Image 1,1,2,
