
Segment Center Number of Voxel Ch=2 Img=1
 ==================== 
Segment Center Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
43,,Segment,2,5,Image 1,3,1,100000002,510000000044,
3,,Segment,2,4,Image 1,3,1,100000002,510000000046,
30,,Segment,2,3,Image 1,3,1,100000002,510000000075,
3,,Segment,2,2,Image 1,2,1,100000002,510000000077,
24,,Segment,2,1,Image 1,1,1,100000002,510000000100,
22,,Segment,2,0,Image 1,1,1,100000002,510000000124,
10,,Segment,2,4,Image 1,4,1,100000002,510000000152,
71,,Segment,2,6,Image 1,4,1,100000001,510000000223,
19,,Segment,2,5,Image 1,3,1,100000001,510000000241,
4,,Segment,2,4,Image 1,2,1,100000001,510000000244,
28,,Segment,2,3,Image 1,1,1,100000001,510000000271,
20,,Segment,2,1,Image 1,1,1,100000001,510000000291,
1,,Segment,2,0,Image 1,1,1,100000001,510000000307,
23,,Segment,2,5,Image 1,4,1,100000002,510000000329,
9,,Segment,2,3,Image 1,2,1,100000002,510000000337,
40,,Segment,2,4,Image 1,4,1,100000002,510000000376,
3,,Segment,2,2,Image 1,2,1,100000002,510000000379,
25,,Segment,2,1,Image 1,2,1,100000002,510000000403,
7,,Segment,2,2,Image 1,1,1,100000002,510000000409,
26,,Segment,2,2,Image 1,3,1,100000002,510000000434,
4,,Segment,2,4,Image 1,2,1,100000002,510000000437,
12,,Segment,2,3,Image 1,2,1,100000002,510000000448,
4,,Segment,2,4,Image 1,3,1,100000002,510000000452,
34,,Segment,2,13,Image 1,4,1,100000000,510000000486,
8,,Segment,2,12,Image 1,4,1,100000000,510000000493,
3,,Segment,2,10,Image 1,3,1,100000000,510000000496,
20,,Segment,2,9,Image 1,3,1,100000000,510000000515,
10,,Segment,2,8,Image 1,3,1,100000000,510000000524,
3,,Segment,2,7,Image 1,3,1,100000000,510000000526,
23,,Segment,2,6,Image 1,2,1,100000000,510000000548,
8,,Segment,2,5,Image 1,2,1,100000000,510000000555,
13,,Segment,2,4,Image 1,2,1,100000000,510000000567,
5,,Segment,2,3,Image 1,1,1,100000000,510000000571,
30,,Segment,2,2,Image 1,1,1,100000000,510000000600,
19,,Segment,2,1,Image 1,1,1,100000000,510000000618,
5,,Segment,2,0,Image 1,1,1,100000000,510000000637,
62,,Segment,2,4,Image 1,3,1,100000002,510000000701,
3,,Segment,2,3,Image 1,2,1,100000002,510000000703,
9,,Segment,2,2,Image 1,2,1,100000002,510000000711,
7,,Segment,2,1,Image 1,2,1,100000002,510000000717,
24,,Segment,2,0,Image 1,1,1,100000002,510000000744,
53,,Segment,2,9,Image 1,4,1,100000001,510000000818,
44,,Segment,2,8,Image 1,3,1,100000001,510000000861,
12,,Segment,2,6,Image 1,2,1,100000001,510000000873,
9,,Segment,2,5,Image 1,2,1,100000001,510000000881,
14,,Segment,2,13,Image 1,7,1,100000000,510000000895,
35,,Segment,2,12,Image 1,6,1,100000000,510000000929,
3,,Segment,2,11,Image 1,6,1,100000000,510000000931,
3,,Segment,2,10,Image 1,6,1,100000000,510000000933,
24,,Segment,2,9,Image 1,6,1,100000000,510000000956,
11,,Segment,2,8,Image 1,5,1,100000000,510000000966,
69,,Segment,2,7,Image 1,4,1,100000000,510000001034,
21,,Segment,2,6,Image 1,3,1,100000000,510000001054,
9,,Segment,2,4,Image 1,2,1,100000000,510000001063,
4,,Segment,2,3,Image 1,1,1,100000000,510000001066,
11,,Segment,2,2,Image 1,1,1,100000000,510000001076,
13,,Segment,2,1,Image 1,1,1,100000000,510000001088,
2,,Segment,2,0,Image 1,1,1,100000000,510000001091,
37,,Segment,2,5,Image 1,2,1,100000000,510000001139,
33,,Segment,2,3,Image 1,1,1,100000000,510000001172,
7,,Segment,2,2,Image 1,1,1,100000000,510000001178,
8,,Segment,2,1,Image 1,1,1,100000000,510000001185,
9,,Segment,2,0,Image 1,1,1,100000000,510000001197,
9,,Segment,2,13,Image 1,6,1,100000000,510000001220,
16,,Segment,2,17,Image 1,3,1,100000000,510000001235,
11,,Segment,2,16,Image 1,3,1,100000000,510000001245,
12,,Segment,2,15,Image 1,3,1,100000000,510000001256,
6,,Segment,2,14,Image 1,3,1,100000000,510000001261,
5,,Segment,2,13,Image 1,3,1,100000000,510000001265,
21,,Segment,2,12,Image 1,3,1,100000000,510000001285,
21,,Segment,2,13,Image 1,6,1,100000000,510000001305,
21,,Segment,2,12,Image 1,5,1,100000000,510000001325,
16,,Segment,2,11,Image 1,5,1,100000000,510000001340,
6,,Segment,2,10,Image 1,5,1,100000000,510000001345,
11,,Segment,2,14,Image 1,6,1,100000000,510000001356,
6,,Segment,2,13,Image 1,5,1,100000000,510000001361,
17,,Segment,2,14,Image 1,5,1,100000000,510000001377,
51,,Segment,2,8,Image 1,1,1,100000000,510000001428,
3,,Segment,2,7,Image 1,1,1,100000000,510000001430,
26,,Segment,2,6,Image 1,1,1,100000000,510000001455,
6,,Segment,2,5,Image 1,1,1,100000000,510000001460,
18,,Segment,2,9,Image 1,4,1,100000002,510000001477,
4,,Segment,2,8,Image 1,4,1,100000002,510000001480,
9,,Segment,2,7,Image 1,4,1,100000002,510000001488,
8,,Segment,2,6,Image 1,4,1,100000002,510000001495,
9,,Segment,2,5,Image 1,3,1,100000002,510000001503,
19,,Segment,2,8,Image 1,4,1,100000000,510000001523,
19,,Segment,2,7,Image 1,3,1,100000000,510000001541,
34,,Segment,2,6,Image 1,2,1,100000000,510000001574,
12,,Segment,2,11,Image 1,4,1,100000002,510000001585,
4,,Segment,2,10,Image 1,4,1,100000002,510000001588,
6,,Segment,2,9,Image 1,4,1,100000002,510000001593,
7,,Segment,2,8,Image 1,4,1,100000002,510000001599,
32,,Segment,2,7,Image 1,4,1,100000002,510000001630,
23,,Segment,2,6,Image 1,3,1,100000002,510000001652,
17,,Segment,2,7,Image 1,3,1,100000002,510000001668,
4,,Segment,2,8,Image 1,3,1,100000000,510000001671,
19,,Segment,2,2,Image 1,2,1,100000002,510000001689,
8,,Segment,2,1,Image 1,1,1,100000002,510000001696,
9,,Segment,2,8,Image 1,2,1,100000000,510000001704,
8,,Segment,2,7,Image 1,2,1,100000000,510000001711,
6,,Segment,2,12,Image 1,7,1,100000000,510000001716,
14,,Segment,2,17,Image 1,4,1,100000000,510000001729,
14,,Segment,2,3,Image 1,4,1,100000000,510000001742,
16,,Segment,2,2,Image 1,3,1,100000000,510000001757,
21,,Segment,2,1,Image 1,2,1,100000000,510000001777,
13,,Segment,2,3,Image 1,3,1,100000001,510000001789,
22,,Segment,2,2,Image 1,2,1,100000001,510000001821,
1,,Segment,2,1,Image 1,2,1,100000001,510000001852,
44,,Segment,2,0,Image 1,1,1,100000002,510000001900,
9,,Segment,2,12,Image 1,6,1,100000000,510000001909,
20,,Segment,2,11,Image 1,7,1,100000000,510000001928,
