
Intensity Mean Ch=1 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
0.995387,,Surface,1,Image 1,1,0,
1.1509,,Surface,1,Image 1,1,1,
1.26819,,Surface,1,Image 1,1,2,
