
Volume Outside Img=1
 ==================== 
Distance to Surface,Volume Outside,Unit,Collection,Image,Time,ID,
0.277,5788.56,µm^3,Volume Outside,Image 1,1,,
0.831,5332.75,µm^3,Volume Outside,Image 1,1,,
1.385,5352.89,µm^3,Volume Outside,Image 1,1,,
1.939,5366.9,µm^3,Volume Outside,Image 1,1,,
2.493,5460.58,µm^3,Volume Outside,Image 1,1,,
3.047,5505.49,µm^3,Volume Outside,Image 1,1,,
3.601,5517.21,µm^3,Volume Outside,Image 1,1,,
4.155,5530.39,µm^3,Volume Outside,Image 1,1,,
4.709,5537.46,µm^3,Volume Outside,Image 1,1,,
5.263,5583.47,µm^3,Volume Outside,Image 1,1,,
5.817,5621.32,µm^3,Volume Outside,Image 1,1,,
6.371,5638.28,µm^3,Volume Outside,Image 1,1,,
6.925,5691.4,µm^3,Volume Outside,Image 1,1,,
7.479,5729.42,µm^3,Volume Outside,Image 1,1,,
8.033,5714.94,µm^3,Volume Outside,Image 1,1,,
8.587,5613.75,µm^3,Volume Outside,Image 1,1,,
9.141,5423.13,µm^3,Volume Outside,Image 1,1,,
9.695,5207.83,µm^3,Volume Outside,Image 1,1,,
10.249,5006.69,µm^3,Volume Outside,Image 1,1,,
10.803,4832.36,µm^3,Volume Outside,Image 1,1,,
11.357,4689.78,µm^3,Volume Outside,Image 1,1,,
11.911,4548.35,µm^3,Volume Outside,Image 1,1,,
12.465,4407.01,µm^3,Volume Outside,Image 1,1,,
13.019,4323.49,µm^3,Volume Outside,Image 1,1,,
13.573,4237.56,µm^3,Volume Outside,Image 1,1,,
14.127,4146.69,µm^3,Volume Outside,Image 1,1,,
14.681,4037.99,µm^3,Volume Outside,Image 1,1,,
15.235,3939.53,µm^3,Volume Outside,Image 1,1,,
15.789,3825.71,µm^3,Volume Outside,Image 1,1,,
16.343,3683.69,µm^3,Volume Outside,Image 1,1,,
16.897,3560.58,µm^3,Volume Outside,Image 1,1,,
17.451,3414.69,µm^3,Volume Outside,Image 1,1,,
18.005,3290.33,µm^3,Volume Outside,Image 1,1,,
