
Soma Intensity Mean Ch=3 Img=1
 ==================== 
Soma Intensity Mean,Unit,Category,Channel,Image,Time,FilamentID,ID,
90.0399,,Soma,3,Image 1,1,100000000,800000000,
111.48,,Soma,3,Image 1,1,100000001,800000001,
59.8282,,Soma,3,Image 1,1,100000002,800000002,
